id	7fd4d7c0-5dd2-4ce8-a1ec-3f0271bf04d2	254b71a7-176c-4258-8fa9-2985223138ff
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	55.0	1.0
153733	537.0	305.0
1087	14.0	47.0
1086	0.0	0.0
440279	4.0	0.0
1085	0.0	5.0
1084	202.0	15.0
440278	186.0	262.0
1082	0.0	1.0
403294	0.0	0.0
440275	6631.0	11507.0
1081	0.0	0.0
85397	11.0	9.0
85395	631.0	833.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	10.0
1097	0.0	3.0
1096	0.0	1.0
1095	0.0	1.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	0.0
440270	202.0	516.0
1089	155.0	9.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	2.0
285596	43.0	7.0
285598	383.0	1348.0
126133	3825.0	5920.0
128790	0.0	0.0
126129	504.0	1843.0
126123	0.0	1.0
442862	0.0	0.0
126119	1624.0	1972.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	21.0	4.0
442896	0.0	0.0
114132	573.0	10.0
442897	0.0	0.0
442898	0.0	0.0
114134	1500.0	506.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	9.0
100128788	32.0	88.0
100128787	0.0	1.0
440225	0.0	1.0
440224	4.0	2.0
442890	0.0	0.0
442891	0.0	7.0
442892	0.0	1.0
128756	0.0	4.0
100128782	252.0	207.0
100128781	1.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	3.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	158.0	27.0
102466616	0.0	0.0
126052	0.0	0.0
151009	107.0	152.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	26.0	13.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1308.0	2012.0
107131122	0.0	0.0
138050	9235.0	6658.0
403219	0.0	1.0
151011	8589.0	7316.0
645587	0.0	2.0
165679	3.0	3106.0
126037	86.0	61.0
114049	7640.0	12961.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	115.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	2360.0	1059.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2213.0	2305.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	222.0	441.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	2.0	14.0
645598	0.0	2.0
163007	0.0	18.0
114038	0.0	1.0
645591	4.0	38.0
106481495	0.0	0.0
114041	0.0	12.0
106481496	0.0	0.0
114042	2.0	1.0
106481493	0.0	0.0
114043	37.0	656.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	144.0	365.0
126017	492.0	411.0
106481497	0.0	4.0
106481498	0.0	1.0
85303	0.0	0.0
85300	0.0	5.0
85301	796.0	1248.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	1.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2346.0	349.0
106481459	0.0	0.0
26994	14031.0	8144.0
106481457	1.0	1.0
26995	2667.0	3428.0
106481458	0.0	0.0
403271	0.0	0.0
26998	5.0	2.0
403272	0.0	0.0
102466659	0.0	0.0
26999	6361.0	2235.0
403273	0.0	0.0
102466658	0.0	2.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	19.0
106481460	0.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1563.0	2389.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	1.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	1.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	189.0	5.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	12.0	55.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	800.0	1840.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	10.0
106481437	0.0	0.0
26974	92.0	125.0
153657	21.0	98.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	898.0	1447.0
165631	376.0	33.0
106481436	0.0	0.0
26978	17.0	23.0
126075	878.0	759.0
106481439	0.0	0.0
403250	0.0	0.0
126074	297.0	355.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	3358.0	3564.0
106481444	0.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	1.0	0.0
85358	2726.0	1426.0
85354	0.0	0.0
85352	684.0	356.0
403241	2.0	0.0
344462	7.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	539.0	685.0
153643	73.0	21.0
403247	0.0	0.0
403248	0.0	0.0
26985	5446.0	4608.0
106481448	0.0	0.0
26986	67094.0	144694.0
126069	87.0	46.0
106481449	0.0	0.0
126068	528.0	296.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1246.0	1292.0
106481447	0.0	0.0
106481451	0.0	4.0
106481452	0.0	0.0
106481450	0.0	1.0
114088	58.0	1243.0
106481455	0.0	1.0
85349	36.0	8.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	6.0	13.0
106481454	0.0	1.0
403238	0.0	0.0
85344	1.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	2.0	1.0
85340	0.0	3.0
100873394	0.0	2.0
100873393	0.0	1.0
100873392	1.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2063.0	4676.0
100873390	0.0	0.0
728556	96.0	109.0
106481419	0.0	0.0
100128817	1.0	0.0
728558	136.0	155.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	425.0	455.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	3.0
100873380	0.0	0.0
100128804	0.0	4.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	204.0	206.0
100873384	0.0	0.0
285601	48.0	6.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	5.0	4.0
63910	627.0	371.0
106481424	0.0	0.0
106481425	0.0	2.0
285605	663.0	492.0
222008	0.0	0.0
106481428	0.0	1.0
106481429	0.0	0.0
63905	6007.0	10399.0
63904	1.0	0.0
106481430	1.0	1.0
163071	61.0	18.0
63906	1335.0	1172.0
106481433	0.0	0.0
63908	730.0	317.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	0.0
285613	152.0	198.0
63920	217.0	430.0
63923	64.0	134.0
63922	222.0	2622.0
728577	148.0	74.0
63925	1225.0	3116.0
63924	1.0	2.0
63916	5985.0	7665.0
63917	4968.0	4122.0
106481400	0.0	2.0
106481401	0.0	0.0
728562	14.0	9.0
728564	7.0	27.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1487.0	3129.0
106481402	1.0	0.0
63931	2120.0	1419.0
106481403	0.0	9.0
63934	152.0	65.0
728567	4.0	2.0
106481408	0.0	7.0
163088	7.0	85.0
63933	3613.0	1622.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5003.0	12488.0
163087	556.0	524.0
728568	518.0	740.0
106481407	18.0	11.0
3704	3483.0	1935.0
3705	10655.0	7194.0
63926	970.0	755.0
3706	21.0	225.0
63929	663.0	1755.0
3707	5474.0	9549.0
63928	1.0	5.0
3708	5479.0	2898.0
106481411	0.0	0.0
3709	4492.0	3685.0
106481412	0.0	0.0
106481410	0.0	1.0
3700	10.0	3.0
3702	1760.0	204.0
3703	19675.0	14147.0
645506	0.0	0.0
151050	922.0	786.0
645520	1.0	0.0
63941	2928.0	1957.0
63940	7435.0	2156.0
63943	420.0	664.0
728517	0.0	0.0
163033	442.0	792.0
258010	1843.0	1410.0
63947	0.0	0.0
63946	2.0	1.0
728513	0.0	2.0
100033803	0.0	0.0
3716	22037.0	13355.0
100033804	0.0	0.0
3717	2064.0	814.0
100033805	0.0	0.0
3718	1456.0	3317.0
63939	1532.0	17257.0
100033806	0.0	0.0
100190799	13.0	8.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	133.0	116.0
3710	18416.0	21394.0
3712	8647.0	9333.0
3713	12.0	33.0
3714	2775.0	4960.0
63950	2.0	0.0
728505	0.0	0.0
63951	344.0	146.0
100033807	0.0	0.0
728501	33.0	35.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	34443.0	10420.0
100033814	0.0	0.0
3727	15678.0	9616.0
63948	0.0	8.0
100033815	0.0	0.0
222052	1.0	0.0
3728	16485.0	109137.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2087.0	2227.0
151056	834.0	523.0
3725	11995.0	10200.0
645528	3.0	3.0
728532	48.0	30.0
163059	360.0	262.0
728538	1.0	4.0
728537	56.0	55.0
63967	121.0	925.0
3737	21.0	31.0
3738	656.0	85.0
3739	115.0	1.0
645538	0.0	0.0
3730	8585.0	5799.0
3732	14363.0	7686.0
3734	28.0	168.0
3735	12895.0	17684.0
3736	6.0	155.0
63970	1.0	159.0
3750	315.0	1327.0
63971	5151.0	3782.0
63974	1.0	0.0
163049	1954.0	2258.0
63973	1.0	1.0
63976	1269.0	52.0
222068	9433.0	10241.0
63978	0.0	1.0
63977	420.0	880.0
63979	846.0	5345.0
728524	0.0	0.0
3748	847.0	761.0
163051	23.0	36.0
3749	957.0	1766.0
163050	60.0	90.0
3741	98.0	28.0
645548	15.0	21.0
3743	1.0	9.0
3744	14.0	5.0
3745	112.0	63.0
3746	2.0	75.0
3747	0.0	0.0
285671	798.0	128.0
285672	2562.0	1950.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	3.0	6.0
285676	52.0	24.0
3761	1.0	6.0
100128657	1.0	0.0
285679	1.0	2.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1664.0	1131.0
283008	10.0	3.0
3751	93.0	1064.0
100873435	0.0	0.0
3752	2715.0	321.0
100873434	0.0	0.0
3753	88.0	9.0
100873433	0.0	0.0
3754	30.0	11.0
100873432	0.0	0.0
3755	16.0	1892.0
100873439	0.0	0.0
3756	8.0	18.0
100873438	0.0	0.0
3757	218.0	125.0
100873437	0.0	0.0
3758	15.0	35.0
100873436	0.0	0.0
100873420	3.0	2.0
3770	45.0	156.0
3772	12235.0	5015.0
100861458	0.0	1.0
100861453	18.0	63.0
100861455	0.0	0.0
1107	10682.0	29890.0
1106	4169.0	7040.0
1105	3630.0	3110.0
1104	2654.0	7707.0
100873429	0.0	0.0
1103	0.0	7.0
1102	1809.0	1087.0
1101	24.0	48.0
3762	2093.0	382.0
100873424	0.0	0.0
3763	32.0	67.0
100128640	46.0	161.0
100873423	0.0	0.0
3764	4952.0	910.0
100873422	0.0	0.0
3765	0.0	11.0
100873421	0.0	1.0
3766	20.0	14.0
100873428	0.0	0.0
3767	330.0	170.0
100873427	0.0	0.0
3768	471.0	114.0
1109	5.0	7.0
100873426	4.0	0.0
1108	18958.0	34834.0
3769	0.0	2.0
100873425	0.0	0.0
100128637	2.0	5.0
100128639	0.0	0.0
3780	18.0	126.0
100873453	0.0	0.0
3781	191.0	65.0
100873452	0.0	1.0
3782	765.0	485.0
100873451	0.0	0.0
3783	1418.0	2200.0
100873450	0.0	0.0
1121	2231.0	3670.0
100861468	0.0	2.0
1120	126.0	226.0
100861469	0.0	1.0
1118	4961.0	34.0
1117	9922.0	340.0
1116	17006.0	7958.0
1114	12.0	115.0
1113	5.0	4.0
1112	7183.0	7768.0
1111	417.0	2273.0
3773	12.0	7.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	1695.0	1317.0
100873455	0.0	0.0
3776	8.0	108.0
100873454	0.0	0.0
3777	5469.0	157.0
3778	3110.0	1159.0
3779	663.0	357.0
100873459	0.0	0.0
1119	1618.0	962.0
100128627	2.0	0.0
100128626	3.0	0.0
3790	8102.0	2888.0
100128628	12.0	11.0
3791	10978.0	3596.0
100873442	0.0	0.0
3792	11.0	30.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	12.0
1132	64.0	17.0
1131	306.0	1604.0
1130	2840.0	1427.0
100861476	0.0	1.0
1129	325.0	3.0
1128	303.0	22.0
1124	751.0	221.0
1123	2523.0	3760.0
1122	964.0	2272.0
100861470	0.0	0.0
3784	5460.0	405.0
100873446	0.0	0.0
3785	11.0	18.0
100873445	0.0	0.0
3786	2125.0	166.0
100873444	0.0	0.0
3787	254.0	88.0
100873443	0.0	0.0
3788	194.0	7.0
100873449	0.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	116.0	180.0
100128618	0.0	1.0
728597	0.0	13.0
100128617	9.0	6.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	28.0	92.0
100873473	0.0	0.0
100873472	1.0	0.0
1143	14.0	217.0
285634	4.0	5.0
1142	0.0	0.0
1141	14.0	670.0
285636	2975.0	5915.0
1140	902.0	329.0
728599	6.0	5.0
1139	16.0	36.0
1138	25.0	295.0
1137	7.0	2.0
100861485	0.0	0.0
1136	41.0	32.0
1135	24.0	7.0
1134	38.0	379.0
1133	13.0	13.0
3795	539.0	454.0
100873479	5.0	13.0
3796	1664.0	4677.0
100873478	0.0	0.0
3797	854.0	4139.0
100873477	1.0	5.0
3798	9.0	863.0
100873476	0.0	0.0
3799	18068.0	12544.0
100873460	2.0	0.0
728586	21.0	52.0
285641	2.0	2.0
100873464	4.0	3.0
100873463	0.0	0.0
100873462	4.0	0.0
285643	1.0	6.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	7956.0	1543.0
1153	20883.0	12868.0
1152	10049.0	2767.0
285647	12.0	27.0
728589	19.0	22.0
728588	1.0	0.0
1149	0.0	16.0
1147	3345.0	2074.0
1146	1.0	9.0
1145	242.0	136.0
1144	1.0	2.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	1567.0	2863.0
1163	887.0	3579.0
285659	0.0	1.0
1161	670.0	718.0
1160	133.0	62.0
1159	30.0	617.0
1158	18.0	2.0
1157	1.0	0.0
1155	7073.0	6678.0
550643	2140.0	627.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3955.0	4426.0
1175	8367.0	8530.0
285668	18.0	0.0
1174	3371.0	8725.0
1173	39989.0	58613.0
550631	151.0	225.0
100873489	0.0	0.0
283014	3.0	4.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	8.0	2.0
1186	6537.0	6393.0
1185	1545.0	1800.0
1184	1751.0	850.0
1183	1791.0	848.0
1182	8286.0	10333.0
1181	277.0	1075.0
440375	93.0	143.0
1180	26.0	49.0
1179	2.0	1.0
1178	443.0	1.0
283089	19.0	14.0
85495	0.0	0.0
85480	72.0	1286.0
283080	0.0	2.0
1198	2646.0	2897.0
1197	1.0	3.0
1196	1360.0	2608.0
1195	2630.0	2398.0
440366	0.0	1.0
1193	4977.0	278.0
1192	43009.0	30514.0
1191	37746.0	5456.0
1188	63.0	17.0
283078	39.0	76.0
85486	21.0	23.0
128615	0.0	0.0
85481	0.0	0.0
128611	266.0	50.0
440396	24.0	186.0
128609	0.0	0.0
128602	22.0	2.0
440387	8.0	1.0
128674	4.0	0.0
128676	1.0	3.0
114026	0.0	1.0
100861402	0.0	4.0
126014	3369.0	194.0
440335	776.0	70.0
100128690	0.0	0.0
114034	1043.0	907.0
126006	12.0	15.0
114036	29.0	18.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	66.0	62.0
100861412	0.0	2.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	1.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	2.0	0.0
200728	263.0	447.0
440356	4.0	319.0
440354	51.0	70.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	33.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	0.0	19.0
100873410	0.0	0.0
100873417	1.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	2.0	7.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	54.0	155.0
200734	4396.0	6437.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	7.0
100873408	1.0	0.0
100873407	0.0	1.0
100861430	10.0	3.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	0.0	0.0
100128665	0.0	1.0
128637	5431.0	3218.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	15.0	1.0
165530	48.0	26.0
85409	1527.0	1209.0
106481385	0.0	0.0
106481386	0.0	1.0
85416	3.0	334.0
106481383	0.0	5.0
85417	95.0	43.0
106481384	0.0	2.0
103106903	1.0	0.0
85414	1060.0	881.0
106481389	0.0	0.0
85415	1152.0	898.0
106481387	0.0	0.0
85413	23.0	3.0
106481388	2.0	9.0
645436	1.0	1.0
106481381	1.0	0.0
106481382	0.0	0.0
10	12.0	12.0
106481380	0.0	0.0
11	0.0	0.0
403341	1520.0	871.0
12	41.0	7.0
13	1443.0	60.0
14	10145.0	12313.0
15	7.0	10.0
16	16721.0	23447.0
645455	14.0	35.0
18	1084.0	1263.0
19	6581.0	4293.0
128580	18.0	23.0
85407	1315.0	347.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2703.0	3689.0
106481395	0.0	1.0
85403	4205.0	2165.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	2627.0	5670.0
106481390	0.0	0.0
21	150674.0	572.0
106481391	0.0	0.0
22	1859.0	1266.0
153571	865.0	1146.0
153572	2558.0	2894.0
23	7605.0	9419.0
24	298.0	70.0
25	8382.0	11722.0
26	98.0	23.0
27	3845.0	2610.0
28	1988.0	31.0
29	13149.0	10125.0
153579	2447.0	150.0
728615	0.0	0.0
728614	0.0	0.0
200765	204.0	909.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	22.0	13.0
102466518	0.0	0.0
102466516	1.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	2.0
106481361	0.0	0.0
85439	913.0	2262.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2720.0	4108.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	195.0	209.0
106481366	0.0	0.0
30	5765.0	2278.0
106481360	0.0	0.0
31	9335.0	19120.0
32	1165.0	1022.0
33	1108.0	0.0
34	4276.0	2478.0
35	2697.0	1149.0
153562	2642.0	1427.0
36	5890.0	1194.0
37	23007.0	9135.0
38	6772.0	2653.0
440307	4.0	10.0
39	5678.0	17710.0
165545	2.0	302.0
106481369	0.0	0.0
728606	0.0	1.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	33.0	2.0
106481370	0.0	0.0
41	118.0	2283.0
106481371	0.0	0.0
43	728.0	128.0
645486	0.0	0.0
47	21224.0	46936.0
48	11523.0	5279.0
49	26.0	3.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
