id	03611591-08da-45c5-bfe5-ce511a2cc341	ab4d305d-81cd-4fa7-96c4-f6d5308eef12
1020	868.0	662.0
440299	0.0	0.0
1019	3700.0	8307.0
128709	0.0	0.0
1018	24.0	36.0
1017	1540.0	5291.0
1016	1.0	0.0
1015	30.0	4.0
1014	15.0	0.0
1013	57.0	1.0
1012	2077.0	4137.0
116730	79.0	120.0
3674	144.0	12.0
100873358	0.0	0.0
3675	33930.0	3191.0
100873357	0.0	0.0
3676	1581.0	277.0
100128731	6860.0	8258.0
100873356	0.0	0.0
3678	10248.0	1831.0
3679	1001.0	308.0
100873359	0.0	0.0
728464	36.0	53.0
728463	47.0	43.0
100128725	0.0	0.0
3690	165.0	18.0
3691	6846.0	2127.0
100873343	1.0	0.0
3692	6891.0	9882.0
3693	8272.0	2555.0
285521	1068.0	934.0
100873342	0.0	0.0
3694	13416.0	444.0
100873341	0.0	0.0
3695	480.0	356.0
100873340	1.0	0.0
100128723	0.0	0.0
1033	44.0	1075.0
1032	754.0	1303.0
285525	2.0	3.0
1031	511.0	4042.0
285527	3464.0	3439.0
1030	3380.0	1268.0
728468	1.0	1.0
440288	110.0	141.0
1029	224.0	10984.0
440295	179.0	90.0
1028	1633.0	123.0
1027	4091.0	2923.0
1026	13121.0	7205.0
1025	4630.0	2527.0
1024	767.0	806.0
3685	4856.0	1875.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	8051.0	906.0
100873345	0.0	14.0
3688	18274.0	11000.0
100873344	0.0	0.0
3689	21707.0	4555.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	3.0	0.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	24.0	8.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	83.0	54.0
100873375	0.0	0.0
100128710	1.0	2.0
285533	201.0	162.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	9.0	305.0
1043	15348.0	883.0
1041	1.0	0.0
1040	3453.0	747.0
1039	1925.0	1039.0
1038	5.0	0.0
1036	863.0	15.0
3696	824.0	1990.0
3697	10.0	18.0
100873379	0.0	0.0
3698	342.0	31.0
100873378	1.0	2.0
3699	301.0	32.0
100873377	0.0	0.0
728486	69.0	4.0
100873361	0.0	0.0
105373869	6.0	41.0
100873360	0.0	0.0
285540	139.0	211.0
100128705	5.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	1.0	6.0
1054	3048.0	15853.0
285547	0.0	0.0
1053	30.0	4.0
285548	0.0	109.0
1052	11256.0	468.0
1051	6151.0	1589.0
728489	24.0	1.0
1050	2811.0	3213.0
100128707	1.0	0.0
1048	856.0	19.0
1047	101.0	2429.0
1046	0.0	0.0
1045	1.0	12.0
100873369	8.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	24074.0	439.0
1063	198.0	13182.0
1062	96.0	2869.0
1061	1.0	7.0
1060	1400.0	1386.0
440253	74.0	9.0
1059	8977.0	10175.0
1058	27.0	1011.0
1057	3.0	8.0
85379	5590.0	1362.0
114112	700.0	189.0
1056	80.0	325.0
85377	3707.0	3214.0
85378	3427.0	3779.0
128745	2.0	4.0
85376	39.0	5.0
440248	449.0	462.0
1075	17483.0	3854.0
1074	17.0	15.0
1073	4216.0	153.0
1072	52535.0	63391.0
1071	259.0	36.0
440243	0.0	0.0
1070	788.0	643.0
1069	4574.0	2861.0
1068	0.0	0.0
85369	2532.0	823.0
85366	40.0	28.0
85364	1961.0	1649.0
85365	3114.0	1450.0
85363	1924.0	754.0
85360	1788.0	284.0
1080	4461.0	31.0
85391	4.0	8.0
403296	0.0	0.0
403297	2.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	25.0	0.0
153733	427.0	809.0
1087	16.0	0.0
1086	0.0	0.0
440279	6.0	4.0
1085	3.0	0.0
1084	70.0	5.0
440278	66.0	109.0
1082	0.0	0.0
403294	0.0	0.0
440275	4006.0	2040.0
1081	0.0	0.0
85397	8.0	10.0
85395	588.0	1184.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	2.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	2.0
440270	869.0	881.0
1089	256.0	12.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	35.0	5.0
285598	417.0	619.0
126133	2741.0	4323.0
128790	0.0	0.0
126129	153.0	12023.0
126123	10.0	1.0
442862	0.0	0.0
126119	1317.0	806.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	151.0	0.0
442896	0.0	0.0
114132	282.0	2.0
442897	0.0	0.0
442898	1.0	3.0
114134	892.0	136.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	10.0
100128788	39.0	114.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	0.0	3.0
442892	1.0	0.0
128756	0.0	1.0
100128782	250.0	442.0
100128781	1.0	5.0
403230	0.0	0.0
403231	0.0	2.0
403232	0.0	0.0
645560	2.0	3.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	52.0	0.0
102466616	0.0	0.0
126052	0.0	0.0
151009	63.0	17.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	0.0
645558	0.0	0.0
403229	0.0	1.0
645573	1.0	0.0
645572	0.0	0.0
645571	15.0	8.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1437.0	2359.0
107131122	0.0	0.0
138050	8159.0	2853.0
403219	0.0	0.0
151011	5584.0	652.0
645587	0.0	0.0
165679	17.0	10.0
126037	37.0	43.0
114049	4545.0	5238.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1492.0	609.0
100033821	2.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1970.0	983.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	234.0	148.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	13.0	87.0
645598	0.0	0.0
163007	10.0	1.0
114038	2.0	0.0
645591	32.0	0.0
106481495	0.0	1.0
114041	9.0	0.0
106481496	0.0	0.0
114042	2.0	1.0
106481493	0.0	0.0
114043	82.0	6.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	148.0	258.0
126017	358.0	459.0
106481497	1.0	3.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	1.0
85301	1077.0	363.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1755.0	1109.0
106481459	0.0	0.0
26994	8221.0	2060.0
106481457	2.0	1.0
26995	1863.0	3518.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	3.0
403272	0.0	0.0
102466659	0.0	0.0
26999	5907.0	878.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	12.0
106481460	2.0	0.0
106481461	0.0	0.0
104310350	0.0	2.0
106481466	0.0	0.0
26993	2568.0	3011.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	6.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	1.0	0.0
106481468	0.0	0.0
106481469	0.0	1.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	40.0	1.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	4.0	16.0
106481470	2.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1266.0	989.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	5.0	6.0
106481437	0.0	0.0
26974	82.0	216.0
153657	45.0	37.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1087.0	1606.0
165631	485.0	240.0
106481436	0.0	0.0
26978	13.0	16.0
126075	1106.0	331.0
106481439	0.0	0.0
403250	0.0	0.0
126074	231.0	113.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2629.0	5728.0
106481444	11.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3217.0	1439.0
85354	0.0	0.0
85352	82.0	868.0
403241	0.0	0.0
344462	1.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	450.0	280.0
153643	519.0	0.0
403247	0.0	0.0
403248	0.0	0.0
26985	3365.0	3276.0
106481448	0.0	0.0
26986	55444.0	107906.0
126069	87.0	72.0
106481449	0.0	0.0
126068	500.0	86.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1076.0	713.0
106481447	0.0	0.0
106481451	0.0	7.0
106481452	0.0	1.0
106481450	0.0	0.0
114088	45.0	121.0
106481455	0.0	0.0
85349	156.0	3.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	5.0
106481454	0.0	2.0
403238	0.0	0.0
85344	2.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	1.0
100873392	9.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	1.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	1.0
63901	2643.0	3178.0
100873390	0.0	0.0
728556	38.0	93.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	82.0	72.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	322.0	1190.0
106481423	0.0	0.0
106481420	2.0	0.0
106481421	0.0	0.0
100873399	1.0	3.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	124.0	22.0
100873384	0.0	0.0
285601	31.0	13.0
106481426	0.0	0.0
106481427	2.0	1.0
222005	0.0	2.0
63910	407.0	697.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	470.0	241.0
222008	3.0	0.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	3898.0	1720.0
63904	0.0	0.0
106481430	4.0	0.0
163071	47.0	1.0
63906	1195.0	1486.0
106481433	0.0	0.0
63908	790.0	603.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	4.0	0.0
285613	61.0	454.0
63920	229.0	303.0
63923	113.0	26.0
63922	372.0	2118.0
728577	32.0	1.0
63925	1838.0	2143.0
63924	12.0	0.0
63916	3938.0	6639.0
63917	4467.0	907.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	1.0	2.0
728564	1.0	21.0
285622	3.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1826.0	2576.0
106481402	0.0	0.0
63931	1493.0	1480.0
106481403	0.0	1.0
63934	153.0	907.0
728567	1.0	1.0
106481408	0.0	0.0
163088	8.0	13.0
63933	3119.0	5169.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5023.0	4186.0
163087	681.0	1661.0
728568	303.0	786.0
106481407	9.0	0.0
3704	2236.0	3840.0
3705	7765.0	2983.0
63926	802.0	944.0
3706	29.0	21.0
63929	1182.0	2234.0
3707	6016.0	3072.0
63928	94.0	1.0
3708	3991.0	545.0
106481411	0.0	0.0
3709	3227.0	463.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	57.0	24.0
3702	992.0	313.0
3703	7760.0	7126.0
645506	0.0	1.0
151050	1313.0	589.0
645520	1.0	0.0
63941	4007.0	2595.0
63940	4882.0	2837.0
63943	322.0	1157.0
728517	0.0	0.0
163033	822.0	1060.0
258010	1799.0	1484.0
63947	0.0	0.0
63946	0.0	0.0
728513	5.0	3.0
100033803	0.0	0.0
3716	15803.0	10866.0
100033804	0.0	0.0
3717	1581.0	803.0
100033805	0.0	0.0
3718	1230.0	2117.0
63939	1000.0	1149.0
100033806	0.0	0.0
100190799	6.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	102.0	54.0
3710	14529.0	12288.0
3712	7767.0	4582.0
3713	6.0	0.0
3714	2446.0	818.0
63950	1.0	16.0
728505	0.0	0.0
63951	283.0	141.0
100033807	0.0	0.0
728501	67.0	49.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	12927.0	2624.0
100033814	0.0	0.0
3727	25039.0	5712.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	20194.0	53251.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1588.0	2733.0
151056	203.0	26.0
3725	21541.0	4235.0
645528	11.0	3.0
728532	7.0	15.0
163059	250.0	86.0
728538	0.0	0.0
728537	186.0	140.0
63967	45.0	1998.0
3737	16.0	7.0
3738	686.0	90.0
3739	344.0	2.0
645538	0.0	0.0
3730	14549.0	767.0
3732	9805.0	1530.0
3734	1.0	0.0
3735	8053.0	10440.0
3736	5.0	0.0
63970	51.0	6.0
3750	206.0	318.0
63971	6082.0	2702.0
63974	0.0	0.0
163049	2135.0	1277.0
63973	0.0	88.0
63976	1982.0	23.0
222068	7406.0	4794.0
63978	0.0	0.0
63977	515.0	1194.0
63979	369.0	1481.0
728524	0.0	0.0
3748	718.0	88.0
163051	29.0	36.0
3749	936.0	463.0
163050	32.0	24.0
3741	267.0	0.0
645548	5.0	10.0
3743	4.0	2.0
3744	11.0	0.0
3745	190.0	10.0
3746	2.0	1.0
3747	0.0	0.0
285671	610.0	55.0
285672	2117.0	675.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	11.0	1.0
285676	41.0	2.0
3761	3.0	2094.0
100128657	0.0	0.0
285679	1.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	641.0	808.0
283008	26.0	10.0
3751	37.0	110.0
100873435	0.0	0.0
3752	869.0	401.0
100873434	0.0	0.0
3753	177.0	12.0
100873433	0.0	2.0
3754	37.0	4.0
100873432	0.0	0.0
3755	18.0	25.0
100873439	0.0	0.0
3756	4.0	1.0
100873438	0.0	0.0
3757	548.0	491.0
100873437	0.0	0.0
3758	11.0	1.0
100873436	0.0	0.0
100873420	2.0	0.0
3770	72.0	193.0
3772	12427.0	156.0
100861458	0.0	0.0
100861453	28.0	7.0
100861455	0.0	0.0
1107	14553.0	17419.0
1106	8140.0	4603.0
1105	2345.0	2198.0
1104	1489.0	7776.0
100873429	0.0	0.0
1103	0.0	2.0
1102	1078.0	213.0
1101	66.0	753.0
3762	2275.0	149.0
100873424	0.0	0.0
3763	18.0	5.0
100128640	72.0	68.0
100873423	0.0	0.0
3764	1823.0	174.0
100873422	0.0	0.0
3765	1.0	1.0
100873421	0.0	0.0
3766	18.0	118.0
100873428	0.0	0.0
3767	324.0	477.0
100873427	0.0	0.0
3768	267.0	28.0
1109	2.0	7.0
100873426	3.0	0.0
1108	17974.0	23758.0
3769	0.0	1.0
100873425	1.0	2.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	19.0	175.0
100873453	0.0	0.0
3781	155.0	66.0
100873452	0.0	0.0
3782	1148.0	973.0
100873451	0.0	0.0
3783	489.0	2435.0
100873450	0.0	0.0
1121	1524.0	561.0
100861468	0.0	2.0
1120	257.0	252.0
100861469	1.0	0.0
1118	6155.0	1095.0
1117	8609.0	81.0
1116	7307.0	2534.0
1114	28.0	24.0
1113	10.0	10.0
1112	5943.0	3797.0
1111	230.0	2128.0
3773	99.0	0.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	1274.0	38.0
100873455	0.0	0.0
3776	9.0	3.0
100873454	0.0	0.0
3777	4745.0	13.0
3778	1391.0	376.0
3779	537.0	699.0
100873459	0.0	19.0
1119	2258.0	745.0
100128627	0.0	2.0
100128626	0.0	0.0
3790	3173.0	1020.0
100128628	7.0	4.0
3791	5675.0	470.0
100873442	0.0	0.0
3792	39.0	73.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	22.0	8.0
1131	369.0	513.0
1130	2497.0	1539.0
100861476	0.0	0.0
1129	88.0	3.0
1128	517.0	5.0
1124	728.0	5085.0
1123	1283.0	221.0
1122	739.0	566.0
100861470	0.0	0.0
3784	6157.0	164.0
100873446	0.0	0.0
3785	4.0	3.0
100873445	0.0	0.0
3786	736.0	4373.0
100873444	0.0	0.0
3787	216.0	29.0
100873443	0.0	0.0
3788	21.0	11.0
100873449	0.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	110.0	176.0
100128618	1.0	2.0
728597	0.0	2.0
100128617	4.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	26.0	37.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	2.0	686.0
285634	4.0	0.0
1142	2.0	0.0
1141	7.0	81.0
285636	2146.0	2372.0
1140	477.0	499.0
728599	2.0	13.0
1139	19.0	5.0
1138	11.0	513.0
1137	21.0	5.0
100861485	0.0	0.0
1136	23.0	437.0
1135	42.0	0.0
1134	133.0	68.0
1133	8.0	8.0
3795	512.0	573.0
100873479	5.0	0.0
3796	1157.0	2674.0
100873478	1.0	0.0
3797	538.0	3348.0
100873477	1.0	1.0
3798	22.0	666.0
100873476	0.0	0.0
3799	13729.0	9578.0
100873460	0.0	0.0
728586	11.0	25.0
285641	2.0	1.0
100873464	4.0	7.0
100873463	0.0	0.0
100873462	2.0	0.0
285643	0.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	6330.0	481.0
1153	20858.0	9345.0
1152	11959.0	15002.0
285647	13.0	27.0
728589	13.0	6.0
728588	1.0	0.0
1149	2.0	0.0
1147	2061.0	1215.0
1146	1.0	13.0
1145	56.0	24.0
1144	1.0	3.0
100873468	0.0	0.0
100873467	2.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	635.0	3575.0
1163	589.0	3126.0
285659	0.0	0.0
1161	346.0	338.0
1160	140.0	29.0
1159	26.0	636.0
1158	18.0	8.0
1157	0.0	0.0
1155	3815.0	19446.0
550643	1657.0	505.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	1.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	1.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2236.0	1730.0
1175	4228.0	7999.0
285668	10.0	0.0
1174	1754.0	1626.0
1173	21384.0	22410.0
550631	273.0	223.0
100873489	0.0	0.0
283014	17.0	8.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	18.0	5.0
1186	4958.0	3135.0
1185	2124.0	1287.0
1184	1355.0	1222.0
1183	1396.0	89.0
1182	4740.0	4164.0
1181	256.0	373.0
440375	49.0	12.0
1180	13.0	28.0
1179	0.0	0.0
1178	19.0	191.0
283089	39.0	6.0
85495	0.0	0.0
85480	99.0	367.0
283080	0.0	0.0
1198	3761.0	1917.0
1197	1.0	1.0
1196	1869.0	3255.0
1195	3675.0	1893.0
440366	1.0	1.0
1193	3808.0	766.0
1192	24653.0	20757.0
1191	45958.0	2937.0
1188	60.0	1.0
283078	106.0	14.0
85486	4.0	14.0
128615	0.0	0.0
85481	0.0	7.0
128611	358.0	98.0
440396	46.0	145.0
128609	0.0	0.0
128602	3233.0	1.0
440387	47.0	1.0
128674	0.0	4.0
128676	2.0	0.0
114026	0.0	0.0
100861402	1.0	0.0
126014	5589.0	361.0
440335	1208.0	766.0
100128690	0.0	0.0
114034	1012.0	1630.0
126006	30.0	24.0
114036	56.0	18.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	61.0	38.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	0.0	10.0
100128678	0.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	219.0	219.0
440356	5.0	20.0
440354	79.0	51.0
440352	5.0	0.0
100873419	0.0	0.0
100873418	1.0	0.0
100873413	0.0	0.0
128646	37.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	14.0	11.0
100873410	0.0	0.0
100873417	2.0	2.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	134.0	16.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	101.0	99.0
200734	4709.0	1036.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	0.0
100873408	0.0	0.0
100873407	0.0	1.0
100861430	12.0	1.0
100873402	0.0	0.0
100873401	1.0	1.0
100873400	3.0	1.0
100128665	1.0	1.0
128637	4846.0	3022.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	8.0	2.0
165530	96.0	3.0
85409	2107.0	179.0
106481385	0.0	0.0
106481386	1.0	0.0
85416	0.0	25.0
106481383	1.0	3.0
85417	71.0	194.0
106481384	0.0	0.0
103106903	1.0	1.0
85414	1306.0	276.0
106481389	0.0	0.0
85415	936.0	8816.0
106481387	0.0	0.0
85413	24.0	37.0
106481388	1.0	1.0
645436	0.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	13.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	1122.0	788.0
12	48.0	1.0
13	949.0	1.0
14	7653.0	10246.0
15	12.0	7.0
16	9657.0	14227.0
645455	13.0	17.0
18	1102.0	453.0
19	5324.0	640.0
128580	22.0	6.0
85407	1442.0	20.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1743.0	2029.0
106481395	0.0	1.0
85403	2627.0	1878.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	2.0	0.0
106481393	1.0	0.0
20	3542.0	574.0
106481390	0.0	0.0
21	111714.0	873.0
106481391	0.0	0.0
22	1187.0	802.0
153571	1477.0	9.0
153572	4170.0	26.0
23	7507.0	9210.0
24	124.0	4.0
25	7384.0	4889.0
26	128.0	21.0
27	2337.0	2118.0
28	3102.0	104.0
29	12758.0	7833.0
153579	4687.0	79.0
728615	2.0	0.0
728614	0.0	0.0
200765	179.0	506.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	23.0	2.0
102466518	0.0	0.0
102466516	10.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	1.0
85438	0.0	0.0
106481361	0.0	0.0
85439	639.0	127.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2378.0	3049.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	437.0	215.0
106481366	0.0	0.0
30	4640.0	1231.0
106481360	0.0	0.0
31	7896.0	2880.0
32	2645.0	472.0
33	1642.0	18.0
34	2498.0	4065.0
35	2356.0	698.0
153562	2282.0	900.0
36	3329.0	11316.0
37	16604.0	8828.0
38	4878.0	1837.0
440307	22.0	11.0
39	2078.0	3317.0
165545	6.0	35.0
106481369	0.0	0.0
728606	1.0	802.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	1.0	0.0
106481378	3.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	7.0	5.0
106481370	0.0	0.0
41	137.0	241.0
106481371	0.0	0.0
43	302.0	54.0
645486	0.0	0.0
47	8874.0	17223.0
48	4894.0	10947.0
49	29.0	6.0
106481338	0.0	0.0
106481339	1.0	1.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	0.0	6.0
106481340	0.0	2.0
85458	2322.0	688.0
