id	ba92f745-0592-4aca-9924-533486427c1b	e8572c09-d77c-456c-9a8a-7f5351502a01
1069	2416.0	5940.0
1068	0.0	0.0
85369	3051.0	2181.0
85366	48.0	27.0
85364	1952.0	754.0
85365	2642.0	1267.0
85363	2770.0	758.0
85360	3421.0	1768.0
1080	2169.0	43.0
85391	0.0	17.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	43.0	1.0
153733	473.0	193.0
1087	3.0	18.0
1086	0.0	0.0
440279	4.0	0.0
1085	1.0	0.0
1084	40.0	80.0
440278	76.0	153.0
1082	0.0	2.0
403294	0.0	0.0
440275	5260.0	3805.0
1081	1.0	0.0
85397	1.0	2.0
85395	391.0	439.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	19.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	1.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	3.0
440270	153.0	307.0
1089	140.0	53.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	23.0	1.0
285598	914.0	429.0
126133	2264.0	1866.0
128790	1.0	0.0
126129	599.0	200.0
126123	6.0	8.0
442862	0.0	0.0
126119	990.0	1516.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	87.0	0.0
442896	0.0	0.0
114132	302.0	58.0
442897	0.0	0.0
442898	2.0	4.0
114134	1141.0	1133.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	4.0
100128788	29.0	40.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	4.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	278.0	155.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	1.0
403232	0.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	326.0	5.0
102466616	0.0	0.0
126052	0.0	0.0
151009	91.0	29.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	4.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	2.0	4.0
403223	2.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	671.0	2276.0
107131122	0.0	0.0
138050	9215.0	5906.0
403219	0.0	0.0
151011	6659.0	2511.0
645587	0.0	8.0
165679	8.0	2.0
126037	30.0	19.0
114049	3284.0	7119.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	1.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1986.0	471.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1542.0	1791.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	257.0	160.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	4.0	138.0
645598	0.0	2.0
163007	17.0	1.0
114038	2.0	9.0
645591	20.0	1.0
106481495	0.0	0.0
114041	1.0	6.0
106481496	0.0	0.0
114042	2.0	1.0
106481493	0.0	0.0
114043	33.0	16.0
106481494	0.0	0.0
106481499	1.0	0.0
114044	158.0	130.0
126017	451.0	799.0
106481497	1.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	8.0	2.0
85301	1198.0	1595.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	1.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1523.0	430.0
106481459	0.0	0.0
26994	8110.0	7575.0
106481457	0.0	1.0
26995	2083.0	1470.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	1.0
403272	1.0	0.0
102466659	0.0	0.0
26999	5471.0	651.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	3.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2159.0	3153.0
106481467	0.0	0.0
106481464	0.0	4.0
106481465	0.0	1.0
104310351	2.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	2.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	20.0	7.0
106481472	0.0	0.0
106481477	0.0	5.0
106481478	0.0	0.0
106481475	0.0	1.0
106481476	0.0	0.0
85320	12.0	4.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	875.0	1437.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	5.0
106481437	0.0	0.0
26974	102.0	69.0
153657	23.0	31.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	710.0	1654.0
165631	339.0	229.0
106481436	0.0	3.0
26978	25.0	31.0
126075	642.0	677.0
106481439	0.0	0.0
403250	0.0	0.0
126074	203.0	189.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2118.0	2500.0
106481444	0.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	11106.0	1024.0
85354	0.0	0.0
85352	106.0	88.0
403241	0.0	0.0
344462	0.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	499.0	477.0
153643	19.0	3.0
403247	0.0	0.0
403248	0.0	0.0
26985	3864.0	3272.0
106481448	0.0	0.0
26986	65700.0	164351.0
126069	104.0	96.0
106481449	0.0	0.0
126068	453.0	182.0
106481446	0.0	0.0
26983	0.0	1.0
26984	875.0	1253.0
106481447	0.0	0.0
106481451	1.0	3.0
106481452	0.0	2.0
106481450	0.0	0.0
114088	43.0	1531.0
106481455	0.0	0.0
85349	84.0	295.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	0.0	3.0
85347	0.0	0.0
26980	7.0	8.0
106481454	1.0	0.0
403238	0.0	0.0
85344	1.0	5.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	1.0
100873392	3.0	6.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	2.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2674.0	884.0
100873390	0.0	0.0
728556	71.0	133.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	116.0	74.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	318.0	368.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	0.0
100873380	1.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	161.0	70.0
100873384	0.0	0.0
285601	21.0	61.0
106481426	0.0	0.0
106481427	2.0	3.0
222005	2.0	1.0
63910	314.0	1238.0
106481424	0.0	2.0
106481425	0.0	0.0
285605	536.0	374.0
222008	2.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	3580.0	4018.0
63904	0.0	0.0
106481430	0.0	1.0
163071	49.0	568.0
63906	939.0	762.0
106481433	0.0	0.0
63908	757.0	664.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	0.0
285613	62.0	90.0
63920	233.0	148.0
63923	136.0	50.0
63922	297.0	1685.0
728577	104.0	19.0
63925	1680.0	1842.0
63924	2.0	3.0
63916	4106.0	2561.0
63917	3956.0	3051.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	8.0	2.0
728564	4.0	10.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1098.0	1684.0
106481402	0.0	0.0
63931	1732.0	1024.0
106481403	0.0	0.0
63934	235.0	207.0
728567	0.0	0.0
106481408	0.0	1.0
163088	4.0	5.0
63933	2979.0	3523.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4949.0	2339.0
163087	585.0	366.0
728568	497.0	428.0
106481407	16.0	24.0
3704	1663.0	1383.0
3705	9777.0	2542.0
63926	477.0	546.0
3706	16.0	80.0
63929	1046.0	1163.0
3707	19891.0	2299.0
63928	2.0	16.0
3708	12378.0	2400.0
106481411	0.0	1.0
3709	4926.0	1628.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	29.0	35.0
3702	365.0	266.0
3703	12118.0	13173.0
645506	0.0	0.0
151050	1687.0	379.0
645520	0.0	0.0
63941	2111.0	777.0
63940	4254.0	2077.0
63943	344.0	683.0
728517	0.0	0.0
163033	424.0	244.0
258010	1706.0	427.0
63947	0.0	0.0
63946	1.0	1.0
728513	3.0	6.0
100033803	0.0	0.0
3716	26322.0	11195.0
100033804	0.0	0.0
3717	1629.0	611.0
100033805	0.0	0.0
3718	681.0	1625.0
63939	901.0	671.0
100033806	0.0	0.0
100190799	6.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	135.0	60.0
3710	25100.0	13219.0
3712	9138.0	1683.0
3713	0.0	21687.0
3714	2540.0	832.0
63950	0.0	135.0
728505	1.0	0.0
63951	190.0	118.0
100033807	0.0	0.0
728501	23.0	31.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	46218.0	26570.0
100033814	0.0	0.0
3727	16146.0	4415.0
63948	0.0	1.0
100033815	0.0	0.0
222052	0.0	0.0
3728	40427.0	58693.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	2432.0	5536.0
151056	440.0	706.0
3725	27130.0	18165.0
645528	1.0	2.0
728532	25.0	12.0
163059	290.0	408.0
728538	0.0	5.0
728537	154.0	188.0
63967	356.0	729.0
3737	19.0	12.0
3738	841.0	119.0
3739	528.0	0.0
645538	0.0	0.0
3730	11186.0	434.0
3732	13302.0	7827.0
3734	14.0	5.0
3735	7837.0	6879.0
3736	0.0	3.0
63970	2.0	76.0
3750	331.0	246.0
63971	8559.0	3830.0
63974	0.0	0.0
163049	1911.0	1228.0
63973	0.0	1.0
63976	1691.0	46.0
222068	6840.0	9402.0
63978	0.0	0.0
63977	604.0	721.0
63979	454.0	1045.0
728524	0.0	0.0
3748	1196.0	934.0
163051	21.0	14.0
3749	2617.0	1578.0
163050	55.0	45.0
3741	179.0	7.0
645548	21.0	10.0
3743	4.0	111.0
3744	11.0	2.0
3745	242.0	7.0
3746	3.0	3.0
3747	0.0	1.0
285671	752.0	105.0
285672	2004.0	1905.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	5.0	0.0
285676	120.0	40.0
3761	1.0	1.0
100128657	0.0	0.0
285679	1.0	3.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	3896.0	252.0
283008	9.0	3.0
3751	63.0	273.0
100873435	0.0	0.0
3752	1107.0	304.0
100873434	0.0	0.0
3753	88.0	62.0
100873433	0.0	1.0
3754	20.0	18.0
100873432	0.0	0.0
3755	7.0	2163.0
100873439	0.0	0.0
3756	7.0	7.0
100873438	0.0	0.0
3757	274.0	92.0
100873437	0.0	0.0
3758	18.0	8.0
100873436	0.0	0.0
100873420	4.0	10.0
3770	47.0	447.0
3772	7650.0	1046.0
100861458	0.0	0.0
100861453	40.0	31.0
100861455	0.0	1.0
1107	25010.0	7867.0
1106	8023.0	6559.0
1105	2762.0	1169.0
1104	2221.0	5529.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1956.0	774.0
1101	37.0	16.0
3762	2968.0	764.0
100873424	0.0	0.0
3763	20.0	250.0
100128640	90.0	57.0
100873423	0.0	0.0
3764	2420.0	670.0
100873422	0.0	4.0
3765	1.0	0.0
100873421	0.0	0.0
3766	27.0	12.0
100873428	0.0	0.0
3767	406.0	82.0
100873427	0.0	1.0
3768	354.0	146.0
1109	3.0	2.0
100873426	4.0	3.0
1108	22183.0	21631.0
3769	6.0	1.0
100873425	1.0	1.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	27.0	22.0
100873453	0.0	0.0
3781	472.0	39.0
100873452	0.0	0.0
3782	3780.0	673.0
100873451	0.0	0.0
3783	96.0	1058.0
100873450	0.0	0.0
1121	2157.0	858.0
100861468	0.0	1.0
1120	119.0	266.0
100861469	0.0	0.0
1118	842.0	5363.0
1117	4000.0	834.0
1116	5795.0	7638.0
1114	16.0	49.0
1113	187.0	5.0
1112	10478.0	4301.0
1111	378.0	1030.0
3773	30.0	1.0
100873457	1.0	3.0
100873456	0.0	0.0
3775	595.0	1663.0
100873455	0.0	0.0
3776	5.0	108.0
100873454	0.0	0.0
3777	12662.0	90.0
3778	1735.0	1102.0
3779	486.0	537.0
100873459	0.0	0.0
1119	1529.0	555.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	4812.0	1282.0
100128628	5.0	6.0
3791	21041.0	936.0
100873442	0.0	0.0
3792	16.0	40.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	42.0	26.0
1131	2687.0	566.0
1130	3117.0	1804.0
100861476	0.0	2.0
1129	569.0	10.0
1128	42.0	1.0
1124	989.0	259.0
1123	3063.0	1072.0
1122	1740.0	768.0
100861470	0.0	0.0
3784	6647.0	406.0
100873446	0.0	0.0
3785	2.0	3.0
100873445	0.0	0.0
3786	555.0	101.0
100873444	0.0	0.0
3787	279.0	43.0
100873443	0.0	0.0
3788	24.0	44.0
100873449	1.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	2.0
283050	68.0	140.0
100128618	2.0	1.0
728597	0.0	0.0
100128617	10.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	4.0	0.0
100873473	0.0	0.0
100873472	1.0	0.0
1143	2.0	31.0
285634	4.0	4.0
1142	2.0	2.0
1141	28.0	107.0
285636	2394.0	2407.0
1140	400.0	447.0
728599	0.0	0.0
1139	170.0	10.0
1138	75.0	37.0
1137	14.0	16.0
100861485	0.0	0.0
1136	46.0	8.0
1135	77.0	1.0
1134	56.0	54.0
1133	9.0	22.0
3795	486.0	515.0
100873479	7.0	20.0
3796	1661.0	1456.0
100873478	0.0	0.0
3797	1886.0	1929.0
100873477	1.0	1.0
3798	24.0	65.0
100873476	0.0	0.0
3799	18527.0	9390.0
100873460	0.0	0.0
728586	13.0	12.0
285641	4.0	5.0
100873464	2.0	4.0
100873463	0.0	0.0
100873462	2.0	5.0
285643	5.0	1.0
100128603	2.0	0.0
100873461	0.0	0.0
1154	4838.0	1131.0
1153	13321.0	6800.0
1152	8260.0	2836.0
285647	9.0	27.0
728589	16.0	45.0
728588	0.0	0.0
1149	10.0	2.0
1147	1920.0	1342.0
1146	4.0	2.0
1145	193.0	113.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	1.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	829.0	1436.0
1163	616.0	1700.0
285659	0.0	0.0
1161	461.0	448.0
1160	140.0	71.0
1159	10.0	607.0
1158	15.0	30.0
1157	0.0	0.0
1155	3661.0	3293.0
550643	2122.0	1153.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	1.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	3.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2149.0	2759.0
1175	4593.0	9616.0
285668	14.0	2.0
1174	1932.0	2988.0
1173	29129.0	54323.0
550631	142.0	214.0
100873489	0.0	0.0
283014	6.0	6.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	8.0	69.0
1186	5904.0	4485.0
1185	2355.0	1180.0
1184	1413.0	1651.0
1183	2580.0	610.0
1182	6803.0	4350.0
1181	241.0	552.0
440375	130.0	32.0
1180	4.0	2.0
1179	0.0	0.0
1178	34.0	45.0
283089	19.0	11.0
85495	0.0	0.0
85480	127.0	33.0
283080	0.0	0.0
1198	3704.0	4154.0
1197	0.0	0.0
1196	1778.0	2828.0
1195	2450.0	2749.0
440366	1.0	1.0
1193	3209.0	1131.0
1192	24444.0	17923.0
1191	32066.0	2840.0
1188	69.0	103.0
283078	65.0	26.0
85486	0.0	6.0
128615	0.0	0.0
85481	0.0	0.0
128611	168.0	92.0
440396	63.0	42.0
128609	0.0	0.0
128602	10.0	7.0
440387	4.0	1.0
128674	0.0	0.0
128676	1.0	0.0
114026	0.0	1.0
100861402	0.0	3.0
126014	4415.0	1825.0
440335	428.0	1332.0
100128690	0.0	0.0
114034	754.0	612.0
126006	14.0	24.0
114036	94.0	51.0
100128696	0.0	0.0
100128688	0.0	2.0
126003	49.0	32.0
100861412	2.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	3.0
100128678	3.0	0.0
100861429	0.0	0.0
128653	0.0	20.0
200728	194.0	225.0
440356	5.0	71.0
440354	36.0	51.0
440352	1.0	2.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	37.0	9.0
100873412	0.0	0.0
100873411	0.0	1.0
100128675	13.0	4.0
100873410	0.0	0.0
100873417	6.0	10.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	2.0	6.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	72.0	116.0
200734	7646.0	2171.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	1.0	0.0
100873408	0.0	0.0
100873407	1.0	0.0
100861430	17.0	3.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	1.0	0.0
128637	5058.0	2412.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	2.0	1.0
165530	97.0	3.0
85409	2265.0	647.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	485.0
106481383	1.0	2.0
85417	69.0	10.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	1298.0	643.0
106481389	0.0	0.0
85415	895.0	749.0
106481387	0.0	0.0
85413	11.0	7.0
106481388	0.0	3.0
645436	0.0	0.0
106481381	5.0	1.0
106481382	0.0	0.0
10	19.0	8.0
106481380	0.0	0.0
11	0.0	0.0
403341	1375.0	450.0
12	149.0	39.0
13	289.0	17.0
14	6500.0	4976.0
15	39.0	33.0
16	12260.0	7181.0
645455	42.0	4.0
18	1165.0	539.0
19	9396.0	7598.0
128580	7.0	4.0
85407	2981.0	295.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	2448.0	1996.0
106481395	0.0	0.0
85403	2238.0	1380.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	1.0
106481393	0.0	0.0
20	4094.0	2795.0
106481390	0.0	0.0
21	88880.0	1150.0
106481391	0.0	0.0
22	1290.0	1063.0
153571	857.0	70.0
153572	2795.0	76.0
23	6596.0	6452.0
24	316.0	36.0
25	9068.0	4716.0
26	96.0	25.0
27	2677.0	2325.0
28	1029.0	576.0
29	12767.0	5266.0
153579	2045.0	64.0
728615	0.0	0.0
728614	0.0	0.0
200765	247.0	199.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	43.0	32.0
102466518	1.0	6.0
102466516	4.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	1.0	0.0
85439	1237.0	2086.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1886.0	2640.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	355.0	113.0
106481366	0.0	0.0
30	3987.0	2113.0
106481360	0.0	0.0
31	11139.0	5019.0
32	4085.0	399.0
33	1922.0	35.0
34	2666.0	1334.0
35	2051.0	1227.0
153562	2333.0	1605.0
36	2227.0	1031.0
37	13457.0	10697.0
38	4265.0	1510.0
440307	4.0	19.0
39	1907.0	328.0
165545	6.0	823.0
106481369	0.0	0.0
728606	1.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	2.0
106481378	2.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	16.0	9.0
106481370	0.0	0.0
41	101.0	351.0
106481371	0.0	0.0
43	205.0	65.0
645486	1.0	0.0
47	15665.0	12273.0
48	6260.0	2332.0
49	75.0	11.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	9.0	10.0
106481340	0.0	0.0
85458	3168.0	503.0
