id	8ff70f54-8735-40b1-a556-b96e8889cc0f	5a491f56-a9a5-4bae-a85a-c4c316a6b282
285550	1279.0	2251.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	8.0	63.0
3640	6.0	15.0
3638	7787.0	13756.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	3670.0	2835.0
100873313	0.0	0.0
3632	3829.0	2045.0
100873312	1.0	1.0
100873311	0.0	0.0
3633	3309.0	1236.0
100873318	0.0	0.0
3635	4140.0	2053.0
100873317	0.0	0.0
3636	8779.0	5600.0
100128771	50.0	17.0
100873316	3.0	4.0
100873315	1.0	0.0
100128766	1.0	1.0
3651	0.0	0.0
1	24.0	67.0
2	347172.0	46620.0
100873309	0.0	0.0
100873308	0.0	0.0
3	21.0	2.0
3641	0.0	0.0
100873303	0.0	0.0
9	430.0	223.0
3642	12.0	58.0
100873302	0.0	0.0
3643	6134.0	4166.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	2.0	14.0
100873307	0.0	0.0
3646	15282.0	12349.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	77.0	176.0
100873304	0.0	0.0
100873332	2.0	1.0
3660	4681.0	4237.0
100873331	0.0	0.0
3661	2783.0	5060.0
100873330	0.0	0.0
285577	1.0	5.0
3662	611.0	549.0
100128756	1.0	0.0
1000	59.0	4625.0
3652	904.0	1503.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	608.0	73.0
3654	6611.0	35273.0
100873334	1.0	0.0
3655	9656.0	20557.0
100873333	0.0	0.0
3656	752.0	553.0
100873339	0.0	0.0
3658	5431.0	8542.0
100873338	1.0	0.0
3659	15684.0	3514.0
100873337	0.0	0.0
3670	3.0	423.0
100873321	0.0	0.0
3671	2979.0	9470.0
100873320	0.0	0.0
3672	13478.0	2996.0
285588	0.0	0.0
3673	2498.0	11218.0
1011	1.0	0.0
1010	3.0	275.0
1008	11.0	1.0
1007	0.0	0.0
1006	57.0	203.0
1005	3.0	19.0
1004	730.0	12873.0
1003	25761.0	2321.0
1002	71.0	16.0
1001	625.0	35291.0
3663	1982.0	738.0
100873325	0.0	1.0
3664	3984.0	17043.0
100873324	0.0	0.0
3665	1500.0	922.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2566.0	12292.0
100873329	0.0	0.0
285590	3532.0	6923.0
100873328	0.0	0.0
3669	2500.0	1100.0
100873327	0.0	0.0
1009	6568.0	11671.0
100873326	1.0	0.0
100873350	0.0	0.0
116729	1.0	13.0
728477	11.0	8.0
3680	4234.0	817.0
3681	143.0	25.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1965.0	1276.0
100873353	0.0	0.0
3683	11734.0	1700.0
100873352	1.0	2.0
128710	730.0	2020.0
