id	652ecf99-1af9-41fc-b0a5-d3e5c07a7b5d	9813b5d6-2309-4e67-85c0-1fae01d9672d
1070	816.0	458.0
1069	5679.0	2564.0
1068	0.0	0.0
85369	1963.0	1843.0
85366	3.0	19.0
85364	2422.0	1616.0
85365	3647.0	1837.0
85363	1470.0	1130.0
85360	1241.0	1498.0
1080	3128.0	489.0
85391	13.0	10.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	1.0
1088	14.0	0.0
153733	313.0	476.0
1087	21.0	7.0
1086	0.0	0.0
440279	9.0	5.0
1085	1.0	0.0
1084	261.0	11.0
440278	38.0	79.0
1082	1.0	0.0
403294	1.0	0.0
440275	4109.0	4845.0
1081	0.0	0.0
85397	8.0	5.0
85395	469.0	557.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	1.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	959.0	708.0
1089	581.0	50.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	209.0	169.0
285598	202.0	512.0
126133	1696.0	3690.0
128790	0.0	1.0
126129	117.0	492.0
126123	4.0	3.0
442862	0.0	0.0
126119	911.0	1332.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	35.0	12.0
442896	1.0	0.0
114132	199.0	27.0
442897	0.0	0.0
442898	10.0	0.0
114134	1017.0	586.0
442899	0.0	0.0
100128790	0.0	0.0
128760	3.0	4.0
100128788	49.0	48.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	1.0	1.0
442892	0.0	0.0
128756	0.0	0.0
100128782	190.0	185.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	50.0	20.0
102466616	0.0	0.0
126052	0.0	0.0
151009	9.0	33.0
403227	0.0	0.0
403228	0.0	0.0
138046	3.0	6.0
645558	0.0	0.0
403229	0.0	1.0
645573	0.0	0.0
645572	0.0	0.0
645571	31.0	16.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1220.0	2666.0
107131122	0.0	0.0
138050	6879.0	7061.0
403219	1.0	0.0
151011	9634.0	3718.0
645587	0.0	0.0
165679	23.0	103.0
126037	38.0	21.0
114049	4951.0	5914.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	100.0
106481484	0.0	0.0
106481485	2.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	2994.0	1007.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3453.0	1317.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	83.0	117.0
100033820	0.0	0.0
106481480	3.0	1.0
106481481	0.0	0.0
138065	21.0	9.0
645598	1.0	0.0
163007	0.0	5.0
114038	8.0	3.0
645591	19.0	5.0
106481495	0.0	0.0
114041	2.0	23.0
106481496	0.0	0.0
114042	1.0	1.0
106481493	0.0	0.0
114043	54.0	134.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	164.0	210.0
126017	272.0	316.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	0.0
85301	951.0	1561.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	3015.0	2270.0
106481459	0.0	0.0
26994	13194.0	4449.0
106481457	1.0	1.0
26995	1441.0	2206.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	352.0
403272	2.0	0.0
102466659	0.0	1.0
26999	3131.0	2521.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	2.0
106481460	3.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2607.0	2770.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	9.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	64.0	14.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	1.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	4.0	2.0
106481470	1.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1388.0	631.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	9.0	9.0
106481437	0.0	0.0
26974	39.0	40.0
153657	51.0	29.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1355.0	1232.0
165631	390.0	387.0
106481436	2.0	0.0
26978	70.0	23.0
126075	1068.0	848.0
106481439	0.0	0.0
403250	0.0	0.0
126074	152.0	172.0
403251	0.0	0.0
106481440	1.0	0.0
106481441	0.0	0.0
85359	2510.0	2660.0
106481444	3.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	1.0	0.0
85358	3778.0	1556.0
85354	1.0	0.0
85352	46.0	140.0
403241	0.0	2.0
344462	0.0	5.0
403244	0.0	0.0
403245	0.0	0.0
153642	277.0	325.0
153643	756.0	25.0
403247	0.0	0.0
403248	0.0	0.0
26985	2855.0	2941.0
106481448	0.0	0.0
26986	64798.0	115402.0
126069	58.0	47.0
106481449	0.0	0.0
126068	215.0	284.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1347.0	892.0
106481447	0.0	0.0
106481451	0.0	1.0
106481452	1.0	0.0
106481450	1.0	0.0
114088	24.0	306.0
106481455	0.0	0.0
85349	598.0	24.0
106481456	0.0	1.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	9.0	4.0
106481454	1.0	0.0
403238	0.0	0.0
85344	7.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	3.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	0.0
100873392	3.0	0.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	1.0	0.0
106481415	0.0	1.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2486.0	2232.0
100873390	0.0	0.0
728556	63.0	102.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	133.0	122.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	450.0	310.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	153.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	1.0
100128801	0.0	0.0
285600	244.0	86.0
100873384	0.0	0.0
285601	10.0	138.0
106481426	0.0	0.0
106481427	2.0	0.0
222005	5.0	4.0
63910	584.0	934.0
106481424	0.0	1.0
106481425	0.0	0.0
285605	452.0	392.0
222008	1.0	0.0
106481428	1.0	1.0
106481429	1.0	1.0
63905	4451.0	3020.0
63904	0.0	0.0
106481430	0.0	1.0
163071	21.0	80.0
63906	1050.0	988.0
106481433	0.0	0.0
63908	814.0	883.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	4.0
285613	118.0	158.0
63920	111.0	165.0
63923	46.0	127.0
63922	324.0	1293.0
728577	52.0	16.0
63925	2175.0	2470.0
63924	3.0	1.0
63916	3064.0	3232.0
63917	3277.0	3494.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	1.0
728564	3.0	13.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1763.0	2366.0
106481402	0.0	0.0
63931	1530.0	1372.0
106481403	0.0	3.0
63934	121.0	89.0
728567	2.0	1.0
106481408	1.0	0.0
163088	5.0	4.0
63933	2500.0	2535.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5038.0	4083.0
163087	592.0	451.0
728568	382.0	483.0
106481407	13.0	12.0
3704	2544.0	3040.0
3705	7208.0	5603.0
63926	505.0	474.0
3706	21.0	194.0
63929	797.0	1128.0
3707	4735.0	5107.0
63928	9.0	149.0
3708	5483.0	2222.0
106481411	0.0	1.0
3709	2219.0	2126.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	51.0	39.0
3702	1217.0	1280.0
3703	5104.0	9936.0
645506	3.0	0.0
151050	1663.0	676.0
645520	0.0	0.0
63941	2704.0	1396.0
63940	7355.0	3540.0
63943	285.0	337.0
728517	0.0	0.0
163033	498.0	814.0
258010	2603.0	1097.0
63947	0.0	0.0
63946	1.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	14190.0	10327.0
100033804	0.0	0.0
3717	2180.0	1367.0
100033805	0.0	0.0
3718	1588.0	1957.0
63939	791.0	1586.0
100033806	0.0	0.0
100190799	17.0	10.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	64.0	152.0
3710	8360.0	13222.0
3712	3982.0	3579.0
3713	42.0	749.0
3714	1065.0	2137.0
63950	1.0	172.0
728505	0.0	0.0
63951	185.0	64.0
100033807	0.0	0.0
728501	45.0	42.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	59829.0	19822.0
100033814	0.0	0.0
3727	46456.0	10361.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	2.0
3728	15849.0	48471.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1486.0	2980.0
151056	593.0	421.0
3725	29034.0	18581.0
645528	4.0	8.0
728532	15.0	22.0
163059	333.0	108.0
728538	0.0	0.0
728537	171.0	60.0
63967	52.0	675.0
3737	17.0	14.0
3738	945.0	219.0
3739	94.0	31.0
645538	0.0	0.0
3730	6597.0	2000.0
3732	8147.0	9316.0
3734	37.0	40.0
3735	7160.0	8264.0
3736	20.0	4.0
63970	18.0	16.0
3750	144.0	370.0
63971	5083.0	4245.0
63974	0.0	0.0
163049	1813.0	1767.0
63973	1.0	1.0
63976	1040.0	502.0
222068	7928.0	8122.0
63978	0.0	0.0
63977	320.0	683.0
63979	208.0	1340.0
728524	0.0	0.0
3748	637.0	1382.0
163051	19.0	19.0
3749	556.0	550.0
163050	36.0	71.0
3741	260.0	32.0
645548	4.0	8.0
3743	1.0	4.0
3744	21.0	5.0
3745	55.0	4.0
3746	1.0	5.0
3747	0.0	0.0
285671	609.0	341.0
285672	2339.0	1381.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	12.0	31.0
285676	36.0	27.0
3761	2.0	2.0
100128657	0.0	2.0
285679	0.0	7.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	553.0	596.0
283008	0.0	0.0
3751	63.0	307.0
100873435	0.0	0.0
3752	404.0	415.0
100873434	0.0	0.0
3753	280.0	105.0
100873433	0.0	0.0
3754	23.0	33.0
100873432	0.0	0.0
3755	3.0	887.0
100873439	0.0	0.0
3756	5.0	14.0
100873438	0.0	0.0
3757	241.0	311.0
100873437	0.0	0.0
3758	22.0	27.0
100873436	0.0	0.0
100873420	4.0	6.0
3770	67.0	128.0
3772	7786.0	2072.0
100861458	0.0	2.0
100861453	42.0	65.0
100861455	0.0	1.0
1107	7827.0	10993.0
1106	10931.0	4851.0
1105	5402.0	2251.0
1104	1308.0	2997.0
100873429	0.0	0.0
1103	0.0	3.0
1102	1273.0	735.0
1101	63.0	42.0
3762	1226.0	3551.0
100873424	0.0	0.0
3763	9.0	21.0
100128640	104.0	90.0
100873423	0.0	0.0
3764	1979.0	667.0
100873422	0.0	0.0
3765	1.0	1.0
100873421	0.0	1.0
3766	17.0	130.0
100873428	0.0	0.0
3767	146.0	210.0
100873427	0.0	0.0
3768	209.0	83.0
1109	7.0	39.0
100873426	0.0	3.0
1108	12293.0	17316.0
3769	0.0	2.0
100873425	0.0	0.0
100128637	3.0	0.0
100128639	0.0	0.0
3780	10.0	34.0
100873453	0.0	0.0
3781	96.0	48.0
100873452	0.0	0.0
3782	594.0	566.0
100873451	0.0	0.0
3783	915.0	994.0
100873450	0.0	0.0
1121	1872.0	1081.0
100861468	0.0	0.0
1120	359.0	325.0
100861469	0.0	1.0
1118	1772.0	64556.0
1117	5989.0	396.0
1116	2613.0	20185.0
1114	41.0	586.0
1113	72.0	188.0
1112	7126.0	6197.0
1111	131.0	1171.0
3773	311.0	135.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	3184.0	2723.0
100873455	0.0	0.0
3776	10.0	336.0
100873454	0.0	1.0
3777	4385.0	356.0
3778	699.0	2325.0
3779	555.0	651.0
100873459	0.0	1.0
1119	2743.0	999.0
100128627	2.0	1.0
100128626	1.0	0.0
3790	4848.0	2822.0
100128628	18.0	8.0
3791	6659.0	1591.0
100873442	0.0	0.0
3792	6.0	85.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	116.0	31.0
1131	352.0	955.0
1130	3329.0	1427.0
100861476	1.0	0.0
1129	55.0	2.0
1128	120.0	10.0
1124	598.0	777.0
1123	1516.0	1712.0
1122	1717.0	1578.0
100861470	0.0	0.0
3784	4866.0	1387.0
100873446	1.0	0.0
3785	1.0	3.0
100873445	0.0	0.0
3786	489.0	255.0
100873444	0.0	0.0
3787	91.0	19.0
100873443	0.0	0.0
3788	11.0	51.0
100873449	0.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	149.0	200.0
100128618	0.0	1.0
728597	7.0	4.0
100128617	9.0	14.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	16.0	49.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	180.0
285634	6.0	2.0
1142	0.0	0.0
1141	7.0	44.0
285636	1730.0	2911.0
1140	216.0	518.0
728599	2.0	1.0
1139	5.0	50.0
1138	6.0	119.0
1137	14.0	1.0
100861485	0.0	0.0
1136	9.0	15.0
1135	76.0	6.0
1134	3.0	204.0
1133	11.0	23.0
3795	249.0	647.0
100873479	6.0	7.0
3796	1265.0	1735.0
100873478	1.0	0.0
3797	348.0	2747.0
100873477	1.0	1.0
3798	12.0	104.0
100873476	0.0	0.0
3799	14597.0	7760.0
100873460	0.0	0.0
728586	18.0	9.0
285641	1.0	2.0
100873464	4.0	12.0
100873463	0.0	1.0
100873462	1.0	0.0
285643	2.0	2.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	4707.0	1651.0
1153	22887.0	15093.0
1152	9825.0	3133.0
285647	12.0	17.0
728589	44.0	18.0
728588	0.0	0.0
1149	1.0	4.0
1147	3128.0	1789.0
1146	1.0	2.0
1145	201.0	107.0
1144	0.0	1.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	958.0	1204.0
1163	930.0	1599.0
285659	0.0	0.0
1161	462.0	370.0
1160	45.0	57.0
1159	13.0	316.0
1158	2.0	8.0
1157	0.0	0.0
1155	4477.0	4160.0
550643	2179.0	1572.0
283025	0.0	1.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3244.0	2578.0
1175	4874.0	5600.0
285668	26.0	3.0
1174	1966.0	3308.0
1173	20629.0	46342.0
550631	365.0	111.0
100873489	0.0	0.0
283014	9.0	13.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	40.0	12.0
1186	3398.0	5381.0
1185	2062.0	1274.0
1184	1328.0	1004.0
1183	977.0	277.0
1182	3392.0	3608.0
1181	278.0	1684.0
440375	73.0	64.0
1180	8.0	11.0
1179	1.0	0.0
1178	178.0	2.0
283089	85.0	10.0
85495	0.0	0.0
85480	644.0	144.0
283080	0.0	0.0
1198	3947.0	2773.0
1197	1.0	0.0
1196	1665.0	2006.0
1195	11113.0	2844.0
440366	0.0	2.0
1193	6286.0	1396.0
1192	53919.0	19158.0
1191	37896.0	14939.0
1188	37.0	18.0
283078	73.0	62.0
85486	11.0	4.0
128615	0.0	0.0
85481	0.0	0.0
128611	205.0	313.0
440396	44.0	109.0
128609	0.0	0.0
128602	2687.0	69.0
440387	4.0	5.0
128674	1.0	0.0
128676	1.0	1.0
114026	0.0	0.0
100861402	3.0	3.0
126014	5590.0	2506.0
440335	808.0	43.0
100128690	0.0	0.0
114034	978.0	657.0
126006	18.0	11.0
114036	21.0	32.0
100128696	0.0	0.0
100128688	1.0	0.0
126003	28.0	47.0
100861412	0.0	0.0
105180390	0.0	1.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	0.0	1.0
100861429	0.0	0.0
128653	0.0	1.0
200728	248.0	503.0
440356	2.0	28.0
440354	163.0	67.0
440352	0.0	2.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	41.0	21.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	2.0	14.0
100873410	0.0	0.0
100873417	3.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	302.0	194.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	186.0	290.0
200734	6179.0	2843.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	3.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	9.0	3.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	1.0
100128665	0.0	1.0
128637	3981.0	3358.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	3.0	3.0
165530	37.0	13.0
85409	2045.0	2241.0
106481385	1.0	0.0
106481386	1.0	0.0
85416	1.0	169.0
106481383	3.0	0.0
85417	110.0	37.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	237.0	821.0
106481389	0.0	0.0
85415	1337.0	757.0
106481387	0.0	0.0
85413	280.0	81.0
106481388	0.0	1.0
645436	0.0	1.0
106481381	1.0	0.0
106481382	0.0	0.0
10	4.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1313.0	976.0
12	226.0	32.0
13	1458.0	131.0
14	6508.0	6915.0
15	12.0	7.0
16	5355.0	9386.0
645455	19.0	12.0
18	1049.0	457.0
19	2743.0	6299.0
128580	12.0	7.0
85407	659.0	352.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	1.0	0.0
85406	1662.0	1841.0
106481395	0.0	0.0
85403	4749.0	2037.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	1.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	2242.0	3114.0
106481390	0.0	0.0
21	44600.0	6363.0
106481391	0.0	0.0
22	1353.0	1069.0
153571	824.0	107.0
153572	1919.0	458.0
23	6166.0	7081.0
24	75.0	73.0
25	8314.0	7205.0
26	66.0	429.0
27	5516.0	2956.0
28	902.0	840.0
29	10275.0	7880.0
153579	6064.0	165.0
728615	0.0	0.0
728614	0.0	0.0
200765	195.0	330.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	14.0	18.0
102466518	0.0	0.0
102466516	1.0	2.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	333.0	1643.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2739.0	3152.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	353.0	253.0
106481366	0.0	0.0
30	5247.0	2852.0
106481360	0.0	0.0
31	4119.0	5563.0
32	1449.0	921.0
33	2351.0	331.0
34	3215.0	1491.0
35	2006.0	1329.0
153562	1166.0	1111.0
36	4804.0	1769.0
37	19501.0	12025.0
38	5646.0	2859.0
440307	13.0	17.0
39	2883.0	3442.0
165545	5.0	141.0
106481369	0.0	0.0
728606	7.0	2.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	8.0	9.0
106481370	0.0	0.0
41	71.0	1272.0
106481371	0.0	0.0
43	223.0	108.0
645486	0.0	0.0
47	7758.0	15248.0
48	4144.0	3570.0
49	48.0	6.0
106481338	0.0	0.0
106481339	1.0	1.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
