id	ab23d90a-ed58-4aec-b9bc-ba14d833ae68	00068002-f4f0-4610-bfe6-67169c760d21
1009	5445.0	770.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	20.0
728477	8.0	9.0
3680	4221.0	472.0
3681	34.0	23.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	1354.0	440.0
100873353	0.0	0.0
3683	6037.0	296.0
100873352	6.0	1.0
128710	431.0	699.0
3684	4172.0	156.0
100873351	2.0	2.0
285512	162.0	22.0
1022	752.0	534.0
285513	4150.0	89.0
1021	2329.0	2978.0
1020	667.0	690.0
440299	1.0	0.0
1019	2671.0	6342.0
128709	1.0	0.0
1018	49.0	18.0
1017	1417.0	2003.0
1016	0.0	0.0
1015	23.0	3.0
1014	18.0	9.0
1013	49.0	2.0
1012	1537.0	197.0
116730	13.0	7.0
3674	56.0	39.0
100873358	0.0	0.0
3675	18819.0	5007.0
100873357	0.0	0.0
3676	2080.0	130.0
100128731	4341.0	4132.0
100873356	0.0	0.0
3678	17748.0	1647.0
3679	381.0	84.0
100873359	0.0	0.0
728464	69.0	1.0
728463	62.0	2.0
100128725	0.0	0.0
3690	164.0	12.0
3691	3288.0	31308.0
100873343	2.0	0.0
3692	4032.0	6613.0
3693	10584.0	7771.0
285521	1057.0	401.0
100873342	0.0	0.0
3694	11987.0	452.0
100873341	0.0	0.0
3695	370.0	140.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	141.0	1325.0
1032	410.0	401.0
285525	1.0	0.0
1031	548.0	501.0
285527	3656.0	889.0
1030	5428.0	1038.0
728468	0.0	1.0
440288	128.0	143.0
1029	295.0	1938.0
440295	194.0	91.0
1028	1110.0	180.0
1027	3438.0	3023.0
1026	10846.0	2022.0
1025	3524.0	2897.0
1024	663.0	548.0
3685	7542.0	5679.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	3955.0	365.0
100873345	0.0	0.0
3688	30845.0	15716.0
100873344	1.0	3.0
3689	20194.0	2320.0
100873349	0.0	0.0
100873348	1.0	0.0
100873372	1.0	1.0
100873371	2.0	0.0
100873370	0.0	0.0
728498	21.0	0.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	36.0	7.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	125.0	114.0
100873374	0.0	1.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	7.0	8.0
1043	7988.0	168.0
1041	2.0	1.0
1040	2785.0	1014.0
1039	2181.0	1474.0
1038	0.0	0.0
1036	438.0	191.0
3696	1256.0	6169.0
3697	6.0	3.0
100873379	0.0	0.0
3698	198.0	0.0
100873378	3.0	2.0
3699	313.0	2.0
100873377	0.0	0.0
728486	88.0	18.0
100873361	0.0	0.0
105373869	9.0	9.0
100873360	0.0	2.0
285540	103.0	12.0
100128705	3.0	0.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	2.0	2.0
1054	2252.0	3199.0
285547	0.0	0.0
1053	19.0	186.0
285548	0.0	3.0
1052	7491.0	4354.0
1051	4314.0	576.0
728489	7.0	5.0
1050	1669.0	2098.0
100128707	0.0	0.0
1048	60.0	1965.0
1047	88.0	11.0
1046	0.0	0.0
1045	1.0	2.0
100873369	9.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	10295.0	58.0
1063	748.0	8102.0
1062	254.0	1261.0
1061	4.0	1.0
1060	1266.0	661.0
440253	120.0	34.0
1059	5347.0	3159.0
1058	59.0	986.0
1057	0.0	0.0
85379	4689.0	8990.0
114112	485.0	460.0
1056	25.0	84.0
85377	3093.0	10821.0
85378	3197.0	1053.0
128745	0.0	0.0
85376	17.0	8.0
440248	513.0	161.0
1075	29577.0	34831.0
1074	15.0	6.0
1073	3770.0	418.0
1072	40338.0	32460.0
1071	428.0	12.0
440243	0.0	1.0
1070	678.0	489.0
1069	3076.0	2501.0
1068	0.0	0.0
85369	1864.0	546.0
85366	46.0	12.0
85364	1254.0	1229.0
85365	1948.0	1652.0
85363	2421.0	525.0
85360	1580.0	510.0
1080	1935.0	2.0
85391	4.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	1.0
1088	244.0	2.0
153733	334.0	254.0
1087	9.0	12.0
1086	0.0	1.0
440279	6.0	1.0
1085	0.0	0.0
1084	48.0	7.0
440278	74.0	164.0
1082	0.0	0.0
403294	1.0	0.0
440275	3734.0	4088.0
1081	0.0	0.0
85397	11.0	0.0
85395	359.0	1129.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	1.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	1226.0	274.0
1089	88.0	12.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	118.0	3.0
285598	671.0	432.0
126133	2611.0	3526.0
128790	0.0	2.0
126129	359.0	329.0
126123	6.0	0.0
442862	0.0	0.0
126119	1037.0	1295.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	3.0	0.0
114131	190.0	0.0
442896	0.0	0.0
114132	452.0	8.0
442897	0.0	0.0
442898	4.0	0.0
114134	1105.0	188.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	2.0
100128788	26.0	26.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	8.0
442890	0.0	0.0
442891	1.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	141.0	75.0
100128781	3.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	2.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	65.0	7.0
102466616	0.0	0.0
126052	0.0	0.0
151009	64.0	49.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	1.0
645572	0.0	0.0
645571	8.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	785.0	1731.0
107131122	1.0	0.0
138050	7243.0	3331.0
403219	0.0	0.0
151011	5810.0	3043.0
645587	1.0	17.0
165679	3.0	33.0
126037	27.0	8.0
114049	3292.0	3315.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1297.0	69.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1593.0	985.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	218.0	135.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	12.0	130.0
645598	1.0	0.0
163007	4.0	2.0
114038	3.0	0.0
645591	43.0	0.0
106481495	1.0	0.0
114041	5.0	216.0
106481496	0.0	0.0
114042	0.0	0.0
106481493	0.0	0.0
114043	92.0	29.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	186.0	86.0
126017	304.0	513.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	1.0
85301	965.0	1209.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1446.0	2044.0
106481459	0.0	0.0
26994	7151.0	2429.0
106481457	4.0	1.0
26995	1364.0	2019.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	754.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3097.0	98.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	2.0	0.0
106481460	3.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2000.0	1078.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	2.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	2.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	2.0	1.0
106481471	0.0	0.0
85329	27.0	6.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	1.0
106481476	0.0	0.0
85320	5.0	8.0
106481470	4.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1133.0	687.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	10.0	5.0
106481437	0.0	0.0
26974	65.0	91.0
153657	52.0	8.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1128.0	2522.0
165631	458.0	10.0
106481436	2.0	0.0
26978	34.0	12.0
126075	690.0	128.0
106481439	0.0	0.0
403250	0.0	0.0
126074	130.0	223.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1719.0	1523.0
106481444	9.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	7059.0	1316.0
85354	0.0	0.0
85352	88.0	4.0
403241	1.0	1.0
344462	1.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	325.0	158.0
153643	444.0	0.0
403247	0.0	0.0
403248	0.0	0.0
26985	2784.0	1407.0
106481448	0.0	0.0
26986	39593.0	65375.0
126069	83.0	8.0
106481449	0.0	0.0
126068	328.0	104.0
106481446	0.0	0.0
26983	0.0	0.0
26984	792.0	668.0
106481447	0.0	0.0
106481451	4.0	3.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	17.0	1265.0
106481455	0.0	0.0
85349	53.0	1.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	3.0
106481454	1.0	1.0
403238	0.0	0.0
85344	3.0	0.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	1.0
100873392	2.0	1.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	4.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3157.0	723.0
100873390	0.0	0.0
728556	64.0	96.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	88.0	62.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	278.0	368.0
106481423	0.0	0.0
106481420	0.0	1.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	178.0	11.0
100873384	0.0	0.0
285601	20.0	3.0
106481426	0.0	0.0
106481427	4.0	1.0
222005	3.0	1.0
63910	378.0	489.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	674.0	333.0
222008	0.0	1.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2345.0	3125.0
63904	0.0	0.0
106481430	2.0	0.0
163071	35.0	198.0
63906	665.0	373.0
106481433	1.0	0.0
63908	830.0	407.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	8.0	0.0
285613	101.0	213.0
63920	177.0	157.0
63923	52.0	7.0
63922	435.0	1508.0
728577	61.0	0.0
63925	1745.0	1350.0
63924	5.0	0.0
63916	2610.0	1529.0
63917	3247.0	2162.0
106481400	1.0	0.0
106481401	0.0	0.0
728562	2.0	3.0
728564	4.0	20.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1281.0	1145.0
106481402	1.0	0.0
63931	1414.0	788.0
106481403	1.0	3.0
63934	137.0	457.0
728567	2.0	1.0
106481408	0.0	0.0
163088	6.0	1.0
63933	2063.0	1619.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3236.0	2356.0
163087	478.0	310.0
728568	261.0	390.0
106481407	3.0	6.0
3704	1927.0	1475.0
3705	5311.0	5857.0
63926	462.0	1282.0
3706	31.0	342.0
63929	954.0	1757.0
3707	6354.0	6045.0
63928	95.0	125.0
3708	3859.0	341.0
106481411	0.0	0.0
3709	3342.0	293.0
106481412	0.0	0.0
106481410	3.0	0.0
3700	47.0	1.0
3702	912.0	51.0
3703	5882.0	8725.0
645506	0.0	0.0
151050	1375.0	340.0
645520	0.0	0.0
63941	2207.0	806.0
63940	3243.0	244.0
63943	217.0	338.0
728517	0.0	0.0
163033	448.0	420.0
258010	1396.0	338.0
63947	0.0	0.0
63946	0.0	0.0
728513	8.0	2.0
100033803	0.0	0.0
3716	14786.0	2286.0
100033804	0.0	0.0
3717	1841.0	327.0
100033805	0.0	0.0
3718	1116.0	379.0
63939	491.0	2559.0
100033806	0.0	0.0
100190799	4.0	3.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	88.0	13.0
3710	12937.0	7824.0
3712	5130.0	3773.0
3713	18.0	2871.0
3714	1828.0	6248.0
63950	6.0	18.0
728505	0.0	0.0
63951	199.0	96.0
100033807	0.0	0.0
728501	51.0	10.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	19853.0	8032.0
100033814	0.0	0.0
3727	17740.0	3322.0
63948	0.0	0.0
100033815	0.0	0.0
222052	0.0	0.0
3728	13094.0	69905.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1465.0	3263.0
151056	251.0	255.0
3725	21291.0	2380.0
645528	3.0	0.0
728532	35.0	30.0
163059	173.0	120.0
728538	0.0	0.0
728537	295.0	24.0
63967	183.0	584.0
3737	28.0	0.0
3738	1066.0	2.0
3739	91.0	1.0
645538	0.0	0.0
3730	15806.0	709.0
3732	3296.0	2883.0
3734	0.0	0.0
3735	5500.0	3858.0
3736	26.0	0.0
63970	22.0	16.0
3750	182.0	102.0
63971	6197.0	4228.0
63974	0.0	0.0
163049	1514.0	999.0
63973	0.0	1.0
63976	950.0	103.0
222068	5496.0	4337.0
63978	1.0	0.0
63977	615.0	247.0
63979	414.0	1213.0
728524	0.0	0.0
3748	922.0	447.0
163051	11.0	8.0
3749	1661.0	303.0
163050	41.0	46.0
3741	68.0	1.0
645548	32.0	9.0
3743	0.0	5.0
3744	14.0	0.0
3745	83.0	6.0
3746	4.0	5.0
3747	0.0	0.0
285671	607.0	32.0
285672	1685.0	848.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	1.0	2.0
285676	58.0	3.0
3761	1.0	4.0
100128657	0.0	0.0
285679	0.0	0.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1853.0	589.0
283008	1.0	0.0
3751	40.0	85.0
100873435	1.0	0.0
3752	682.0	68.0
100873434	0.0	0.0
3753	177.0	13.0
100873433	0.0	0.0
3754	7.0	5.0
100873432	0.0	0.0
3755	12.0	238.0
100873439	0.0	0.0
3756	5.0	326.0
100873438	0.0	0.0
3757	148.0	571.0
100873437	0.0	0.0
3758	24.0	0.0
100873436	0.0	0.0
100873420	5.0	3.0
3770	60.0	239.0
3772	7922.0	2254.0
100861458	0.0	0.0
100861453	39.0	71.0
100861455	0.0	0.0
1107	11057.0	6038.0
1106	7240.0	2945.0
1105	2592.0	1206.0
1104	1142.0	3017.0
100873429	0.0	0.0
1103	0.0	8.0
1102	1357.0	114.0
1101	105.0	34.0
3762	2607.0	17.0
100873424	0.0	0.0
3763	7.0	0.0
100128640	81.0	55.0
100873423	0.0	0.0
3764	1326.0	88.0
100873422	0.0	0.0
3765	2.0	1.0
100873421	4.0	0.0
3766	23.0	30.0
100873428	0.0	0.0
3767	159.0	315.0
100873427	0.0	0.0
3768	118.0	6.0
1109	12.0	37.0
100873426	1.0	0.0
1108	11331.0	11351.0
3769	2.0	1.0
100873425	1.0	2.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	7.0	35.0
100873453	0.0	0.0
3781	956.0	14.0
100873452	0.0	0.0
3782	1517.0	41.0
100873451	0.0	0.0
3783	386.0	140.0
100873450	0.0	0.0
1121	1897.0	809.0
100861468	0.0	1.0
1120	236.0	51.0
100861469	0.0	0.0
1118	1313.0	105.0
1117	1874.0	33.0
1116	8516.0	617.0
1114	13.0	1519.0
1113	28.0	353.0
1112	5600.0	4926.0
1111	312.0	1688.0
3773	47.0	0.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	644.0	3484.0
100873455	0.0	0.0
3776	2.0	56.0
100873454	0.0	0.0
3777	3601.0	13.0
3778	1058.0	69.0
3779	254.0	62.0
100873459	0.0	0.0
1119	1874.0	460.0
100128627	2.0	0.0
100128626	0.0	0.0
3790	2574.0	1403.0
100128628	10.0	5.0
3791	7223.0	454.0
100873442	0.0	0.0
3792	23.0	1.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	26.0	17.0
1131	803.0	1774.0
1130	2808.0	255.0
100861476	0.0	0.0
1129	37.0	0.0
1128	27.0	5.0
1124	680.0	27.0
1123	1597.0	188.0
1122	974.0	1426.0
100861470	0.0	0.0
3784	3786.0	106.0
100873446	0.0	0.0
3785	1.0	16.0
100873445	0.0	0.0
3786	270.0	14.0
100873444	0.0	0.0
3787	63.0	63.0
100873443	0.0	0.0
3788	12.0	3.0
100873449	4.0	3.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	72.0	8.0
100128618	0.0	1.0
728597	0.0	0.0
100128617	0.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	7.0	55.0
100873473	0.0	0.0
100873472	1.0	0.0
1143	1.0	17.0
285634	2.0	2.0
1142	1.0	0.0
1141	9.0	116.0
285636	1687.0	1541.0
1140	312.0	51.0
728599	1.0	1.0
1139	34.0	62.0
1138	39.0	229.0
1137	1.0	7.0
100861485	0.0	0.0
1136	33.0	11.0
1135	33.0	4.0
1134	23.0	1.0
1133	4.0	133.0
3795	202.0	421.0
100873479	5.0	7.0
3796	1182.0	929.0
100873478	0.0	1.0
3797	629.0	2346.0
100873477	3.0	0.0
3798	10.0	6.0
100873476	0.0	0.0
3799	14815.0	13433.0
100873460	0.0	0.0
728586	10.0	0.0
285641	3.0	0.0
100873464	3.0	4.0
100873463	0.0	0.0
100873462	2.0	2.0
285643	4.0	4.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	6067.0	243.0
1153	13825.0	4694.0
1152	5964.0	2332.0
285647	5.0	22.0
728589	21.0	15.0
728588	0.0	0.0
1149	0.0	2.0
1147	1756.0	708.0
1146	3.0	9.0
1145	47.0	12.0
1144	1.0	0.0
100873468	0.0	0.0
100873467	3.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	1.0	1.0
100873494	0.0	0.0
1164	619.0	2473.0
1163	473.0	2233.0
285659	0.0	0.0
1161	399.0	221.0
1160	139.0	23.0
1159	14.0	385.0
1158	14.0	35.0
1157	0.0	0.0
1155	2948.0	2924.0
550643	1611.0	1318.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2009.0	1323.0
1175	3331.0	3709.0
285668	13.0	0.0
1174	1364.0	2516.0
1173	17112.0	26744.0
550631	245.0	82.0
100873489	0.0	0.0
283014	5.0	3.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	12.0	1.0
1186	3930.0	2062.0
1185	1733.0	290.0
1184	1082.0	971.0
1183	1344.0	9.0
1182	4255.0	2490.0
1181	198.0	758.0
440375	61.0	51.0
1180	2.0	10.0
1179	0.0	3.0
1178	23.0	2.0
283089	20.0	7.0
85495	0.0	0.0
85480	119.0	168.0
283080	0.0	0.0
1198	3070.0	1504.0
1197	0.0	0.0
1196	1615.0	1424.0
1195	5138.0	756.0
440366	0.0	0.0
1193	3295.0	83.0
1192	19372.0	14634.0
1191	24472.0	4751.0
1188	45.0	1.0
283078	117.0	12.0
85486	1.0	6.0
128615	0.0	0.0
85481	0.0	0.0
128611	251.0	8.0
440396	56.0	31.0
128609	0.0	0.0
128602	1684.0	1.0
440387	1.0	0.0
128674	0.0	0.0
128676	1.0	0.0
114026	0.0	1.0
100861402	1.0	1.0
126014	2879.0	137.0
440335	480.0	7.0
100128690	0.0	0.0
114034	529.0	235.0
126006	24.0	3.0
114036	36.0	4.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	47.0	60.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	1.0	0.0
105180391	0.0	0.0
100128682	0.0	0.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	1.0
200728	212.0	289.0
440356	5.0	274.0
440354	65.0	43.0
440352	3.0	1.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	23.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	12.0	5.0
100873410	0.0	0.0
100873417	3.0	3.0
100873416	0.0	0.0
100873415	1.0	0.0
100873414	0.0	0.0
440348	12.0	6.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	47.0	14.0
200734	3578.0	2068.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	6.0	2.0
100873408	0.0	0.0
100873407	1.0	0.0
100861430	36.0	0.0
100873402	0.0	0.0
100873401	2.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	3064.0	1776.0
100873406	0.0	0.0
100873405	1.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	10.0	0.0
165530	117.0	10.0
85409	1045.0	212.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	169.0
106481383	2.0	1.0
85417	67.0	26.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	614.0	112.0
106481389	0.0	0.0
85415	814.0	355.0
106481387	0.0	0.0
85413	11.0	1.0
106481388	1.0	0.0
645436	1.0	2.0
106481381	4.0	0.0
106481382	0.0	0.0
10	6.0	2.0
106481380	0.0	1.0
11	0.0	0.0
403341	1053.0	768.0
12	33.0	0.0
13	234.0	22.0
14	4547.0	3248.0
15	11.0	19.0
16	6306.0	4804.0
645455	25.0	1.0
18	888.0	81.0
19	4066.0	1918.0
128580	6.0	2.0
85407	958.0	32.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1342.0	1304.0
106481395	0.0	0.0
85403	2156.0	937.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	2827.0	684.0
106481390	0.0	0.0
21	65202.0	277.0
106481391	0.0	0.0
22	1153.0	604.0
153571	1006.0	111.0
153572	1776.0	513.0
23	4336.0	5261.0
24	149.0	2203.0
25	5955.0	5465.0
26	45.0	20.0
27	2834.0	1654.0
28	3347.0	68.0
29	8847.0	1496.0
153579	978.0	13.0
728615	0.0	0.0
728614	0.0	0.0
200765	137.0	197.0
106481358	1.0	0.0
106481359	0.0	0.0
728611	46.0	40.0
102466518	1.0	0.0
102466516	17.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	522.0	2440.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	2041.0	2382.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	460.0	186.0
106481366	0.0	0.0
30	3197.0	961.0
106481360	0.0	0.0
31	5282.0	4130.0
32	2006.0	260.0
33	1398.0	8.0
34	2734.0	1003.0
35	2176.0	1143.0
153562	994.0	841.0
36	2290.0	635.0
37	13429.0	3378.0
38	3663.0	1254.0
440307	7.0	8.0
39	1245.0	2499.0
165545	16.0	226.0
106481369	0.0	0.0
728606	3.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	1.0	0.0
106481378	0.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	12.0	3.0
106481370	0.0	0.0
41	113.0	533.0
106481371	0.0	0.0
43	325.0	102.0
645486	0.0	0.0
47	8209.0	11435.0
48	5328.0	1384.0
49	41.0	1.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	1.0
106481341	0.0	0.0
106481342	32.0	0.0
106481340	0.0	2.0
85458	1684.0	63.0
106481345	0.0	0.0
85459	540.0	696.0
106481346	0.0	0.0
85456	10439.0	8979.0
