id	e6862c5b-459e-40b5-9213-5fd7e1448be1	bf48b226-c7ef-4fc7-bcb5-de5025763bdb
100873324	0.0	0.0
3665	1834.0	1509.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1783.0	2121.0
100873329	0.0	0.0
285590	2323.0	7715.0
100873328	0.0	0.0
3669	1663.0	504.0
100873327	0.0	0.0
1009	5916.0	1489.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	5.0
728477	14.0	4.0
3680	3515.0	219.0
3681	42.0	6.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1299.0	828.0
100873353	0.0	0.0
3683	6318.0	330.0
100873352	1.0	0.0
128710	599.0	2541.0
3684	4392.0	710.0
100873351	0.0	0.0
285512	226.0	59.0
1022	1104.0	2492.0
285513	2919.0	291.0
1021	2257.0	5619.0
1020	576.0	1096.0
440299	0.0	0.0
1019	2563.0	5125.0
128709	1.0	0.0
1018	40.0	24.0
1017	1652.0	2676.0
1016	0.0	2.0
1015	6.0	19.0
1014	31.0	2.0
1013	62.0	61.0
1012	2541.0	2637.0
116730	14.0	55.0
3674	323.0	28.0
100873358	0.0	0.0
3675	27769.0	123204.0
100873357	0.0	1.0
3676	1394.0	249.0
100128731	4794.0	8117.0
100873356	0.0	0.0
3678	9269.0	10857.0
3679	977.0	68.0
100873359	0.0	0.0
728464	33.0	4.0
728463	33.0	3.0
100128725	0.0	0.0
3690	208.0	197.0
3691	4676.0	106850.0
100873343	0.0	0.0
3692	3862.0	15768.0
3693	8313.0	11808.0
285521	1041.0	1192.0
100873342	0.0	0.0
3694	12076.0	6532.0
100873341	2.0	0.0
3695	416.0	90.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	66.0	2034.0
1032	602.0	473.0
285525	3.0	0.0
1031	559.0	736.0
285527	4416.0	4212.0
1030	2567.0	1929.0
728468	1.0	4.0
440288	127.0	312.0
1029	48.0	2448.0
440295	302.0	114.0
1028	1459.0	576.0
1027	5049.0	2250.0
1026	5274.0	27045.0
1025	4429.0	3742.0
1024	664.0	1079.0
3685	7150.0	14851.0
100873347	3.0	0.0
100873346	0.0	0.0
3687	5013.0	719.0
100873345	0.0	1.0
3688	23594.0	12946.0
100873344	1.0	0.0
3689	13053.0	2140.0
100873349	0.0	2.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	7.0	1.0
100873370	0.0	0.0
728498	25.0	0.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	23.0	33.0
100873375	0.0	0.0
100128710	1.0	4.0
285533	270.0	49.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	31.0
1043	7383.0	229.0
1041	6.0	61.0
1040	3077.0	2201.0
1039	2052.0	1342.0
1038	4.0	7.0
1036	686.0	12.0
3696	1257.0	4740.0
3697	8.0	0.0
100873379	0.0	0.0
3698	34.0	8.0
100873378	1.0	0.0
3699	195.0	18.0
100873377	0.0	0.0
728486	87.0	5.0
100873361	2.0	1.0
105373869	2.0	22.0
100873360	0.0	1.0
285540	151.0	54.0
100128705	2.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	4.0
100873362	0.0	0.0
100128701	4.0	2.0
1054	2557.0	8251.0
285547	0.0	0.0
1053	13.0	5.0
285548	0.0	15.0
1052	3512.0	1052.0
1051	4002.0	8866.0
728489	5.0	1.0
1050	3367.0	815.0
100128707	0.0	2.0
1048	1756.0	1056.0
1047	87.0	101.0
1046	0.0	0.0
1045	0.0	0.0
100873369	5.0	6.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	0.0
1066	10971.0	244.0
1063	236.0	7920.0
1062	139.0	2365.0
1061	5.0	5.0
1060	1791.0	1041.0
440253	136.0	39.0
1059	5694.0	12853.0
1058	23.0	1440.0
1057	1.0	5.0
85379	6282.0	3446.0
114112	418.0	1946.0
1056	40.0	319.0
85377	2899.0	8516.0
85378	4004.0	1138.0
128745	0.0	2.0
85376	24.0	6.0
440248	435.0	110.0
1075	22218.0	50400.0
1074	17.0	21.0
1073	3757.0	1238.0
1072	35185.0	50278.0
1071	171.0	15.0
440243	0.0	0.0
1070	1024.0	2644.0
1069	2927.0	17370.0
1068	0.0	0.0
85369	2338.0	2094.0
85366	1.0	16.0
85364	1652.0	2305.0
85365	2896.0	2692.0
85363	2275.0	1845.0
85360	1108.0	348.0
1080	2498.0	24.0
85391	4.0	6.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	6.0	1.0
153733	724.0	796.0
1087	18.0	102.0
1086	0.0	1.0
440279	1.0	9.0
1085	2.0	0.0
1084	139.0	35.0
440278	47.0	223.0
1082	0.0	1.0
403294	1.0	0.0
440275	4051.0	1879.0
1081	1.0	2.0
85397	6.0	1.0
85395	336.0	798.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	4.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	4.0	0.0
440270	2322.0	598.0
1089	164.0	27.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	1.0
285596	129.0	555.0
285598	468.0	1852.0
126133	1419.0	1629.0
128790	0.0	0.0
126129	219.0	144.0
126123	4.0	4.0
442862	0.0	0.0
126119	714.0	1480.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	26.0	0.0
442896	0.0	2.0
114132	428.0	6.0
442897	0.0	0.0
442898	1.0	1.0
114134	1372.0	274.0
442899	0.0	0.0
100128790	0.0	0.0
128760	9.0	4.0
100128788	32.0	76.0
100128787	2.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	1.0
442892	5.0	0.0
128756	0.0	0.0
100128782	245.0	178.0
100128781	0.0	4.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	67.0	6.0
102466616	0.0	0.0
126052	0.0	0.0
151009	35.0	29.0
403227	0.0	3.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	1.0
645573	2.0	1.0
645572	0.0	0.0
645571	10.0	2.0
403223	3.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1058.0	511.0
107131122	0.0	0.0
138050	7359.0	2998.0
403219	0.0	0.0
151011	7811.0	7952.0
645587	2.0	3.0
165679	19.0	17.0
126037	16.0	65.0
114049	3277.0	4420.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	1.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	2467.0	199.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1956.0	2267.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	226.0	152.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	7.0	17.0
645598	1.0	0.0
163007	8.0	0.0
114038	1.0	11.0
645591	51.0	0.0
106481495	0.0	0.0
114041	0.0	1.0
106481496	0.0	0.0
114042	4.0	0.0
106481493	0.0	0.0
114043	52.0	16.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	204.0	178.0
126017	482.0	890.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	1818.0	1982.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1723.0	146.0
106481459	0.0	0.0
26994	8337.0	5300.0
106481457	9.0	3.0
26995	1444.0	2759.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	3.0
403272	0.0	0.0
102466659	0.0	0.0
26999	4463.0	271.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	6.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2248.0	1258.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	6.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	2.0	0.0
403260	0.0	0.0
106481473	0.0	1.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	36.0	0.0
106481472	0.0	0.0
106481477	1.0	4.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	8.0	27.0
106481470	0.0	2.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1039.0	715.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	8.0
106481437	0.0	0.0
26974	123.0	273.0
153657	42.0	24.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1159.0	2911.0
165631	520.0	54.0
106481436	0.0	0.0
26978	36.0	79.0
126075	1027.0	295.0
106481439	0.0	0.0
403250	0.0	0.0
126074	251.0	121.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1790.0	2252.0
106481444	5.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4619.0	680.0
85354	0.0	0.0
85352	98.0	837.0
403241	0.0	0.0
344462	4.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	502.0	882.0
153643	323.0	2.0
403247	0.0	0.0
403248	0.0	0.0
26985	3270.0	4803.0
106481448	0.0	0.0
26986	53775.0	214927.0
126069	149.0	50.0
106481449	0.0	0.0
126068	680.0	187.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1061.0	3127.0
106481447	0.0	1.0
106481451	3.0	0.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	85.0	245.0
106481455	2.0	2.0
85349	88.0	8.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	1.0	0.0
85347	0.0	0.0
26980	6.0	17.0
106481454	0.0	0.0
403238	0.0	0.0
85344	1.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	6.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	2.0	0.0
100873392	8.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	3.0
106481416	0.0	3.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	3552.0	4642.0
100873390	0.0	0.0
728556	53.0	113.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	78.0	95.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	376.0	689.0
106481423	0.0	0.0
106481420	2.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	175.0	180.0
100873384	1.0	0.0
285601	4.0	21.0
106481426	0.0	0.0
106481427	3.0	1.0
222005	1.0	9.0
63910	265.0	150.0
106481424	0.0	2.0
106481425	0.0	0.0
285605	477.0	820.0
222008	0.0	0.0
106481428	1.0	0.0
106481429	0.0	0.0
63905	2702.0	4186.0
63904	0.0	0.0
106481430	2.0	0.0
163071	72.0	406.0
63906	907.0	797.0
106481433	0.0	0.0
63908	982.0	1622.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	2.0	0.0
285613	73.0	201.0
63920	317.0	912.0
63923	70.0	22.0
63922	341.0	813.0
728577	34.0	33.0
63925	1690.0	1999.0
63924	2.0	0.0
63916	3539.0	3193.0
63917	3892.0	2032.0
106481400	1.0	0.0
106481401	0.0	0.0
728562	4.0	1.0
728564	3.0	38.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1473.0	3625.0
106481402	1.0	0.0
63931	1439.0	1796.0
106481403	0.0	0.0
63934	177.0	30.0
728567	5.0	11.0
106481408	0.0	0.0
163088	2.0	3.0
63933	3206.0	2637.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3841.0	3206.0
163087	857.0	511.0
728568	330.0	266.0
106481407	7.0	11.0
3704	1638.0	5563.0
3705	6245.0	3671.0
63926	694.0	3705.0
3706	15.0	47.0
63929	997.0	1983.0
3707	5517.0	2168.0
63928	2.0	69.0
3708	4790.0	804.0
106481411	0.0	0.0
3709	3627.0	898.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	64.0	15.0
3702	472.0	63.0
3703	6881.0	12959.0
645506	0.0	0.0
151050	1788.0	406.0
645520	0.0	0.0
63941	3491.0	618.0
63940	3526.0	944.0
63943	318.0	1139.0
728517	0.0	0.0
163033	531.0	471.0
258010	1953.0	1883.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	14872.0	7891.0
100033804	0.0	0.0
3717	2117.0	627.0
100033805	0.0	0.0
3718	1199.0	752.0
63939	1418.0	1819.0
100033806	0.0	0.0
100190799	3.0	12.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	152.0	84.0
3710	14548.0	29868.0
3712	6139.0	3495.0
3713	18.0	5013.0
3714	2173.0	3369.0
63950	3.0	6.0
728505	2.0	1.0
63951	357.0	356.0
100033807	0.0	0.0
728501	42.0	17.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	17698.0	14439.0
100033814	0.0	0.0
3727	12617.0	1243.0
63948	0.0	0.0
100033815	0.0	0.0
222052	3.0	2.0
3728	16679.0	157491.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1642.0	5968.0
151056	236.0	364.0
3725	23781.0	9081.0
645528	4.0	0.0
728532	33.0	36.0
163059	299.0	256.0
728538	1.0	26.0
728537	286.0	138.0
63967	68.0	919.0
3737	6.0	1.0
3738	625.0	29.0
3739	299.0	0.0
645538	0.0	0.0
3730	12370.0	162.0
3732	6767.0	19314.0
3734	38.0	25.0
3735	6191.0	14978.0
3736	10.0	1.0
63970	16.0	414.0
3750	190.0	157.0
63971	7521.0	5518.0
63974	0.0	0.0
163049	2103.0	1196.0
63973	0.0	1.0
63976	2193.0	25.0
222068	6541.0	14422.0
63978	1.0	1.0
63977	465.0	946.0
63979	396.0	7211.0
728524	0.0	0.0
3748	614.0	283.0
163051	35.0	15.0
3749	1031.0	1604.0
163050	70.0	26.0
3741	85.0	2.0
645548	6.0	12.0
3743	1.0	7.0
3744	6.0	2.0
3745	76.0	10.0
3746	0.0	1.0
3747	1.0	0.0
285671	644.0	51.0
285672	2513.0	3407.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	11.0	0.0
285676	104.0	27.0
3761	0.0	0.0
100128657	0.0	3.0
285679	1.0	2.0
100861449	2.0	0.0
100861443	0.0	1.0
100861445	0.0	0.0
3759	634.0	118.0
283008	1.0	0.0
3751	21.0	99.0
100873435	0.0	0.0
3752	427.0	288.0
100873434	0.0	0.0
3753	69.0	3.0
100873433	1.0	0.0
3754	31.0	19.0
100873432	0.0	0.0
3755	9.0	500.0
100873439	0.0	0.0
3756	10.0	7.0
100873438	0.0	0.0
3757	267.0	38.0
100873437	0.0	0.0
3758	17.0	1.0
100873436	0.0	0.0
100873420	0.0	3.0
3770	64.0	341.0
3772	14486.0	4122.0
100861458	0.0	0.0
100861453	38.0	13.0
100861455	0.0	0.0
1107	10913.0	12393.0
1106	8545.0	4581.0
1105	2926.0	5002.0
1104	1498.0	2943.0
100873429	0.0	0.0
1103	1.0	1.0
1102	1474.0	698.0
1101	86.0	6.0
3762	1222.0	74.0
100873424	0.0	0.0
3763	8.0	8.0
100128640	79.0	38.0
100873423	0.0	0.0
3764	1594.0	255.0
100873422	0.0	0.0
3765	2.0	1.0
100873421	1.0	0.0
3766	10.0	8.0
100873428	0.0	0.0
3767	252.0	18.0
100873427	0.0	0.0
3768	176.0	107.0
1109	13.0	0.0
100873426	5.0	0.0
1108	14665.0	12456.0
3769	5.0	0.0
100873425	0.0	0.0
100128637	3.0	3.0
100128639	0.0	0.0
3780	1.0	20.0
100873453	0.0	0.0
3781	109.0	211.0
100873452	0.0	0.0
3782	673.0	133.0
100873451	0.0	0.0
3783	206.0	3375.0
100873450	0.0	0.0
1121	1753.0	1282.0
100861468	0.0	1.0
1120	390.0	123.0
100861469	0.0	0.0
1118	264.0	47.0
1117	954.0	903.0
1116	1110.0	2191.0
1114	22.0	599.0
1113	4.0	10.0
1112	7044.0	7165.0
1111	229.0	3566.0
3773	78.0	1.0
100873457	0.0	0.0
100873456	0.0	0.0
3775	832.0	2511.0
100873455	0.0	0.0
3776	11.0	0.0
100873454	0.0	0.0
3777	3176.0	60.0
3778	868.0	755.0
3779	331.0	80.0
100873459	0.0	0.0
1119	2481.0	518.0
100128627	1.0	3.0
100128626	0.0	0.0
3790	3432.0	1059.0
100128628	1.0	0.0
3791	6119.0	729.0
100873442	0.0	0.0
3792	20.0	7.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	24.0	16.0
1131	433.0	15.0
1130	3215.0	1718.0
100861476	0.0	0.0
1129	82.0	0.0
1128	343.0	0.0
1124	493.0	165.0
1123	1260.0	755.0
1122	1013.0	1451.0
100861470	0.0	0.0
3784	4084.0	389.0
100873446	0.0	0.0
3785	2.0	9.0
100873445	0.0	0.0
3786	271.0	41.0
100873444	0.0	0.0
3787	126.0	225.0
100873443	0.0	0.0
3788	17.0	13.0
100873449	1.0	1.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	119.0	46.0
100128618	1.0	1.0
728597	2.0	0.0
100128617	6.0	8.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	6.0	6.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	1.0	27.0
285634	5.0	10.0
1142	0.0	0.0
1141	17.0	46.0
285636	2277.0	5028.0
1140	414.0	700.0
728599	5.0	2.0
1139	9.0	35.0
1138	38.0	179.0
1137	19.0	4.0
100861485	0.0	0.0
1136	104.0	13.0
1135	42.0	0.0
1134	11.0	9.0
1133	14.0	0.0
3795	477.0	266.0
100873479	6.0	2.0
3796	1092.0	3656.0
100873478	0.0	0.0
3797	671.0	1256.0
100873477	2.0	1.0
3798	29.0	18.0
100873476	0.0	0.0
3799	14168.0	7201.0
100873460	0.0	0.0
728586	15.0	40.0
285641	3.0	0.0
100873464	3.0	6.0
100873463	0.0	2.0
100873462	3.0	3.0
285643	3.0	15.0
100128603	1.0	2.0
100873461	0.0	0.0
1154	2478.0	1361.0
1153	19529.0	7739.0
1152	5091.0	1280.0
285647	13.0	17.0
728589	13.0	13.0
728588	1.0	0.0
1149	3.0	68.0
1147	1908.0	2203.0
1146	4.0	7.0
1145	31.0	7.0
1144	1.0	1.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	1.0	0.0
100873494	0.0	0.0
1164	1109.0	3089.0
1163	410.0	2957.0
285659	0.0	0.0
1161	325.0	1297.0
1160	113.0	40.0
1159	12.0	637.0
1158	5.0	6.0
1157	0.0	0.0
1155	2499.0	3650.0
550643	1413.0	950.0
283025	2.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	1.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2215.0	9380.0
1175	2821.0	12610.0
285668	19.0	0.0
1174	1339.0	3161.0
1173	16180.0	35362.0
550631	176.0	72.0
100873489	0.0	0.0
283014	22.0	9.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	13.0	8.0
1186	3561.0	4453.0
1185	1987.0	742.0
1184	1165.0	559.0
1183	1436.0	288.0
1182	5061.0	6505.0
1181	270.0	637.0
440375	57.0	39.0
1180	11.0	36.0
1179	1.0	0.0
1178	8.0	1.0
283089	101.0	1.0
85495	0.0	0.0
85480	94.0	234.0
283080	0.0	0.0
1198	2939.0	2229.0
1197	4.0	6.0
1196	2449.0	2550.0
1195	5223.0	2352.0
440366	6.0	0.0
1193	3720.0	464.0
1192	17542.0	31611.0
1191	35345.0	2260.0
1188	35.0	20.0
283078	142.0	10.0
85486	11.0	33.0
128615	0.0	0.0
85481	1.0	0.0
128611	212.0	19.0
440396	79.0	152.0
128609	0.0	0.0
128602	1077.0	0.0
440387	0.0	3.0
128674	1.0	0.0
128676	14.0	1.0
114026	0.0	0.0
100861402	0.0	2.0
126014	3283.0	189.0
440335	576.0	565.0
100128690	0.0	0.0
114034	826.0	992.0
126006	146.0	13.0
114036	39.0	17.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	45.0	27.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	0.0
100128678	0.0	3.0
100861429	0.0	0.0
128653	0.0	5.0
200728	146.0	707.0
440356	6.0	62.0
440354	57.0	58.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	2.0
128646	22.0	1.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	11.0	3.0
100873410	0.0	0.0
100873417	2.0	3.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	310.0	105.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	114.0	63.0
200734	4246.0	3360.0
100861431	1.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	1.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	23.0	0.0
100873402	0.0	0.0
100873401	0.0	1.0
100873400	6.0	0.0
100128665	0.0	0.0
128637	4830.0	3872.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	2.0
645443	8.0	9.0
165530	83.0	0.0
85409	1132.0	502.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	8.0
106481383	3.0	2.0
85417	42.0	58.0
106481384	0.0	0.0
103106903	3.0	0.0
85414	1053.0	553.0
106481389	0.0	0.0
85415	906.0	356.0
106481387	0.0	1.0
85413	2.0	2.0
106481388	3.0	4.0
645436	1.0	1.0
106481381	0.0	0.0
106481382	0.0	0.0
10	7.0	0.0
106481380	0.0	0.0
11	0.0	0.0
403341	1500.0	827.0
12	13.0	22.0
13	221.0	14.0
14	5872.0	7476.0
15	6.0	72.0
16	6727.0	11211.0
645455	29.0	8.0
18	1242.0	913.0
19	12054.0	4087.0
128580	3.0	6.0
85407	1118.0	133.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1499.0	1294.0
106481395	0.0	1.0
85403	1848.0	2407.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	4.0	0.0
106481393	0.0	0.0
20	2999.0	1462.0
106481390	0.0	1.0
21	69315.0	647.0
106481391	0.0	0.0
22	1127.0	1318.0
153571	887.0	892.0
153572	4415.0	1804.0
23	5109.0	13685.0
24	57.0	10.0
25	5765.0	5075.0
26	40.0	208.0
27	2250.0	3712.0
28	5041.0	2533.0
29	9866.0	5940.0
153579	6827.0	46.0
728615	0.0	2.0
728614	0.0	0.0
200765	248.0	349.0
106481358	0.0	2.0
106481359	0.0	0.0
728611	25.0	34.0
102466518	1.0	0.0
102466516	6.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	653.0	4823.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1865.0	3043.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	602.0	642.0
106481366	0.0	0.0
30	3653.0	1185.0
106481360	0.0	0.0
31	10244.0	5603.0
32	3365.0	258.0
33	2471.0	17.0
34	3065.0	2718.0
35	1479.0	371.0
153562	2536.0	3862.0
36	4750.0	541.0
37	17382.0	8193.0
38	4638.0	2232.0
440307	16.0	40.0
39	1167.0	2095.0
165545	25.0	813.0
106481369	0.0	0.0
728606	2.0	0.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	1.0
106481378	1.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	7.0	3.0
106481370	0.0	0.0
41	119.0	168.0
106481371	0.0	0.0
43	67.0	33.0
645486	0.0	1.0
47	8616.0	10446.0
48	4400.0	2028.0
49	40.0	2.0
106481338	0.0	0.0
106481339	1.0	0.0
106481336	0.0	0.0
106481337	1.0	0.0
106481341	0.0	0.0
106481342	2.0	10.0
106481340	0.0	0.0
85458	2937.0	543.0
