id	cfb70595-7191-40cc-802d-dad9cb578b1a	bd587a68-76f5-44f2-ac6b-f87523560f60
100873360	0.0	0.0
285540	179.0	92.0
100128705	4.0	2.0
100873365	2.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	5.0
100873362	0.0	0.0
100128701	6.0	8.0
1054	2198.0	4255.0
285547	0.0	0.0
1053	13.0	5.0
285548	0.0	18.0
1052	3044.0	2801.0
1051	4882.0	1976.0
728489	7.0	2.0
1050	2526.0	1988.0
100128707	1.0	0.0
1048	318.0	211.0
1047	42.0	303.0
1046	0.0	0.0
1045	0.0	0.0
100873369	4.0	12.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	3.0
1066	25603.0	510.0
1063	765.0	11870.0
1062	322.0	2175.0
1061	5.0	4.0
1060	1642.0	1934.0
440253	140.0	48.0
1059	3880.0	6201.0
1058	73.0	944.0
1057	2.0	0.0
85379	4727.0	12774.0
114112	737.0	1240.0
1056	27.0	129.0
85377	2805.0	18680.0
85378	2409.0	3290.0
128745	0.0	0.0
85376	26.0	10.0
440248	585.0	293.0
1075	28596.0	8428.0
1074	6.0	10.0
1073	3805.0	1528.0
1072	41357.0	38829.0
1071	272.0	28.0
440243	0.0	0.0
1070	985.0	593.0
1069	2752.0	2629.0
1068	0.0	0.0
85369	2207.0	1696.0
85366	6.0	18.0
85364	1447.0	3810.0
85365	2659.0	1643.0
85363	2799.0	812.0
85360	1290.0	454.0
1080	3302.0	77.0
85391	21.0	4.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	4.0	2.0
153733	664.0	325.0
1087	4.0	16.0
1086	0.0	4.0
440279	28.0	3.0
1085	1.0	8.0
1084	88.0	47.0
440278	63.0	54.0
1082	0.0	0.0
403294	1.0	0.0
440275	4098.0	3058.0
1081	0.0	0.0
85397	19.0	1.0
85395	236.0	447.0
403285	0.0	0.0
1091	1.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	1.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	2558.0	885.0
1089	133.0	20.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	192.0	11.0
285598	889.0	1080.0
126133	1139.0	2207.0
128790	1.0	1.0
126129	275.0	121.0
126123	2.0	0.0
442862	0.0	0.0
126119	765.0	763.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	117.0	0.0
442896	0.0	0.0
114132	358.0	8.0
442897	0.0	0.0
442898	2.0	0.0
114134	1030.0	798.0
442899	0.0	0.0
100128790	0.0	0.0
128760	10.0	10.0
100128788	38.0	26.0
100128787	1.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	2.0	2.0
128756	1.0	0.0
100128782	127.0	123.0
100128781	5.0	2.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	5.0	4.0
403234	0.0	0.0
403235	1.0	3.0
403236	0.0	0.0
63982	104.0	31.0
102466616	0.0	0.0
126052	0.0	1.0
151009	77.0	69.0
403227	0.0	1.0
403228	0.0	0.0
138046	0.0	17.0
645558	0.0	0.0
403229	0.0	4.0
645573	3.0	4.0
645572	0.0	0.0
645571	4.0	4.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	607.0	1593.0
107131122	0.0	0.0
138050	9104.0	3727.0
403219	0.0	0.0
151011	6763.0	4200.0
645587	1.0	2.0
165679	9.0	39.0
126037	25.0	49.0
114049	2752.0	6718.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1340.0	297.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1653.0	2126.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	127.0	196.0
100033820	0.0	0.0
106481480	2.0	0.0
106481481	0.0	0.0
138065	5.0	86.0
645598	0.0	1.0
163007	5.0	2.0
114038	1.0	0.0
645591	35.0	0.0
106481495	0.0	0.0
114041	0.0	4.0
106481496	0.0	0.0
114042	0.0	3.0
106481493	0.0	0.0
114043	30.0	105.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	235.0	230.0
126017	571.0	243.0
106481497	2.0	3.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	4.0
85301	1063.0	1941.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	2.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	1.0
26996	1091.0	13656.0
106481459	0.0	0.0
26994	7450.0	3666.0
106481457	5.0	16.0
26995	1637.0	2618.0
106481458	0.0	0.0
403271	0.0	0.0
26998	2.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3484.0	505.0
403273	0.0	0.0
102466658	0.0	2.0
106481462	1.0	0.0
106481463	0.0	0.0
104310353	2.0	38.0
106481460	4.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1728.0	2749.0
106481467	0.0	0.0
106481464	2.0	0.0
106481465	0.0	0.0
104310351	2.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	181.0	9.0
106481472	0.0	0.0
106481477	2.0	10.0
106481478	1.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	10.0	4.0
106481470	2.0	0.0
403252	0.0	0.0
403253	1.0	0.0
403254	0.0	0.0
126070	702.0	1111.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	8.0	7.0
106481437	0.0	0.0
26974	240.0	117.0
153657	27.0	46.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1290.0	1383.0
165631	650.0	92.0
106481436	2.0	1.0
26978	20.0	47.0
126075	774.0	275.0
106481439	0.0	0.0
403250	0.0	0.0
126074	199.0	199.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1423.0	4529.0
106481444	8.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2885.0	1441.0
85354	0.0	0.0
85352	148.0	30.0
403241	0.0	0.0
344462	2.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	615.0	325.0
153643	70.0	4.0
403247	0.0	0.0
403248	0.0	0.0
26985	3710.0	2328.0
106481448	0.0	0.0
26986	52928.0	130060.0
126069	197.0	38.0
106481449	0.0	0.0
126068	682.0	94.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1132.0	1739.0
106481447	0.0	0.0
106481451	1.0	2.0
106481452	1.0	0.0
106481450	0.0	0.0
114088	57.0	200.0
106481455	1.0	0.0
85349	13.0	10.0
106481456	3.0	5.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	7.0	7.0
106481454	1.0	0.0
403238	0.0	0.0
85344	2.0	11.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	6.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	1.0	1.0
100873392	4.0	5.0
100873391	0.0	0.0
100873398	1.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	4.0
106481415	0.0	0.0
106481416	0.0	0.0
106481413	0.0	0.0
106481414	0.0	2.0
63901	3916.0	1561.0
100873390	0.0	0.0
728556	44.0	69.0
106481419	0.0	3.0
100128817	0.0	0.0
728558	101.0	56.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	377.0	506.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	1.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	199.0	120.0
100873384	0.0	0.0
285601	33.0	34.0
106481426	0.0	0.0
106481427	1.0	0.0
222005	3.0	14.0
63910	326.0	1064.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	478.0	320.0
222008	0.0	0.0
106481428	0.0	0.0
106481429	2.0	1.0
63905	2864.0	2876.0
63904	0.0	0.0
106481430	1.0	1.0
163071	69.0	7.0
63906	744.0	844.0
106481433	0.0	2.0
63908	946.0	1118.0
106481434	0.0	0.0
106481431	1.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	1.0
285613	122.0	73.0
63920	467.0	230.0
63923	60.0	32.0
63922	295.0	946.0
728577	255.0	228.0
63925	1510.0	1749.0
63924	5.0	0.0
63916	3355.0	1434.0
63917	4141.0	4487.0
106481400	1.0	1.0
106481401	0.0	0.0
728562	0.0	10.0
728564	8.0	20.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	803.0	1216.0
106481402	1.0	0.0
63931	1715.0	1637.0
106481403	1.0	8.0
63934	346.0	39.0
728567	1.0	13.0
106481408	0.0	0.0
163088	6.0	6.0
63933	2251.0	2753.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	3249.0	2955.0
163087	915.0	858.0
728568	317.0	806.0
106481407	9.0	19.0
3704	1843.0	3779.0
3705	6532.0	3007.0
63926	489.0	1568.0
3706	27.0	84.0
63929	1179.0	4927.0
3707	4647.0	2208.0
63928	1.0	238.0
3708	4331.0	373.0
106481411	0.0	1.0
3709	4208.0	2173.0
106481412	0.0	0.0
106481410	0.0	1.0
3700	46.0	12.0
3702	503.0	113.0
3703	8533.0	8665.0
645506	1.0	2.0
151050	1480.0	873.0
645520	1.0	0.0
63941	1685.0	657.0
63940	3178.0	803.0
63943	304.0	694.0
728517	0.0	0.0
163033	688.0	766.0
258010	1412.0	435.0
63947	0.0	0.0
63946	0.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	14918.0	11672.0
100033804	0.0	0.0
3717	2206.0	791.0
100033805	0.0	0.0
3718	839.0	2581.0
63939	1401.0	1064.0
100033806	0.0	0.0
100190799	8.0	11.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	135.0	79.0
3710	10976.0	7009.0
3712	5435.0	3155.0
3713	0.0	24.0
3714	1224.0	17290.0
63950	1.0	1070.0
728505	1.0	2.0
63951	287.0	3.0
100033807	0.0	0.0
728501	27.0	67.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	14246.0	13849.0
100033814	0.0	0.0
3727	7070.0	5089.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	1.0
3728	9720.0	54676.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1310.0	5809.0
151056	675.0	236.0
3725	18028.0	4051.0
645528	6.0	4.0
728532	36.0	50.0
163059	290.0	30.0
728538	3.0	3.0
728537	219.0	94.0
63967	151.0	420.0
3737	13.0	8.0
3738	516.0	65.0
3739	853.0	3.0
645538	0.0	0.0
3730	10584.0	2967.0
3732	3901.0	2920.0
3734	49.0	1.0
3735	6609.0	14820.0
3736	5.0	0.0
63970	1.0	16.0
3750	303.0	281.0
63971	6908.0	5507.0
63974	0.0	0.0
163049	2251.0	2793.0
63973	0.0	37.0
63976	1148.0	24.0
222068	5485.0	5132.0
63978	0.0	0.0
63977	594.0	815.0
63979	646.0	1224.0
728524	0.0	0.0
3748	485.0	575.0
163051	28.0	51.0
3749	1520.0	928.0
163050	61.0	75.0
3741	21.0	22.0
645548	20.0	12.0
3743	3.0	62.0
3744	16.0	0.0
3745	904.0	1.0
3746	2.0	1.0
3747	0.0	0.0
285671	721.0	182.0
285672	2528.0	1535.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	36.0	1.0
285676	63.0	13.0
3761	1.0	0.0
100128657	0.0	0.0
285679	0.0	2.0
100861449	1.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	450.0	4255.0
283008	1.0	1.0
3751	50.0	159.0
100873435	0.0	0.0
3752	1111.0	101.0
100873434	0.0	0.0
3753	83.0	17.0
100873433	0.0	0.0
3754	10.0	1.0
100873432	0.0	0.0
3755	11.0	1702.0
100873439	0.0	0.0
3756	2.0	197.0
100873438	0.0	0.0
3757	180.0	43.0
100873437	0.0	0.0
3758	12.0	21.0
100873436	0.0	0.0
100873420	3.0	11.0
3770	62.0	499.0
3772	6674.0	1947.0
100861458	0.0	0.0
100861453	30.0	108.0
100861455	0.0	0.0
1107	9968.0	28945.0
1106	7191.0	6112.0
1105	2325.0	2072.0
1104	1279.0	3936.0
100873429	0.0	0.0
1103	0.0	0.0
1102	1534.0	1399.0
1101	48.0	30.0
3762	2087.0	130.0
100873424	0.0	0.0
3763	5.0	25.0
100128640	99.0	135.0
100873423	0.0	1.0
3764	1276.0	332.0
100873422	0.0	0.0
3765	13.0	3.0
100873421	1.0	2.0
3766	16.0	15.0
100873428	0.0	0.0
3767	121.0	15.0
100873427	0.0	0.0
3768	321.0	65.0
1109	9.0	1.0
100873426	4.0	7.0
1108	16329.0	16071.0
3769	5.0	4.0
100873425	0.0	0.0
100128637	9.0	11.0
100128639	2.0	1.0
3780	15.0	46.0
100873453	0.0	0.0
3781	97.0	100.0
100873452	0.0	0.0
3782	1133.0	342.0
100873451	0.0	0.0
3783	384.0	417.0
100873450	0.0	0.0
1121	1737.0	1940.0
100861468	0.0	4.0
1120	273.0	373.0
100861469	0.0	0.0
1118	5205.0	624.0
1117	1533.0	104.0
1116	2753.0	3666.0
1114	20.0	25.0
1113	1.0	1.0
1112	7162.0	8591.0
1111	473.0	1139.0
3773	36.0	176.0
100873457	2.0	0.0
100873456	1.0	2.0
3775	528.0	3355.0
100873455	0.0	0.0
3776	39.0	5.0
100873454	0.0	0.0
3777	1849.0	40.0
3778	1583.0	222.0
3779	196.0	63.0
100873459	1.0	0.0
1119	1555.0	711.0
100128627	3.0	3.0
100128626	0.0	0.0
3790	2572.0	1619.0
100128628	5.0	15.0
3791	9443.0	381.0
100873442	1.0	0.0
3792	41.0	34.0
100873441	1.0	1.0
100873440	0.0	0.0
100128625	0.0	1.0
1132	22.0	3.0
1131	346.0	959.0
1130	3069.0	622.0
100861476	3.0	0.0
1129	34.0	1.0
1128	142.0	5.0
1124	827.0	289.0
1123	1316.0	702.0
1122	873.0	1477.0
100861470	0.0	0.0
3784	2116.0	217.0
100873446	0.0	0.0
3785	0.0	1.0
100873445	0.0	0.0
3786	448.0	67.0
100873444	0.0	0.0
3787	122.0	5.0
100873443	0.0	0.0
3788	44.0	3.0
100873449	3.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	96.0	38.0
100128618	6.0	8.0
728597	0.0	3.0
100128617	13.0	14.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	27.0	248.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	11.0	383.0
285634	6.0	4.0
1142	13.0	1.0
1141	9.0	19.0
285636	2449.0	4847.0
1140	652.0	412.0
728599	8.0	3.0
1139	12.0	4.0
1138	71.0	303.0
1137	12.0	0.0
100861485	0.0	0.0
1136	89.0	44.0
1135	15.0	8.0
1134	193.0	33.0
1133	9.0	3.0
3795	325.0	686.0
100873479	13.0	10.0
3796	1181.0	2217.0
100873478	0.0	0.0
3797	600.0	1508.0
100873477	2.0	2.0
3798	20.0	24.0
100873476	0.0	0.0
3799	12804.0	6555.0
100873460	0.0	0.0
728586	23.0	3.0
285641	0.0	1.0
100873464	3.0	8.0
100873463	0.0	0.0
100873462	5.0	3.0
285643	2.0	4.0
100128603	4.0	0.0
100873461	0.0	0.0
1154	2251.0	861.0
1153	15742.0	8843.0
1152	3123.0	8451.0
285647	12.0	44.0
728589	13.0	24.0
728588	3.0	0.0
1149	1.0	3.0
1147	1772.0	851.0
1146	2.0	17.0
1145	26.0	20.0
1144	2.0	2.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	1.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	807.0	2029.0
1163	572.0	2877.0
285659	0.0	0.0
1161	397.0	456.0
1160	140.0	24.0
1159	88.0	863.0
1158	7.0	6.0
1157	0.0	0.0
1155	2426.0	3667.0
550643	1736.0	3087.0
283025	0.0	1.0
100873499	1.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	1.0	2.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2900.0	2267.0
1175	3784.0	7302.0
285668	11.0	0.0
1174	1715.0	2708.0
1173	20516.0	30997.0
550631	127.0	310.0
100873489	0.0	0.0
283014	20.0	11.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	25.0	5.0
1186	3551.0	2852.0
1185	2264.0	1378.0
1184	1494.0	798.0
1183	1173.0	539.0
1182	5402.0	7761.0
1181	237.0	656.0
440375	31.0	44.0
1180	11.0	11.0
1179	0.0	0.0
1178	13.0	2.0
283089	23.0	5.0
85495	0.0	0.0
85480	125.0	91.0
283080	0.0	0.0
1198	2872.0	3433.0
1197	1.0	8.0
1196	2141.0	3606.0
1195	6096.0	4606.0
440366	1.0	1.0
1193	3453.0	209.0
1192	17562.0	18374.0
1191	34221.0	15382.0
1188	109.0	49.0
283078	92.0	19.0
85486	20.0	65.0
128615	0.0	0.0
85481	3.0	0.0
128611	212.0	41.0
440396	46.0	81.0
128609	0.0	0.0
128602	2.0	0.0
440387	1.0	1.0
128674	2.0	0.0
128676	8.0	2.0
114026	0.0	1.0
100861402	0.0	7.0
126014	3113.0	190.0
440335	343.0	358.0
100128690	0.0	0.0
114034	552.0	542.0
126006	24.0	26.0
114036	55.0	11.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	42.0	41.0
100861412	2.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	3.0	1.0
100128678	1.0	2.0
100861429	0.0	0.0
128653	8.0	0.0
200728	261.0	230.0
440356	4.0	5.0
440354	83.0	76.0
440352	7.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	28.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	9.0	23.0
100873410	0.0	0.0
100873417	6.0	6.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	137.0	150.0
100861435	1.0	0.0
100861436	0.0	0.0
440345	131.0	139.0
200734	2605.0	1688.0
100861431	0.0	1.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	2.0
100873408	0.0	0.0
100873407	0.0	1.0
100861430	25.0	1.0
100873402	0.0	0.0
100873401	0.0	2.0
100873400	2.0	0.0
100128665	0.0	1.0
128637	4275.0	3082.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	1.0	0.0
645443	36.0	14.0
165530	70.0	22.0
85409	811.0	588.0
106481385	0.0	0.0
106481386	1.0	2.0
85416	1.0	896.0
106481383	3.0	2.0
85417	72.0	7.0
106481384	0.0	0.0
103106903	0.0	0.0
85414	673.0	624.0
106481389	0.0	0.0
85415	1007.0	1176.0
106481387	0.0	0.0
85413	3.0	8.0
106481388	5.0	7.0
645436	1.0	4.0
106481381	4.0	0.0
106481382	0.0	0.0
10	13.0	4.0
106481380	0.0	0.0
11	0.0	0.0
403341	1593.0	936.0
12	8.0	19.0
13	2274.0	71.0
14	4545.0	12359.0
15	18.0	17.0
16	7503.0	8483.0
645455	19.0	3.0
18	1007.0	429.0
19	8692.0	2271.0
128580	8.0	13.0
85407	1001.0	149.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1322.0	1878.0
106481395	0.0	1.0
85403	1853.0	1224.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	4.0
106481393	0.0	0.0
20	2514.0	1882.0
106481390	0.0	0.0
21	43021.0	173.0
106481391	0.0	0.0
22	1863.0	1647.0
153571	674.0	485.0
153572	2986.0	1249.0
23	3793.0	11209.0
24	79.0	122.0
25	6242.0	4532.0
26	39.0	14.0
27	2301.0	2364.0
28	1949.0	86.0
29	8768.0	3239.0
153579	4438.0	202.0
728615	0.0	0.0
728614	0.0	0.0
200765	239.0	523.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	30.0	32.0
102466518	1.0	1.0
102466516	6.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	2.0	0.0
85438	1.0	0.0
106481361	1.0	0.0
85439	855.0	5589.0
106481362	0.0	0.0
106481367	0.0	3.0
85437	2194.0	3796.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	543.0	243.0
106481366	0.0	0.0
30	2849.0	1392.0
106481360	1.0	0.0
31	5910.0	6369.0
32	2958.0	383.0
33	959.0	89.0
34	3627.0	1961.0
35	1400.0	1026.0
153562	1776.0	742.0
36	3293.0	1111.0
37	13869.0	7511.0
38	5032.0	1059.0
440307	5.0	10.0
39	1327.0	3762.0
165545	2.0	620.0
106481369	0.0	0.0
728606	0.0	1.0
106481374	0.0	1.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	1.0	0.0
106481378	3.0	0.0
106481379	0.0	0.0
106481376	0.0	1.0
106481377	0.0	0.0
403315	0.0	0.0
40	21.0	1.0
106481370	0.0	0.0
41	189.0	914.0
106481371	1.0	2.0
43	82.0	43.0
645486	0.0	0.0
47	7788.0	12047.0
48	7883.0	1495.0
49	21.0	1.0
106481338	0.0	0.0
106481339	1.0	1.0
106481336	0.0	0.0
106481337	3.0	0.0
106481341	0.0	0.0
106481342	12.0	4.0
106481340	0.0	0.0
85458	2902.0	604.0
106481345	0.0	0.0
