id	153cb1b1-774c-4e65-b209-6a462b68cfc5	5d187a95-6b3d-42dc-a5c8-cf1758243c46
1024	700.0	2297.0
3685	6916.0	15084.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	7545.0	2292.0
100873345	0.0	0.0
3688	18740.0	27208.0
100873344	0.0	0.0
3689	29533.0	6542.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	32.0
100873371	2.0	1.0
100873370	0.0	1.0
728498	19.0	65.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	34.0	18.0
100873375	0.0	0.0
100128710	0.0	3.0
285533	205.0	131.0
100873374	0.0	0.0
728495	0.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	24.0	14.0
1043	14855.0	692.0
1041	1.0	2.0
1040	3120.0	1894.0
1039	1983.0	2207.0
1038	9.0	3.0
1036	337.0	39.0
3696	1160.0	1501.0
3697	21.0	2.0
100873379	0.0	9.0
3698	128.0	37.0
100873378	3.0	9.0
3699	151.0	117.0
100873377	0.0	0.0
728486	62.0	8.0
100873361	0.0	5.0
105373869	16.0	401.0
100873360	0.0	0.0
285540	105.0	242.0
100128705	0.0	6.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	1.0
100873362	0.0	1.0
100128701	3.0	1.0
1054	1976.0	7870.0
285547	1.0	0.0
1053	44.0	5.0
285548	0.0	21.0
1052	10358.0	3138.0
1051	6913.0	1791.0
728489	5.0	11.0
1050	4531.0	8525.0
100128707	0.0	1.0
1048	1028.0	895.0
1047	51.0	1373.0
1046	1.0	0.0
1045	3.0	1.0
100873369	8.0	71.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	13314.0	18941.0
1063	332.0	23172.0
1062	163.0	3995.0
1061	3.0	9.0
1060	1326.0	2445.0
440253	92.0	215.0
1059	6954.0	13651.0
1058	39.0	2629.0
1057	0.0	8.0
85379	5221.0	4948.0
114112	592.0	1729.0
1056	19.0	4351.0
85377	3184.0	12507.0
85378	3226.0	7498.0
128745	0.0	1.0
85376	31.0	31.0
440248	492.0	758.0
1075	25894.0	24135.0
1074	6.0	36.0
1073	2152.0	1767.0
1072	57080.0	72373.0
1071	169.0	95.0
440243	0.0	0.0
1070	678.0	1167.0
1069	2260.0	1687.0
1068	0.0	0.0
85369	2507.0	3321.0
85366	10.0	66.0
85364	1867.0	4026.0
85365	3107.0	1859.0
85363	2364.0	2477.0
85360	1605.0	765.0
1080	2283.0	82.0
85391	2.0	12.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	1.0
1088	30.0	6.0
153733	487.0	2536.0
1087	52.0	11.0
1086	0.0	5.0
440279	11.0	6.0
1085	1.0	9.0
1084	57.0	1.0
440278	93.0	223.0
1082	0.0	2.0
403294	2.0	0.0
440275	5616.0	5508.0
1081	2.0	0.0
85397	6.0	66.0
85395	378.0	1304.0
403285	0.0	0.0
1091	0.0	0.0
1090	1.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	2.0
1097	0.0	1.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	1.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	17.0	2.0
440270	673.0	1677.0
1089	242.0	26.0
85388	0.0	0.0
85389	0.0	0.0
128718	1.0	0.0
285596	43.0	19.0
285598	370.0	668.0
126133	2892.0	4992.0
128790	0.0	18.0
126129	346.0	390.0
126123	2.0	1.0
442862	0.0	0.0
126119	1133.0	735.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	1.0	0.0
442895	0.0	1.0
114131	249.0	2.0
442896	0.0	0.0
114132	506.0	13.0
442897	0.0	0.0
442898	1.0	3.0
114134	1061.0	993.0
442899	0.0	0.0
100128790	0.0	0.0
128760	1.0	8.0
100128788	30.0	107.0
100128787	1.0	0.0
440225	0.0	0.0
440224	0.0	8.0
442890	0.0	0.0
442891	0.0	2.0
442892	1.0	2.0
128756	0.0	0.0
100128782	197.0	198.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	3.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	47.0	36.0
102466616	0.0	0.0
126052	0.0	5.0
151009	91.0	62.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	48.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	1.0
645572	0.0	0.0
645571	12.0	9.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	894.0	4589.0
107131122	0.0	1.0
138050	8369.0	7190.0
403219	0.0	0.0
151011	4660.0	5118.0
645587	1.0	5.0
165679	17.0	4255.0
126037	34.0	51.0
114049	4627.0	6511.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	2.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1506.0	630.0
100033821	0.0	0.0
106481488	0.0	1.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1411.0	2581.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	215.0	337.0
100033820	0.0	0.0
106481480	2.0	0.0
106481481	0.0	0.0
138065	0.0	2500.0
645598	0.0	1.0
163007	8.0	36.0
114038	1.0	12.0
645591	9.0	0.0
106481495	2.0	0.0
114041	15.0	4.0
106481496	0.0	0.0
114042	3.0	3.0
106481493	0.0	0.0
114043	81.0	256.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	159.0	341.0
126017	397.0	1438.0
106481497	0.0	2.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	1028.0	2552.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	2.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1846.0	1841.0
106481459	0.0	0.0
26994	6662.0	5608.0
106481457	1.0	17.0
26995	1865.0	3858.0
106481458	0.0	0.0
403271	1.0	0.0
26998	0.0	3.0
403272	0.0	0.0
102466659	1.0	0.0
26999	7691.0	7626.0
403273	0.0	0.0
102466658	0.0	1.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	16.0
106481460	2.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2397.0	5970.0
106481467	0.0	0.0
106481464	1.0	1.0
106481465	0.0	1.0
104310351	5.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	4.0
403266	0.0	4.0
138009	0.0	1598.0
106481468	0.0	0.0
106481469	0.0	1.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	53.0	11.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	0.0	1.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	5.0	41.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	648.0	2962.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	1.0
106481437	0.0	0.0
26974	70.0	402.0
153657	18.0	72.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	773.0	5927.0
165631	967.0	120.0
106481436	0.0	2.0
26978	24.0	35.0
126075	1038.0	180.0
106481439	0.0	0.0
403250	0.0	0.0
126074	245.0	100.0
403251	0.0	0.0
106481440	0.0	1.0
106481441	0.0	0.0
85359	2249.0	4302.0
106481444	1.0	4.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	3242.0	1731.0
85354	0.0	0.0
85352	391.0	61.0
403241	1.0	1.0
344462	8.0	2.0
403244	0.0	0.0
403245	0.0	1.0
153642	402.0	735.0
153643	62.0	3.0
403247	0.0	0.0
403248	0.0	0.0
26985	3532.0	6864.0
106481448	0.0	0.0
26986	65978.0	268221.0
126069	94.0	137.0
106481449	0.0	0.0
126068	476.0	452.0
106481446	0.0	0.0
26983	0.0	1.0
26984	892.0	1907.0
106481447	0.0	0.0
106481451	1.0	5.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	68.0	457.0
106481455	0.0	0.0
85349	66.0	154.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	13.0
106481454	0.0	2.0
403238	0.0	0.0
85344	4.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	2.0
85340	0.0	8.0
100873394	0.0	0.0
100873393	0.0	5.0
100873392	2.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2397.0	10270.0
100873390	0.0	1.0
728556	48.0	197.0
106481419	0.0	2.0
100128817	0.0	0.0
728558	102.0	342.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	258.0	1912.0
106481423	0.0	1.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	0.0
100873380	0.0	0.0
100128804	0.0	24.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	1.0	0.0
285600	98.0	94.0
100873384	0.0	0.0
285601	39.0	51.0
106481426	0.0	0.0
106481427	0.0	1.0
222005	0.0	2.0
63910	665.0	704.0
106481424	0.0	0.0
106481425	0.0	1.0
285605	449.0	1241.0
222008	3.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	2961.0	5688.0
63904	0.0	0.0
106481430	1.0	2.0
163071	40.0	468.0
63906	1078.0	1967.0
106481433	0.0	0.0
63908	731.0	2533.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	6.0
285613	88.0	425.0
63920	142.0	993.0
63923	125.0	144.0
63922	367.0	1712.0
728577	47.0	110.0
63925	1699.0	5472.0
63924	17.0	2.0
63916	3471.0	3625.0
63917	4882.0	5361.0
106481400	0.0	10.0
106481401	0.0	0.0
728562	3.0	1.0
728564	5.0	50.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	1485.0	3113.0
106481402	0.0	0.0
63931	1517.0	4215.0
106481403	0.0	38.0
63934	141.0	52.0
728567	2.0	1.0
106481408	0.0	2.0
163088	12.0	7.0
63933	2407.0	2652.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	4222.0	8661.0
163087	540.0	756.0
728568	287.0	603.0
106481407	14.0	14.0
3704	2046.0	5012.0
3705	7915.0	6280.0
63926	382.0	1227.0
3706	22.0	66.0
63929	784.0	1927.0
3707	6918.0	9026.0
63928	6.0	116.0
3708	4160.0	1468.0
106481411	0.0	0.0
3709	4296.0	1796.0
106481412	0.0	0.0
106481410	0.0	3.0
3700	21.0	25.0
3702	1429.0	292.0
3703	9876.0	20721.0
645506	0.0	0.0
151050	932.0	3631.0
645520	0.0	0.0
63941	2648.0	3257.0
63940	6460.0	884.0
63943	236.0	741.0
728517	0.0	1.0
163033	517.0	945.0
258010	1528.0	2083.0
63947	0.0	0.0
63946	1.0	5.0
728513	0.0	1.0
100033803	0.0	0.0
3716	19258.0	9922.0
100033804	0.0	0.0
3717	1590.0	1839.0
100033805	0.0	0.0
3718	1910.0	593.0
63939	1327.0	3655.0
100033806	0.0	0.0
100190799	12.0	5.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	114.0	544.0
3710	19581.0	18711.0
3712	7071.0	3096.0
3713	22.0	1120.0
3714	2207.0	12986.0
63950	2.0	99.0
728505	0.0	2.0
63951	248.0	373.0
100033807	0.0	0.0
728501	39.0	49.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	38671.0	3518.0
100033814	0.0	0.0
3727	11371.0	8817.0
63948	0.0	19.0
100033815	0.0	0.0
222052	3.0	0.0
3728	12940.0	88925.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1846.0	2915.0
151056	416.0	2510.0
3725	18919.0	23107.0
645528	31.0	0.0
728532	11.0	46.0
163059	234.0	97.0
728538	2.0	0.0
728537	125.0	423.0
63967	69.0	3467.0
3737	41.0	11.0
3738	596.0	64.0
3739	269.0	4.0
645538	0.0	0.0
3730	5442.0	3740.0
3732	6977.0	8730.0
3734	28.0	116.0
3735	7848.0	22578.0
3736	5.0	3.0
63970	4.0	1172.0
3750	456.0	683.0
63971	5838.0	7032.0
63974	0.0	0.0
163049	2053.0	1947.0
63973	0.0	3.0
63976	1376.0	76.0
222068	6476.0	9350.0
63978	0.0	0.0
63977	559.0	2500.0
63979	415.0	3914.0
728524	0.0	0.0
3748	1191.0	1586.0
163051	15.0	20.0
3749	1083.0	1329.0
163050	54.0	66.0
3741	57.0	22.0
645548	3.0	76.0
3743	1.0	30.0
3744	4.0	1.0
3745	281.0	27.0
3746	0.0	21.0
3747	0.0	0.0
285671	525.0	229.0
285672	1767.0	1310.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	9.0	42.0
285676	38.0	32.0
3761	0.0	10.0
100128657	0.0	0.0
285679	0.0	8.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	473.0	714.0
283008	17.0	8.0
3751	266.0	649.0
100873435	0.0	0.0
3752	1152.0	1770.0
100873434	0.0	0.0
3753	114.0	44.0
100873433	0.0	1.0
3754	135.0	11.0
100873432	0.0	0.0
3755	38.0	58.0
100873439	0.0	0.0
3756	19.0	96.0
100873438	0.0	0.0
3757	211.0	7483.0
100873437	0.0	0.0
3758	30.0	48.0
100873436	0.0	0.0
100873420	3.0	6.0
3770	124.0	200.0
3772	8723.0	226.0
100861458	0.0	0.0
100861453	39.0	31.0
100861455	0.0	0.0
1107	15221.0	17470.0
1106	8887.0	13645.0
1105	3029.0	3475.0
1104	1580.0	9438.0
100873429	0.0	0.0
1103	0.0	29.0
1102	1455.0	1364.0
1101	49.0	64.0
3762	2107.0	583.0
100873424	0.0	0.0
3763	40.0	33.0
100128640	95.0	309.0
100873423	0.0	0.0
3764	1602.0	304.0
100873422	0.0	0.0
3765	11.0	75.0
100873421	0.0	5.0
3766	57.0	61.0
100873428	0.0	0.0
3767	663.0	1011.0
100873427	0.0	0.0
3768	459.0	122.0
1109	2.0	22.0
100873426	2.0	0.0
1108	14943.0	44512.0
3769	5.0	4.0
100873425	0.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	52.0	13.0
100873453	0.0	1.0
3781	79.0	143.0
100873452	0.0	4.0
3782	1587.0	4169.0
100873451	0.0	0.0
3783	693.0	252.0
100873450	0.0	0.0
1121	1357.0	2264.0
100861468	0.0	5.0
1120	188.0	696.0
100861469	0.0	0.0
1118	2690.0	1271.0
1117	3224.0	208.0
1116	5569.0	2728.0
1114	56.0	1613.0
1113	4.0	80.0
1112	7103.0	21724.0
1111	257.0	6908.0
3773	49.0	2.0
100873457	0.0	3.0
100873456	0.0	1.0
3775	601.0	1204.0
100873455	0.0	0.0
3776	208.0	256.0
100873454	0.0	0.0
3777	2501.0	297.0
3778	1921.0	925.0
3779	291.0	250.0
100873459	0.0	0.0
1119	2076.0	1214.0
100128627	0.0	6.0
100128626	0.0	70.0
3790	2149.0	4867.0
100128628	5.0	44.0
3791	5908.0	1875.0
100873442	0.0	0.0
3792	43.0	393.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	58.0	35.0
1131	183.0	4466.0
1130	2719.0	2131.0
100861476	0.0	0.0
1129	5.0	10.0
1128	51.0	83.0
1124	655.0	1716.0
1123	1523.0	1747.0
1122	848.0	13935.0
100861470	2.0	1.0
3784	5792.0	1670.0
100873446	0.0	0.0
3785	1.0	6.0
100873445	0.0	0.0
3786	409.0	145.0
100873444	0.0	0.0
3787	281.0	1445.0
100873443	0.0	0.0
3788	93.0	10.0
100873449	3.0	11.0
100873448	0.0	0.0
100873447	1.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	79.0	331.0
100128618	0.0	0.0
728597	0.0	73.0
100128617	3.0	12.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	14.0	81.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	21.0	698.0
285634	0.0	10.0
1142	3.0	1.0
1141	7.0	88.0
285636	1945.0	4565.0
1140	678.0	539.0
728599	1.0	6.0
1139	22.0	160.0
1138	30.0	990.0
1137	46.0	9.0
100861485	0.0	0.0
1136	37.0	91.0
1135	43.0	1.0
1134	222.0	124.0
1133	12.0	27.0
3795	372.0	1613.0
100873479	5.0	3.0
3796	1283.0	7649.0
100873478	0.0	1.0
3797	784.0	2587.0
100873477	4.0	1.0
3798	21.0	423.0
100873476	0.0	0.0
3799	10327.0	15833.0
100873460	0.0	1.0
728586	12.0	80.0
285641	2.0	9.0
100873464	0.0	15.0
100873463	0.0	0.0
100873462	1.0	3.0
285643	2.0	19.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	5144.0	1096.0
1153	22534.0	17657.0
1152	5892.0	32961.0
285647	13.0	87.0
728589	15.0	38.0
728588	6.0	0.0
1149	0.0	3.0
1147	1640.0	3307.0
1146	0.0	0.0
1145	112.0	74.0
1144	2.0	3.0
100873468	0.0	0.0
100873467	2.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	847.0	2354.0
1163	609.0	8520.0
285659	0.0	0.0
1161	354.0	670.0
1160	140.0	87.0
1159	24.0	684.0
1158	11.0	40.0
1157	0.0	0.0
1155	3440.0	9886.0
550643	1830.0	1823.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	2650.0	4108.0
1175	3992.0	7754.0
285668	17.0	3.0
1174	1738.0	3031.0
1173	21993.0	76389.0
550631	138.0	252.0
100873489	0.0	0.0
283014	14.0	9.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	14.0	3.0
1186	5328.0	5633.0
1185	2194.0	2583.0
1184	1161.0	1522.0
1183	1148.0	1193.0
1182	5016.0	8942.0
1181	300.0	2009.0
440375	45.0	52.0
1180	6.0	250.0
1179	8.0	1.0
1178	74.0	26.0
283089	17.0	13.0
85495	0.0	0.0
85480	44.0	285.0
283080	0.0	1.0
1198	3217.0	3983.0
1197	0.0	3.0
1196	1545.0	12365.0
1195	2814.0	6889.0
440366	1.0	12.0
1193	3282.0	295.0
1192	20818.0	17090.0
1191	71622.0	8226.0
1188	91.0	42.0
283078	83.0	12.0
85486	5.0	16.0
128615	0.0	0.0
85481	0.0	0.0
128611	448.0	52.0
440396	39.0	631.0
128609	0.0	0.0
128602	10.0	2.0
440387	12.0	4.0
128674	0.0	0.0
128676	3.0	0.0
114026	0.0	0.0
100861402	3.0	5.0
126014	4017.0	276.0
440335	802.0	487.0
100128690	0.0	0.0
114034	941.0	1781.0
126006	38.0	149.0
114036	47.0	62.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	37.0	32.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	2.0
105180391	0.0	0.0
100128682	2.0	2.0
100128678	1.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	210.0	264.0
440356	6.0	94.0
440354	60.0	141.0
440352	4.0	2.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	33.0	14.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	6.0	95.0
100873410	0.0	0.0
100873417	1.0	17.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	123.0	189.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	137.0	364.0
200734	4170.0	6421.0
100861431	0.0	1.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	4.0	4.0
100873408	0.0	0.0
100873407	0.0	6.0
100861430	22.0	1.0
100873402	0.0	0.0
100873401	1.0	3.0
100873400	2.0	0.0
100128665	2.0	0.0
128637	4349.0	4879.0
100873406	0.0	0.0
100873405	0.0	1.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	10.0	10.0
165530	54.0	138.0
85409	2261.0	784.0
106481385	1.0	1.0
106481386	0.0	1.0
85416	0.0	129.0
106481383	2.0	4.0
85417	43.0	100.0
106481384	0.0	4.0
103106903	1.0	0.0
85414	1271.0	482.0
106481389	0.0	0.0
85415	748.0	1863.0
106481387	0.0	0.0
85413	15.0	56.0
106481388	1.0	6.0
645436	0.0	0.0
106481381	1.0	2.0
106481382	0.0	0.0
10	11.0	5.0
106481380	0.0	0.0
11	0.0	0.0
403341	877.0	1306.0
12	106.0	31.0
13	515.0	42.0
14	6969.0	19606.0
15	16.0	8.0
16	10102.0	26359.0
645455	19.0	37.0
18	1325.0	1204.0
19	3472.0	5791.0
128580	10.0	6.0
85407	674.0	262.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1679.0	2613.0
106481395	0.0	0.0
85403	2766.0	2650.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	2.0
106481392	0.0	1.0
106481393	0.0	0.0
20	4164.0	3421.0
106481390	0.0	0.0
21	60884.0	3253.0
106481391	0.0	0.0
22	1187.0	2244.0
153571	917.0	28.0
153572	2568.0	97.0
23	5989.0	13882.0
24	308.0	47.0
25	10069.0	7365.0
26	333.0	232.0
27	2930.0	9912.0
28	1628.0	2167.0
29	12494.0	16545.0
153579	1025.0	232.0
728615	1.0	0.0
728614	0.0	0.0
200765	190.0	1843.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	12.0	21.0
102466518	0.0	1.0
102466516	2.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	1.0	0.0
85439	467.0	3980.0
106481362	0.0	0.0
106481367	0.0	2.0
85437	1968.0	3256.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	480.0	1059.0
106481366	0.0	0.0
30	4002.0	1507.0
106481360	0.0	0.0
31	7874.0	19134.0
32	2580.0	2697.0
33	754.0	564.0
34	2442.0	5216.0
35	1922.0	950.0
153562	1208.0	2145.0
36	4059.0	2868.0
37	13350.0	13970.0
38	4230.0	2831.0
440307	10.0	17.0
39	2127.0	5152.0
165545	6.0	466.0
106481369	0.0	0.0
728606	3.0	20.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	7.0
106481379	0.0	0.0
106481376	0.0	1.0
106481377	0.0	0.0
403315	0.0	0.0
40	26.0	9.0
106481370	0.0	0.0
41	271.0	963.0
106481371	0.0	0.0
43	304.0	37.0
645486	1.0	0.0
47	10365.0	23505.0
48	6321.0	5565.0
49	35.0	6.0
106481338	0.0	0.0
106481339	1.0	1.0
106481336	0.0	0.0
