id	5e010a9a-7f65-434b-ae4c-43948461187c	84f304ea-8b50-41e9-89c8-bfca6668b746
285550	1160.0	1713.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	8.0	6.0
3640	10.0	7.0
3638	5708.0	3357.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	3902.0	1381.0
100873313	0.0	0.0
3632	5719.0	3543.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	3359.0	1050.0
100873318	0.0	0.0
3635	5853.0	497.0
100873317	0.0	0.0
3636	10537.0	4425.0
100128771	52.0	52.0
100873316	6.0	5.0
100873315	0.0	0.0
100128766	1.0	3.0
3651	0.0	0.0
1	34.0	12.0
2	700164.0	8787.0
100873309	0.0	0.0
100873308	0.0	0.0
3	28.0	3.0
3641	0.0	0.0
100873303	0.0	0.0
9	500.0	164.0
3642	9.0	3.0
100873302	0.0	1.0
3643	4828.0	2465.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	2.0	10.0
100873307	0.0	0.0
3646	17938.0	27969.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	135.0	780.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	5018.0	3446.0
100873331	0.0	0.0
3661	3037.0	3815.0
100873330	0.0	0.0
285577	3.0	1.0
3662	827.0	318.0
100128756	0.0	0.0
1000	309.0	151.0
3652	1066.0	1088.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	106.0	10.0
3654	8454.0	14661.0
100873334	0.0	0.0
3655	11213.0	81784.0
100873333	1.0	0.0
3656	952.0	392.0
100873339	0.0	0.0
3658	5303.0	4173.0
100873338	0.0	0.0
3659	15226.0	3204.0
100873337	0.0	0.0
3670	3.0	5.0
100873321	1.0	0.0
3671	7664.0	4849.0
100873320	0.0	0.0
3672	28936.0	2274.0
285588	0.0	0.0
3673	4478.0	8290.0
1011	0.0	0.0
1010	8.0	8.0
1008	7.0	1.0
1007	0.0	0.0
1006	58.0	481.0
1005	7.0	0.0
1004	2329.0	162.0
1003	57595.0	840.0
1002	327.0	156.0
1001	1780.0	32892.0
3663	1884.0	1793.0
100873325	0.0	0.0
3664	3622.0	38583.0
100873324	0.0	0.0
3665	1615.0	1326.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	3941.0	2604.0
100873329	0.0	0.0
285590	7632.0	4132.0
100873328	0.0	0.0
3669	1485.0	818.0
100873327	0.0	0.0
1009	20994.0	11269.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	48.0
728477	15.0	8.0
3680	12704.0	351.0
3681	59.0	2.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1962.0	1860.0
100873353	0.0	0.0
3683	11862.0	322.0
100873352	3.0	1.0
128710	603.0	1688.0
3684	5584.0	478.0
100873351	0.0	0.0
285512	117.0	68.0
1022	1171.0	1688.0
285513	4275.0	247.0
1021	3944.0	7474.0
1020	920.0	1111.0
440299	0.0	2.0
1019	4622.0	10608.0
128709	0.0	1.0
1018	18.0	21.0
1017	2013.0	2719.0
1016	1.0	9.0
1015	63.0	14.0
1014	34.0	45.0
1013	103.0	60.0
1012	5410.0	4036.0
116730	37.0	112.0
3674	440.0	112.0
100873358	0.0	0.0
3675	45375.0	25565.0
100873357	0.0	0.0
3676	5706.0	757.0
