id	306df79f-3f2c-4631-b527-7d79336bc573	d1b9c517-43bc-47c3-b533-a21c1f2d5fff
285550	1401.0	2414.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	15.0	30.0
3640	4.0	21.0
3638	7195.0	5744.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	1.0
3631	2496.0	3088.0
100873313	0.0	0.0
3632	2435.0	1161.0
100873312	3.0	6.0
100873311	0.0	0.0
3633	3419.0	6400.0
100873318	0.0	0.0
3635	2343.0	7251.0
100873317	0.0	0.0
3636	7656.0	15638.0
100128771	59.0	61.0
100873316	8.0	11.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	0.0	266.0
1	24.0	12.0
2	189657.0	26396.0
100873309	0.0	2.0
100873308	0.0	0.0
3	58.0	22.0
3641	1.0	0.0
100873303	1.0	0.0
9	665.0	242.0
3642	3.0	1060.0
100873302	0.0	5.0
3643	4337.0	5982.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	1.0	391.0
100873307	0.0	0.0
3646	13324.0	12901.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	52.0	260.0
100873304	0.0	0.0
100873332	7.0	8.0
3660	3903.0	2942.0
100873331	0.0	0.0
3661	3431.0	5949.0
100873330	0.0	3.0
285577	0.0	4.0
3662	168.0	469.0
100128756	0.0	0.0
1000	27.0	1392.0
3652	802.0	2028.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	647.0	34.0
3654	4692.0	23749.0
100873334	0.0	0.0
3655	5020.0	4424.0
100873333	0.0	1.0
3656	364.0	139.0
100873339	0.0	0.0
3658	3615.0	8711.0
100873338	0.0	0.0
3659	6964.0	7091.0
100873337	0.0	0.0
3670	14.0	1.0
100873321	0.0	0.0
3671	2006.0	2272.0
100873320	0.0	0.0
3672	7366.0	1130.0
285588	3.0	0.0
3673	2073.0	2876.0
1011	0.0	0.0
1010	5.0	1.0
1008	84.0	6.0
1007	0.0	0.0
1006	83.0	219.0
1005	3.0	0.0
1004	368.0	50.0
1003	12429.0	847.0
1002	69.0	2538.0
1001	956.0	8799.0
3663	1536.0	1159.0
100873325	2.0	0.0
3664	4962.0	4741.0
100873324	0.0	0.0
3665	1902.0	2177.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1782.0	1023.0
100873329	0.0	0.0
285590	2287.0	7008.0
100873328	0.0	0.0
3669	2862.0	2125.0
100873327	0.0	0.0
1009	5553.0	1436.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	4.0
728477	17.0	23.0
3680	3265.0	607.0
3681	62.0	240.0
100128733	1.0	1.0
100873354	0.0	0.0
3682	2739.0	1689.0
100873353	0.0	0.0
3683	6450.0	4047.0
100873352	2.0	0.0
128710	500.0	2282.0
3684	5019.0	648.0
100873351	0.0	0.0
285512	272.0	105.0
1022	1191.0	1318.0
285513	2583.0	813.0
1021	2068.0	8642.0
1020	715.0	1287.0
440299	1.0	1.0
1019	2786.0	16130.0
128709	0.0	1.0
1018	34.0	79.0
1017	1368.0	12155.0
1016	1.0	0.0
1015	64.0	29.0
1014	22.0	0.0
1013	59.0	19.0
1012	2186.0	316.0
116730	9.0	14.0
3674	619.0	231.0
100873358	0.0	0.0
3675	35227.0	10911.0
100873357	1.0	0.0
3676	1566.0	1129.0
100128731	6870.0	8491.0
100873356	0.0	0.0
3678	7124.0	2771.0
3679	605.0	1132.0
100873359	0.0	0.0
728464	44.0	58.0
728463	59.0	33.0
100128725	0.0	0.0
3690	243.0	42.0
3691	6913.0	3004.0
100873343	4.0	4.0
3692	5244.0	9492.0
3693	7645.0	8836.0
285521	1090.0	4261.0
100873342	0.0	0.0
3694	12002.0	3171.0
100873341	0.0	0.0
3695	362.0	422.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	43.0	835.0
1032	755.0	1967.0
285525	0.0	4.0
1031	424.0	3168.0
285527	4274.0	4250.0
1030	4108.0	824.0
728468	0.0	0.0
440288	125.0	245.0
1029	112.0	8496.0
440295	241.0	372.0
1028	2545.0	4772.0
1027	6267.0	51351.0
1026	4061.0	7224.0
1025	4231.0	5981.0
1024	705.0	1505.0
3685	5866.0	4123.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	4148.0	3261.0
100873345	0.0	0.0
3688	21319.0	29504.0
100873344	2.0	0.0
3689	20090.0	9901.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	6.0	1.0
100873371	4.0	0.0
100873370	0.0	0.0
728498	22.0	32.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	35.0	69.0
100873375	0.0	0.0
100128710	2.0	4.0
285533	180.0	183.0
100873374	1.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	10.0
1043	16098.0	1312.0
1041	4.0	0.0
1040	4954.0	700.0
1039	1622.0	1730.0
1038	2.0	0.0
1036	1149.0	28.0
3696	1576.0	2595.0
3697	3.0	14.0
100873379	0.0	16.0
3698	305.0	31.0
100873378	4.0	7.0
3699	184.0	93.0
100873377	0.0	0.0
728486	66.0	87.0
100873361	0.0	0.0
105373869	5.0	23.0
100873360	1.0	3.0
285540	184.0	321.0
100128705	3.0	2.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	2.0
100873362	0.0	0.0
100128701	2.0	5.0
1054	2455.0	7933.0
285547	0.0	1.0
1053	33.0	4.0
285548	0.0	112.0
1052	8276.0	1069.0
1051	6032.0	2612.0
728489	11.0	27.0
1050	2874.0	4365.0
100128707	0.0	0.0
1048	7879.0	137.0
1047	236.0	2211.0
1046	0.0	0.0
1045	1.0	164.0
100873369	7.0	27.0
100873368	0.0	1.0
100873367	0.0	2.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	29262.0	580.0
1063	258.0	19430.0
1062	110.0	1821.0
1061	8.0	8.0
1060	1646.0	3051.0
440253	125.0	155.0
1059	7535.0	14112.0
1058	22.0	2488.0
1057	4.0	17.0
85379	6434.0	3524.0
114112	776.0	1180.0
1056	22.0	1256.0
85377	2374.0	3063.0
85378	3492.0	1494.0
128745	0.0	5.0
85376	32.0	16.0
440248	460.0	976.0
1075	35093.0	16517.0
1074	17.0	22.0
1073	5163.0	1020.0
1072	45744.0	74145.0
1071	200.0	91.0
440243	0.0	0.0
1070	1221.0	1458.0
1069	7795.0	12053.0
1068	0.0	0.0
85369	2332.0	1917.0
85366	6.0	126.0
85364	1678.0	4792.0
85365	2576.0	3027.0
85363	2310.0	2190.0
85360	1301.0	429.0
1080	2221.0	102.0
85391	2.0	8.0
403296	0.0	0.0
403297	3.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	28.0	0.0
153733	664.0	433.0
1087	7.0	19.0
1086	0.0	2.0
440279	4.0	1.0
1085	0.0	3.0
1084	122.0	5.0
440278	106.0	285.0
1082	0.0	1.0
403294	0.0	1.0
440275	3606.0	6604.0
1081	2.0	0.0
85397	4.0	18.0
85395	637.0	1028.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	4.0
1097	0.0	6.0
1096	0.0	1.0
1095	0.0	38.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	6.0	4.0
440270	1857.0	1078.0
1089	174.0	23.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	92.0	22.0
285598	364.0	587.0
126133	2311.0	3673.0
128790	0.0	3.0
126129	107.0	397.0
126123	13.0	7.0
442862	0.0	0.0
126119	1551.0	1232.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	86.0	9.0
442896	0.0	1.0
114132	362.0	32.0
442897	0.0	0.0
442898	1.0	2.0
114134	1125.0	225.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	7.0
100128788	45.0	176.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	2.0
442890	0.0	0.0
442891	1.0	5.0
442892	2.0	2.0
128756	0.0	0.0
100128782	179.0	525.0
100128781	0.0	5.0
