id	5cf4c664-9f98-4e1e-a623-317660ee7f6a	e81fc37c-f65b-4e69-b03a-e522fc76ec08
285550	802.0	853.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	8.0	82.0
3640	19.0	13.0
3638	5945.0	3077.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2411.0	2556.0
100873313	0.0	0.0
3632	2130.0	1784.0
100873312	2.0	3.0
100873311	0.0	0.0
3633	2270.0	1435.0
100873318	0.0	0.0
3635	3135.0	2181.0
100873317	0.0	0.0
3636	8398.0	7746.0
100128771	42.0	83.0
100873316	14.0	37.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	2.0	0.0
1	22.0	38.0
2	418900.0	29779.0
100873309	0.0	1.0
100873308	0.0	0.0
3	18.0	120.0
3641	0.0	0.0
100873303	0.0	0.0
9	326.0	146.0
3642	5.0	2.0
100873302	0.0	0.0
3643	3846.0	3399.0
100128764	0.0	2.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	9.0	44.0
100873307	0.0	0.0
3646	9698.0	11475.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	50.0	149.0
100873304	0.0	0.0
100873332	1.0	3.0
3660	3111.0	2455.0
100873331	0.0	0.0
3661	4042.0	5491.0
100873330	0.0	2.0
285577	2.0	26.0
3662	699.0	1270.0
100128756	0.0	0.0
1000	523.0	891.0
3652	613.0	847.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	469.0	17.0
3654	9314.0	10758.0
100873334	0.0	0.0
3655	5556.0	52810.0
100873333	0.0	1.0
3656	937.0	775.0
100873339	0.0	0.0
3658	3643.0	3697.0
100873338	0.0	0.0
3659	9758.0	5252.0
100873337	0.0	0.0
3670	1.0	20.0
100873321	0.0	0.0
3671	15535.0	24279.0
100873320	0.0	0.0
3672	11595.0	7610.0
285588	0.0	0.0
3673	8586.0	9296.0
1011	0.0	0.0
1010	3.0	8.0
1008	57.0	10.0
1007	0.0	0.0
