id	045e2535-012c-4cec-b386-9d6f62b91829	085bdf94-a24f-4511-8d3f-d0c91f7e6947
285550	1838.0	1091.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	14.0	8.0
3640	18.0	15.0
3638	13718.0	6150.0
100873319	0.0	0.0
100873314	1.0	0.0
3630	0.0	0.0
3631	5047.0	1009.0
100873313	0.0	0.0
3632	7576.0	1081.0
100873312	8.0	0.0
100873311	0.0	0.0
3633	4880.0	898.0
100873318	0.0	0.0
3635	4373.0	636.0
100873317	0.0	0.0
3636	20047.0	2157.0
100128771	47.0	32.0
100873316	22.0	0.0
100873315	0.0	0.0
100128766	5.0	2.0
3651	0.0	0.0
1	57.0	3.0
2	618378.0	11849.0
100873309	0.0	0.0
100873308	0.0	0.0
3	28.0	3.0
3641	0.0	2.0
100873303	1.0	0.0
9	495.0	237.0
3642	8.0	15.0
100873302	2.0	0.0
3643	8318.0	1933.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	17.0	0.0
100873307	0.0	0.0
3646	23164.0	16601.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	190.0	218.0
100873304	0.0	0.0
100873332	9.0	0.0
3660	6240.0	2358.0
100873331	0.0	0.0
3661	6008.0	2818.0
100873330	0.0	0.0
285577	4.0	0.0
3662	1947.0	489.0
100128756	0.0	0.0
1000	619.0	79.0
3652	1297.0	876.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	566.0	54.0
3654	12036.0	8677.0
100873334	3.0	0.0
3655	26276.0	46273.0
100873333	2.0	0.0
3656	2601.0	562.0
100873339	0.0	0.0
3658	7401.0	3708.0
100873338	0.0	1.0
3659	42083.0	3302.0
100873337	0.0	0.0
3670	4.0	0.0
100873321	0.0	0.0
3671	8838.0	2573.0
100873320	0.0	0.0
3672	33257.0	1952.0
285588	2.0	0.0
3673	8351.0	5621.0
1011	0.0	0.0
1010	7.0	58.0
1008	13.0	0.0
1007	0.0	0.0
1006	79.0	113.0
1005	5.0	0.0
1004	3540.0	86.0
1003	62868.0	1059.0
1002	263.0	15.0
1001	3750.0	30891.0
3663	1441.0	1227.0
100873325	7.0	0.0
3664	6559.0	20257.0
100873324	0.0	1.0
3665	8842.0	1335.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	8230.0	2666.0
100873329	0.0	0.0
285590	4925.0	3303.0
100873328	3.0	0.0
3669	6970.0	1063.0
100873327	0.0	0.0
1009	16890.0	10053.0
100873326	1.0	0.0
100873350	0.0	0.0
116729	5.0	2.0
728477	19.0	5.0
3680	8743.0	266.0
3681	76.0	19.0
100128733	1.0	0.0
100873354	1.0	0.0
3682	1924.0	1161.0
100873353	0.0	0.0
3683	8551.0	882.0
100873352	32.0	0.0
128710	964.0	1018.0
3684	4852.0	620.0
100873351	2.0	1.0
285512	501.0	19.0
1022	1849.0	1133.0
285513	2849.0	454.0
1021	7755.0	5797.0
1020	1118.0	885.0
440299	1.0	0.0
1019	6115.0	10644.0
128709	0.0	2.0
1018	65.0	10.0
1017	4345.0	3630.0
1016	3.0	3.0
1015	13.0	51.0
1014	246.0	6.0
1013	99.0	12.0
1012	3749.0	1268.0
116730	23.0	50.0
3674	266.0	38.0
100873358	1.0	0.0
3675	86317.0	16350.0
100873357	2.0	0.0
3676	4318.0	676.0
100128731	8292.0	7045.0
100873356	0.0	0.0
3678	30839.0	7954.0
3679	3347.0	116.0
100873359	0.0	0.0
728464	121.0	251.0
728463	259.0	6.0
100128725	0.0	0.0
3690	475.0	64.0
3691	13235.0	37364.0
100873343	4.0	0.0
3692	10588.0	11203.0
3693	19455.0	8999.0
285521	1786.0	931.0
100873342	0.0	0.0
3694	29836.0	5310.0
100873341	1.0	0.0
3695	685.0	264.0
100873340	1.0	0.0
100128723	1.0	0.0
1033	122.0	822.0
1032	1127.0	539.0
285525	3.0	0.0
1031	1587.0	553.0
