id	93b1f14d-cdb5-474f-aeda-b20e3ea8f2fb	c021cbb0-388a-4c5d-8cf3-edc5335a0113
285550	715.0	510.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	6.0	15.0
3640	1.0	6.0
3638	3080.0	2271.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1835.0	1900.0
100873313	0.0	0.0
3632	2497.0	2132.0
100873312	3.0	0.0
100873311	0.0	0.0
3633	2367.0	1606.0
100873318	0.0	0.0
3635	1754.0	294.0
100873317	0.0	0.0
3636	6666.0	7263.0
100128771	19.0	37.0
100873316	9.0	8.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	0.0	342.0
1	18.0	62.0
2	254463.0	19579.0
100873309	0.0	0.0
100873308	0.0	0.0
3	34.0	9.0
3641	0.0	0.0
100873303	0.0	0.0
9	157.0	61.0
3642	0.0	261.0
100873302	0.0	0.0
3643	2935.0	2261.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	3.0	217.0
100873307	0.0	1.0
3646	7915.0	7358.0
100873306	0.0	0.0
100873305	0.0	5.0
3647	67.0	151.0
100873304	0.0	1.0
100873332	4.0	2.0
3660	2545.0	992.0
100873331	0.0	0.0
3661	2424.0	4639.0
100873330	0.0	1.0
285577	4.0	0.0
3662	139.0	407.0
100128756	0.0	0.0
1000	24.0	3782.0
3652	544.0	623.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	169.0	2.0
3654	4194.0	9144.0
100873334	0.0	0.0
3655	4316.0	5198.0
100873333	0.0	0.0
3656	300.0	258.0
100873339	0.0	0.0
3658	2628.0	3336.0
100873338	0.0	0.0
3659	5120.0	362.0
100873337	0.0	0.0
3670	2.0	176.0
100873321	0.0	0.0
3671	2553.0	2389.0
100873320	0.0	0.0
3672	8258.0	1417.0
285588	1.0	0.0
3673	1972.0	3182.0
1011	0.0	0.0
1010	1.0	2901.0
1008	82.0	70.0
1007	0.0	0.0
1006	36.0	441.0
1005	9.0	19.0
1004	674.0	337.0
1003	17171.0	1021.0
1002	143.0	1789.0
1001	266.0	10220.0
3663	1308.0	355.0
100873325	0.0	3.0
3664	2100.0	4049.0
100873324	0.0	0.0
3665	844.0	3874.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2201.0	6752.0
100873329	1.0	0.0
285590	1611.0	2798.0
100873328	0.0	1.0
3669	1161.0	217.0
100873327	0.0	0.0
1009	4466.0	11295.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	45.0
728477	7.0	13.0
3680	1759.0	1667.0
3681	73.0	17.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1175.0	252.0
100873353	1.0	0.0
3683	4399.0	330.0
100873352	0.0	1.0
128710	236.0	486.0
3684	3530.0	178.0
100873351	0.0	0.0
285512	227.0	95.0
1022	678.0	477.0
285513	1812.0	526.0
1021	2214.0	12741.0
1020	448.0	331.0
440299	0.0	1.0
1019	1827.0	7667.0
128709	1.0	0.0
1018	36.0	53.0
1017	1125.0	3519.0
1016	0.0	119.0
1015	5.0	11.0
1014	19.0	2.0
1013	23.0	278.0
1012	2560.0	1525.0
116730	14.0	13.0
3674	112.0	792.0
100873358	0.0	0.0
3675	31970.0	6090.0
100873357	0.0	0.0
3676	943.0	558.0
100128731	3345.0	3278.0
100873356	0.0	0.0
3678	7713.0	4419.0
3679	559.0	1452.0
100873359	0.0	0.0
728464	30.0	107.0
728463	83.0	53.0
100128725	0.0	0.0
3690	124.0	200.0
3691	5075.0	5517.0
100873343	0.0	3.0
3692	3108.0	4796.0
3693	5933.0	15037.0
285521	692.0	975.0
100873342	0.0	0.0
3694	5420.0	1919.0
100873341	0.0	0.0
3695	217.0	69.0
100873340	1.0	0.0
100128723	0.0	0.0
1033	23.0	603.0
1032	561.0	196.0
285525	0.0	5.0
1031	356.0	1225.0
285527	3477.0	1973.0
1030	4156.0	376.0
728468	0.0	0.0
440288	95.0	190.0
1029	54.0	835.0
440295	138.0	331.0
1028	1796.0	5378.0
1027	3686.0	3411.0
1026	8353.0	2431.0
1025	3460.0	2474.0
1024	456.0	572.0
3685	4178.0	7842.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	5261.0	229.0
100873345	0.0	0.0
3688	19983.0	15399.0
100873344	0.0	0.0
3689	9715.0	818.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	2.0
100873371	1.0	2.0
100873370	0.0	0.0
728498	9.0	30.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	3.0
728492	45.0	24.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	128.0	125.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	7.0	226.0
1043	9827.0	75.0
1041	5.0	3.0
1040	1347.0	910.0
1039	1261.0	1332.0
1038	2.0	15.0
1036	855.0	762.0
3696	694.0	1969.0
3697	6.0	1.0
100873379	0.0	0.0
3698	41.0	31.0
100873378	2.0	1.0
3699	272.0	28.0
100873377	0.0	0.0
728486	34.0	8.0
100873361	0.0	0.0
105373869	7.0	34.0
100873360	2.0	0.0
285540	150.0	36.0
100128705	0.0	0.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	2.0
728484	0.0	1.0
100873362	0.0	0.0
100128701	3.0	2.0
1054	1713.0	2810.0
285547	0.0	5.0
1053	12.0	3.0
285548	2.0	87.0
1052	7387.0	625.0
1051	4730.0	1091.0
728489	25.0	28.0
1050	1590.0	899.0
100128707	0.0	2.0
1048	1230.0	96.0
1047	30.0	312.0
1046	0.0	0.0
1045	0.0	623.0
100873369	5.0	11.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	2.0
1066	13981.0	1210.0
1063	98.0	6634.0
1062	59.0	1373.0
1061	4.0	2.0
1060	1161.0	919.0
440253	120.0	190.0
1059	5255.0	5775.0
1058	14.0	545.0
1057	2.0	0.0
85379	4148.0	7197.0
114112	532.0	463.0
1056	10.0	34.0
85377	1823.0	2956.0
85378	3234.0	4322.0
128745	0.0	1.0
85376	12.0	111.0
440248	562.0	490.0
1075	14964.0	2811.0
1074	3.0	6.0
1073	4078.0	1081.0
1072	32466.0	33426.0
1071	227.0	40.0
440243	0.0	0.0
1070	518.0	298.0
1069	2025.0	2478.0
1068	0.0	0.0
85369	1761.0	1738.0
85366	1.0	18.0
85364	1174.0	3100.0
85365	1255.0	1555.0
85363	1495.0	1100.0
85360	1640.0	443.0
1080	738.0	288.0
85391	5.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	1.0
1088	7.0	1.0
153733	433.0	377.0
1087	0.0	0.0
1086	0.0	0.0
440279	4.0	204.0
1085	1.0	1.0
1084	62.0	3.0
440278	68.0	112.0
1082	0.0	12.0
403294	0.0	0.0
440275	2717.0	4969.0
1081	0.0	0.0
85397	10.0	20.0
85395	314.0	631.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	1.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	1.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	6.0	0.0
440270	1724.0	1190.0
1089	92.0	11.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	67.0	37.0
285598	254.0	552.0
126133	1555.0	2976.0
128790	0.0	2.0
126129	140.0	2229.0
126123	9.0	137.0
442862	0.0	0.0
126119	959.0	1041.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	14.0	67.0
442896	0.0	1.0
114132	265.0	46.0
442897	0.0	0.0
442898	2.0	2.0
114134	484.0	588.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	10.0
100128788	31.0	65.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	2.0
442890	0.0	0.0
442891	0.0	3.0
442892	1.0	2.0
128756	0.0	0.0
100128782	145.0	219.0
100128781	2.0	1.0
403230	1.0	0.0
403231	0.0	1.0
403232	0.0	0.0
645560	0.0	0.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	86.0	113.0
102466616	0.0	0.0
126052	0.0	0.0
151009	25.0	26.0
403227	0.0	1.0
403228	0.0	0.0
138046	0.0	32.0
645558	0.0	0.0
403229	0.0	1.0
645573	0.0	1.0
645572	0.0	0.0
645571	2.0	1.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	740.0	832.0
107131122	1.0	1.0
138050	5294.0	3012.0
403219	0.0	0.0
151011	6785.0	2506.0
645587	0.0	20.0
165679	5.0	62.0
126037	29.0	14.0
114049	2600.0	3273.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1021.0	570.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1318.0	2101.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	104.0	99.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	1.0
138065	6.0	9.0
645598	0.0	0.0
163007	2.0	35.0
114038	2.0	2.0
645591	17.0	6.0
106481495	1.0	0.0
114041	0.0	90.0
106481496	0.0	0.0
114042	3.0	8.0
106481493	0.0	0.0
114043	26.0	641.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	119.0	299.0
126017	376.0	634.0
106481497	1.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	3.0	100.0
85301	1167.0	3223.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	529.0	1801.0
106481459	0.0	0.0
26994	5713.0	3102.0
106481457	2.0	5.0
26995	990.0	1416.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2247.0	1812.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	1.0	7.0
106481460	6.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2099.0	1448.0
106481467	0.0	0.0
106481464	2.0	0.0
