id	dde579e0-d792-456b-a66b-f7ec72969680	856b6c07-2b53-4a35-9722-fd9925793778
1068	0.0	0.0
85369	1240.0	1941.0
85366	2.0	15.0
85364	777.0	1032.0
85365	1764.0	1903.0
85363	1377.0	1016.0
85360	584.0	1593.0
1080	2467.0	1525.0
85391	7.0	14.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	1.0
1088	23.0	1.0
153733	343.0	854.0
1087	6.0	1.0
1086	0.0	0.0
440279	3.0	1.0
1085	0.0	0.0
1084	150.0	109.0
440278	67.0	122.0
1082	0.0	1.0
403294	0.0	0.0
440275	2414.0	3858.0
1081	0.0	0.0
85397	0.0	4.0
85395	255.0	405.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	7.0	0.0
440270	417.0	694.0
1089	165.0	31.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	6.0
285596	40.0	5.0
285598	305.0	1271.0
126133	1205.0	1766.0
128790	0.0	0.0
126129	84.0	846.0
126123	10.0	34.0
442862	0.0	0.0
126119	830.0	1039.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	1.0
442894	0.0	0.0
442895	0.0	0.0
114131	174.0	45.0
442896	0.0	0.0
114132	184.0	48.0
442897	0.0	0.0
442898	1.0	0.0
114134	644.0	1132.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	5.0
100128788	25.0	55.0
100128787	0.0	1.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	0.0	1.0
442892	0.0	0.0
128756	0.0	0.0
100128782	251.0	158.0
100128781	0.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	3.0
403234	0.0	0.0
403235	1.0	1.0
403236	0.0	0.0
63982	24.0	29.0
102466616	0.0	0.0
126052	0.0	2.0
151009	21.0	27.0
403227	0.0	1.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	1.0
645573	0.0	0.0
645572	0.0	0.0
645571	10.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	1.0	0.0
200634	757.0	1083.0
107131122	0.0	1.0
138050	3467.0	6228.0
403219	0.0	0.0
151011	3383.0	4167.0
645587	1.0	20.0
165679	1.0	32.0
126037	26.0	54.0
114049	2548.0	4369.0
106481479	2.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	844.0	849.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1214.0	1912.0
106481486	1.0	0.0
106481487	0.0	0.0
645579	141.0	162.0
100033820	0.0	0.0
106481480	1.0	1.0
106481481	0.0	0.0
138065	6.0	3.0
645598	0.0	1.0
163007	1.0	2.0
114038	2.0	3.0
645591	3.0	2.0
106481495	0.0	0.0
114041	6.0	0.0
106481496	0.0	0.0
114042	0.0	0.0
106481493	0.0	0.0
114043	32.0	387.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	118.0	178.0
126017	263.0	391.0
106481497	2.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	7.0
85301	834.0	12939.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1632.0	422.0
106481459	0.0	0.0
26994	4521.0	5659.0
106481457	5.0	2.0
26995	1241.0	2029.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	1.0
403272	1.0	0.0
102466659	0.0	0.0
26999	3072.0	1655.0
403273	0.0	0.0
102466658	1.0	2.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	8.0
106481460	2.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1423.0	1988.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	3.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	35.0	2.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	9.0	49.0
106481470	1.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	441.0	771.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	4.0	9.0
106481437	0.0	0.0
26974	38.0	84.0
153657	30.0	28.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	745.0	960.0
165631	1148.0	257.0
106481436	0.0	0.0
26978	15.0	24.0
126075	604.0	461.0
106481439	0.0	0.0
403250	0.0	0.0
126074	162.0	171.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1576.0	2071.0
106481444	5.0	0.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2043.0	3091.0
85354	0.0	0.0
85352	62.0	135.0
403241	0.0	0.0
344462	2.0	0.0
403244	0.0	0.0
403245	0.0	0.0
153642	220.0	357.0
153643	254.0	23.0
403247	0.0	0.0
403248	0.0	0.0
26985	1690.0	2529.0
106481448	0.0	0.0
26986	29823.0	146206.0
126069	69.0	122.0
106481449	0.0	0.0
126068	355.0	212.0
106481446	0.0	0.0
26983	0.0	0.0
26984	591.0	554.0
106481447	0.0	0.0
106481451	1.0	4.0
106481452	0.0	1.0
106481450	1.0	0.0
114088	18.0	286.0
106481455	0.0	0.0
85349	136.0	42.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	5.0
106481454	0.0	0.0
403238	0.0	0.0
85344	0.0	2.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	21.0
100873394	0.0	0.0
100873393	0.0	5.0
100873392	0.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	1.0
106481415	0.0	0.0
106481416	0.0	4.0
106481413	1.0	0.0
106481414	0.0	0.0
63901	2219.0	1262.0
100873390	0.0	0.0
728556	42.0	144.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	67.0	70.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	247.0	141.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	1.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	1.0
100128801	0.0	0.0
285600	131.0	140.0
100873384	0.0	0.0
285601	18.0	27.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	5.0
63910	599.0	2286.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	296.0	296.0
222008	0.0	0.0
106481428	0.0	1.0
106481429	0.0	0.0
63905	1984.0	2495.0
63904	0.0	0.0
106481430	2.0	2.0
163071	16.0	69.0
63906	529.0	940.0
106481433	0.0	0.0
63908	435.0	756.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	3.0	0.0
285613	104.0	319.0
63920	189.0	122.0
63923	17.0	7.0
63922	266.0	1009.0
728577	24.0	113.0
63925	1075.0	2502.0
63924	1.0	0.0
63916	1892.0	3769.0
63917	2184.0	3156.0
106481400	0.0	1.0
106481401	0.0	0.0
728562	10.0	5.0
728564	6.0	14.0
285622	0.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	823.0	1372.0
106481402	1.0	0.0
63931	1058.0	843.0
106481403	0.0	0.0
63934	74.0	37.0
728567	0.0	3.0
106481408	0.0	0.0
163088	1.0	9.0
63933	1295.0	1603.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2038.0	2887.0
163087	422.0	207.0
728568	200.0	294.0
106481407	8.0	11.0
3704	1459.0	3552.0
3705	2964.0	4243.0
63926	360.0	648.0
3706	12.0	21.0
63929	461.0	1530.0
3707	2088.0	5438.0
63928	1.0	128.0
3708	3030.0	4266.0
106481411	0.0	0.0
3709	1717.0	1983.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	33.0	26.0
3702	693.0	240.0
3703	3862.0	9285.0
645506	1.0	0.0
151050	788.0	622.0
645520	0.0	0.0
63941	1824.0	1913.0
63940	3762.0	1651.0
63943	196.0	230.0
728517	0.0	0.0
163033	247.0	331.0
258010	1437.0	359.0
63947	0.0	0.0
63946	0.0	1.0
728513	0.0	2.0
100033803	0.0	0.0
3716	7094.0	12322.0
100033804	0.0	0.0
3717	1400.0	926.0
100033805	0.0	0.0
3718	1287.0	1088.0
63939	861.0	1662.0
100033806	0.0	0.0
100190799	5.0	8.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	51.0	60.0
3710	6094.0	18602.0
3712	3762.0	3739.0
3713	13.0	250.0
3714	921.0	3295.0
63950	5.0	3.0
728505	1.0	0.0
63951	157.0	100.0
100033807	0.0	0.0
728501	39.0	9.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	49698.0	15680.0
100033814	0.0	0.0
3727	17807.0	6026.0
63948	0.0	0.0
100033815	0.0	0.0
222052	4.0	0.0
3728	5207.0	37983.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	843.0	3883.0
151056	218.0	463.0
3725	33941.0	19358.0
645528	7.0	3.0
728532	21.0	35.0
163059	172.0	232.0
728538	4.0	1.0
728537	190.0	120.0
63967	52.0	913.0
3737	22.0	8.0
3738	480.0	81.0
3739	71.0	17.0
645538	0.0	0.0
3730	3262.0	1707.0
3732	3934.0	9540.0
3734	19.0	29.0
3735	3881.0	5427.0
3736	3.0	2.0
63970	11.0	702.0
3750	156.0	349.0
63971	2269.0	4328.0
63974	0.0	0.0
163049	1233.0	1565.0
63973	0.0	0.0
63976	600.0	498.0
222068	4201.0	3269.0
63978	1.0	0.0
63977	337.0	601.0
63979	306.0	173.0
728524	0.0	0.0
3748	550.0	818.0
163051	19.0	15.0
3749	476.0	1838.0
163050	46.0	59.0
3741	268.0	34.0
645548	2.0	8.0
3743	1.0	19.0
3744	5.0	1.0
3745	44.0	3.0
3746	1.0	10.0
3747	0.0	0.0
285671	330.0	146.0
285672	1406.0	1333.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	10.0	3.0
285676	27.0	88.0
3761	0.0	1.0
100128657	0.0	0.0
285679	0.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	1176.0	466.0
283008	1.0	0.0
3751	48.0	54.0
100873435	0.0	0.0
3752	330.0	889.0
100873434	0.0	0.0
3753	147.0	60.0
100873433	0.0	0.0
3754	18.0	7.0
100873432	0.0	0.0
3755	7.0	468.0
100873439	0.0	0.0
3756	4.0	78.0
100873438	0.0	0.0
3757	84.0	56.0
100873437	0.0	0.0
3758	19.0	13.0
100873436	0.0	0.0
100873420	1.0	1.0
3770	33.0	262.0
3772	5440.0	3108.0
100861458	0.0	0.0
100861453	13.0	41.0
100861455	0.0	0.0
1107	5470.0	12845.0
1106	3385.0	4910.0
1105	1401.0	1925.0
1104	1003.0	4781.0
100873429	0.0	0.0
1103	0.0	1.0
1102	987.0	608.0
1101	37.0	86.0
3762	1383.0	1902.0
100873424	0.0	0.0
3763	4.0	3.0
100128640	41.0	35.0
100873423	0.0	0.0
3764	1488.0	617.0
100873422	0.0	1.0
3765	5.0	12.0
100873421	0.0	1.0
3766	41.0	204.0
100873428	0.0	0.0
3767	157.0	81.0
100873427	0.0	0.0
3768	104.0	82.0
1109	0.0	2.0
100873426	0.0	1.0
1108	5700.0	15755.0
3769	2.0	0.0
100873425	0.0	1.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	12.0	9.0
100873453	0.0	0.0
3781	41.0	106.0
100873452	0.0	0.0
3782	296.0	239.0
100873451	0.0	0.0
3783	707.0	328.0
100873450	0.0	0.0
1121	1037.0	1566.0
100861468	0.0	0.0
1120	211.0	278.0
100861469	0.0	0.0
1118	2153.0	1240.0
1117	2507.0	1100.0
1116	4953.0	5229.0
1114	13.0	88.0
1113	8.0	2.0
1112	3271.0	5687.0
1111	165.0	1223.0
3773	45.0	7.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	622.0	1505.0
100873455	0.0	0.0
3776	52.0	19.0
100873454	0.0	0.0
3777	1095.0	664.0
3778	1420.0	2010.0
3779	463.0	162.0
100873459	1.0	0.0
1119	1010.0	987.0
100128627	0.0	3.0
100128626	0.0	0.0
3790	1891.0	1462.0
100128628	9.0	3.0
3791	2536.0	2341.0
100873442	0.0	0.0
3792	26.0	16.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	19.0	9.0
1131	66.0	573.0
1130	1578.0	3271.0
100861476	0.0	1.0
1129	26.0	12.0
1128	147.0	23.0
1124	413.0	161.0
1123	1108.0	424.0
1122	405.0	2339.0
100861470	0.0	0.0
3784	2608.0	2886.0
100873446	0.0	0.0
3785	2.0	26.0
100873445	0.0	0.0
3786	740.0	1074.0
100873444	0.0	0.0
3787	62.0	192.0
100873443	0.0	0.0
3788	25.0	26.0
100873449	1.0	2.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	65.0	98.0
100128618	0.0	0.0
728597	0.0	0.0
100128617	2.0	1.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	13.0	29.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	11.0	568.0
285634	2.0	10.0
1142	0.0	0.0
1141	3.0	47.0
285636	1023.0	4639.0
1140	352.0	260.0
728599	0.0	1.0
1139	7.0	9.0
1138	22.0	140.0
1137	3.0	0.0
100861485	0.0	0.0
1136	25.0	24.0
1135	26.0	5.0
1134	29.0	93.0
1133	11.0	7.0
3795	247.0	208.0
100873479	5.0	5.0
3796	852.0	1329.0
100873478	0.0	0.0
3797	299.0	3868.0
100873477	0.0	3.0
3798	16.0	1045.0
100873476	0.0	0.0
3799	6110.0	14935.0
100873460	0.0	0.0
728586	8.0	11.0
285641	1.0	1.0
100873464	1.0	1.0
100873463	0.0	0.0
100873462	1.0	2.0
285643	1.0	1.0
100128603	1.0	0.0
100873461	0.0	0.0
1154	2047.0	1592.0
1153	11684.0	10387.0
1152	3640.0	1516.0
285647	10.0	21.0
728589	11.0	37.0
728588	5.0	0.0
1149	1.0	24.0
1147	1056.0	1955.0
1146	4.0	21.0
1145	119.0	119.0
1144	0.0	3.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	1137.0	1797.0
1163	420.0	1288.0
285659	0.0	0.0
1161	235.0	248.0
1160	79.0	59.0
1159	10.0	319.0
1158	6.0	2.0
1157	0.0	0.0
1155	2164.0	1837.0
550643	1090.0	1150.0
283025	0.0	0.0
100873499	1.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	1.0
100873483	0.0	0.0
1176	1654.0	2742.0
1175	2949.0	3203.0
285668	8.0	4.0
1174	1387.0	11007.0
1173	10078.0	27971.0
550631	112.0	137.0
100873489	0.0	0.0
283014	4.0	9.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	25.0	8.0
1186	2569.0	6707.0
1185	1104.0	1638.0
1184	623.0	1557.0
1183	575.0	390.0
1182	2669.0	4076.0
1181	146.0	848.0
440375	28.0	174.0
1180	17.0	8.0
1179	0.0	1.0
1178	313.0	42.0
283089	11.0	2.0
85495	0.0	0.0
85480	61.0	98.0
283080	0.0	0.0
1198	2350.0	1958.0
1197	1.0	2.0
1196	1143.0	2164.0
1195	4301.0	3328.0
440366	0.0	0.0
1193	2196.0	1084.0
1192	13672.0	13432.0
1191	28421.0	12464.0
1188	39.0	11.0
283078	70.0	12.0
85486	4.0	3.0
128615	0.0	0.0
85481	1.0	1.0
128611	193.0	63.0
440396	23.0	54.0
128609	0.0	0.0
128602	878.0	30.0
440387	2.0	2.0
128674	1.0	0.0
128676	2.0	0.0
114026	0.0	0.0
100861402	0.0	8.0
126014	1638.0	908.0
440335	667.0	131.0
100128690	0.0	0.0
114034	410.0	573.0
126006	17.0	16.0
114036	34.0	10.0
100128696	0.0	0.0
100128688	0.0	3.0
126003	30.0	62.0
100861412	0.0	0.0
105180390	0.0	0.0
100128685	0.0	2.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	1.0
100128678	3.0	5.0
100861429	0.0	0.0
128653	0.0	0.0
200728	218.0	292.0
440356	3.0	25.0
440354	55.0	59.0
440352	1.0	2.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	0.0	0.0
128646	18.0	7.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	9.0	21.0
100873410	0.0	0.0
100873417	5.0	3.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	1.0	2.0
100861435	0.0	1.0
100861436	0.0	0.0
440345	56.0	57.0
200734	1412.0	3199.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	17.0	6.0
100873402	0.0	0.0
100873401	1.0	2.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	2064.0	5293.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	12.0	4.0
165530	46.0	14.0
85409	1259.0	930.0
106481385	0.0	0.0
106481386	2.0	0.0
85416	0.0	121.0
106481383	2.0	2.0
85417	13.0	22.0
106481384	0.0	0.0
103106903	0.0	1.0
85414	513.0	725.0
106481389	0.0	0.0
85415	381.0	209.0
106481387	0.0	0.0
85413	10.0	7.0
106481388	0.0	3.0
645436	0.0	1.0
106481381	1.0	0.0
106481382	0.0	0.0
10	3.0	9.0
106481380	0.0	0.0
11	0.0	0.0
403341	555.0	1616.0
12	33.0	23.0
13	306.0	81.0
14	3703.0	7350.0
15	13.0	60.0
16	3580.0	17114.0
645455	8.0	30.0
18	912.0	423.0
19	1857.0	13744.0
128580	3.0	1.0
85407	440.0	300.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	903.0	1410.0
106481395	0.0	0.0
85403	1168.0	1717.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	2.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	1705.0	3641.0
106481390	0.0	0.0
21	24343.0	42947.0
106481391	0.0	0.0
22	831.0	671.0
153571	769.0	575.0
153572	2051.0	2150.0
23	2064.0	4310.0
24	153.0	55.0
25	2944.0	6498.0
26	183.0	45.0
27	1148.0	2498.0
28	960.0	607.0
29	5286.0	8460.0
153579	1732.0	920.0
728615	0.0	0.0
728614	0.0	0.0
200765	140.0	440.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	28.0	46.0
102466518	0.0	0.0
102466516	4.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	1.0	0.0
85439	171.0	3832.0
106481362	0.0	0.0
106481367	0.0	1.0
85437	1460.0	2149.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	418.0	512.0
106481366	0.0	0.0
30	2705.0	2209.0
106481360	0.0	0.0
31	2859.0	6112.0
32	1011.0	437.0
33	702.0	279.0
34	2436.0	1782.0
35	1373.0	1122.0
153562	1067.0	892.0
36	2738.0	1541.0
37	8447.0	8666.0
38	2674.0	1463.0
440307	12.0	16.0
39	1464.0	3018.0
165545	8.0	473.0
106481369	0.0	0.0
728606	1.0	2.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	1.0
106481379	0.0	1.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	5.0	5.0
106481370	0.0	0.0
41	75.0	1379.0
106481371	0.0	0.0
43	191.0	458.0
645486	0.0	0.0
47	4565.0	13707.0
48	2736.0	4933.0
49	14.0	10.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	7.0	7.0
106481340	0.0	0.0
85458	1091.0	639.0
106481345	1.0	0.0
85459	364.0	404.0
106481346	0.0	1.0
