id	c1edcfd5-32b1-40fd-b5e9-bbc4ab00625c	05997328-b037-4fe8-aa48-fd5a0fa4c235
1069	2583.0	2797.0
1068	0.0	0.0
85369	1330.0	1804.0
85366	6.0	20.0
85364	1714.0	1010.0
85365	1908.0	1104.0
85363	1552.0	1491.0
85360	1605.0	375.0
1080	1078.0	452.0
85391	9.0	3.0
403296	0.0	0.0
403297	2.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	19.0	0.0
153733	191.0	325.0
1087	11.0	33.0
1086	0.0	1.0
440279	1.0	17.0
1085	0.0	0.0
1084	231.0	26.0
440278	40.0	260.0
1082	1.0	0.0
403294	0.0	0.0
440275	2646.0	4691.0
1081	0.0	4.0
85397	12.0	1.0
85395	376.0	366.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	2.0
1097	0.0	7.0
1096	0.0	0.0
1095	0.0	1.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	1.0	0.0
1092	0.0	0.0
440270	1024.0	909.0
1089	114.0	16.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	51.0	39.0
285598	219.0	269.0
126133	1398.0	2808.0
128790	0.0	5.0
126129	73.0	112.0
126123	0.0	1.0
442862	0.0	0.0
126119	554.0	474.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	38.0	1.0
442896	0.0	0.0
114132	173.0	7.0
442897	0.0	0.0
442898	4.0	0.0
114134	604.0	690.0
442899	0.0	0.0
100128790	0.0	0.0
128760	2.0	1.0
100128788	17.0	9.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	0.0
128756	0.0	0.0
100128782	96.0	148.0
100128781	1.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	0.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	64.0	17.0
102466616	0.0	0.0
126052	0.0	0.0
151009	27.0	22.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	25.0
645558	0.0	0.0
403229	0.0	5.0
645573	0.0	1.0
645572	0.0	0.0
645571	2.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	466.0	474.0
107131122	0.0	0.0
138050	4858.0	6863.0
403219	0.0	0.0
151011	6472.0	2808.0
645587	0.0	6.0
165679	12.0	944.0
126037	20.0	15.0
114049	2655.0	5142.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	1.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	699.0	170.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2014.0	2115.0
106481486	1.0	0.0
106481487	0.0	0.0
645579	93.0	123.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	13.0	28.0
645598	0.0	1.0
163007	2.0	1.0
114038	4.0	2.0
645591	12.0	6.0
106481495	0.0	2.0
114041	3.0	0.0
106481496	0.0	0.0
114042	1.0	0.0
106481493	0.0	0.0
114043	16.0	10.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	89.0	177.0
126017	151.0	400.0
106481497	1.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	0.0
85301	1219.0	4233.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	472.0	184.0
106481459	0.0	0.0
26994	7111.0	6401.0
106481457	0.0	8.0
26995	661.0	3053.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	46.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2113.0	293.0
403273	0.0	0.0
102466658	0.0	45.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	1.0
106481460	4.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	8.0
26993	1710.0	1424.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	7.0	1.0
403263	0.0	0.0
403264	0.0	0.0
403265	1.0	0.0
403266	0.0	0.0
138009	0.0	2.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	22.0	5.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	1.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	3.0	36.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	690.0	1332.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	6.0	1.0
106481437	0.0	0.0
26974	18.0	26.0
153657	33.0	30.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1096.0	926.0
165631	380.0	50.0
106481436	0.0	0.0
26978	59.0	12.0
126075	652.0	509.0
106481439	0.0	0.0
403250	0.0	0.0
126074	59.0	78.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	900.0	2817.0
106481444	4.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4194.0	888.0
85354	0.0	0.0
85352	248.0	7.0
403241	0.0	0.0
344462	2.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	212.0	212.0
153643	295.0	6.0
403247	0.0	0.0
403248	0.0	0.0
26985	2143.0	2789.0
106481448	0.0	0.0
26986	38874.0	81878.0
126069	30.0	75.0
106481449	0.0	0.0
126068	144.0	103.0
106481446	0.0	0.0
26983	0.0	0.0
26984	673.0	1941.0
106481447	0.0	0.0
106481451	3.0	2.0
106481452	0.0	0.0
106481450	0.0	1.0
114088	39.0	34.0
106481455	1.0	1.0
85349	523.0	9.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	2.0	3.0
106481454	0.0	3.0
403238	0.0	0.0
85344	4.0	3.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	1.0
100873394	0.0	1.0
100873393	0.0	2.0
100873392	2.0	2.0
100873391	0.0	0.0
100873398	1.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	1.0
106481413	0.0	0.0
106481414	1.0	1.0
63901	1599.0	2829.0
100873390	0.0	0.0
728556	37.0	103.0
106481419	0.0	0.0
100128817	1.0	0.0
728558	68.0	82.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	361.0	248.0
106481423	1.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	0.0	0.0
100873380	0.0	0.0
100128804	1.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	148.0	112.0
100873384	0.0	0.0
285601	3.0	4.0
106481426	0.0	0.0
106481427	1.0	1.0
222005	0.0	1.0
63910	284.0	106.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	250.0	536.0
222008	0.0	8.0
106481428	0.0	0.0
106481429	0.0	2.0
63905	1763.0	4465.0
63904	0.0	0.0
106481430	0.0	1.0
163071	19.0	4.0
63906	569.0	845.0
106481433	0.0	0.0
63908	532.0	687.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	0.0	1.0
285613	67.0	41.0
63920	41.0	183.0
63923	91.0	9.0
63922	259.0	1040.0
728577	152.0	487.0
63925	1758.0	2788.0
63924	1.0	1.0
63916	2064.0	3868.0
63917	2215.0	11791.0
106481400	0.0	2.0
106481401	0.0	0.0
728562	1.0	0.0
728564	2.0	18.0
285622	0.0	1.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	968.0	1723.0
106481402	0.0	1.0
63931	935.0	1111.0
106481403	0.0	0.0
63934	89.0	259.0
728567	1.0	1.0
106481408	0.0	15.0
163088	1.0	9.0
63933	1858.0	2519.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2520.0	5493.0
163087	326.0	374.0
728568	171.0	576.0
106481407	13.0	6.0
3704	1276.0	1970.0
3705	3762.0	2042.0
63926	358.0	1318.0
3706	19.0	264.0
63929	413.0	2578.0
3707	2774.0	1839.0
63928	1.0	400.0
3708	4417.0	604.0
106481411	0.0	0.0
3709	1569.0	2177.0
106481412	0.0	0.0
106481410	0.0	1.0
3700	19.0	7.0
3702	993.0	83.0
3703	3709.0	17232.0
645506	0.0	0.0
151050	1014.0	1123.0
645520	0.0	0.0
63941	886.0	1265.0
63940	2647.0	361.0
63943	131.0	287.0
728517	0.0	0.0
163033	363.0	65.0
258010	1102.0	1087.0
63947	0.0	0.0
63946	4.0	0.0
728513	0.0	0.0
100033803	0.0	0.0
3716	13061.0	7479.0
100033804	0.0	0.0
3717	1588.0	3005.0
100033805	0.0	0.0
3718	1555.0	349.0
63939	272.0	1536.0
100033806	0.0	0.0
100190799	13.0	1.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	33.0	87.0
3710	10128.0	6102.0
3712	2700.0	6233.0
3713	49.0	256.0
3714	1349.0	5765.0
63950	0.0	2.0
728505	1.0	16.0
63951	137.0	12.0
100033807	0.0	0.0
728501	38.0	7.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	45572.0	11357.0
100033814	0.0	0.0
3727	28414.0	4661.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	13599.0	95164.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1201.0	4099.0
151056	226.0	69.0
3725	24465.0	9447.0
645528	5.0	0.0
728532	41.0	52.0
163059	129.0	167.0
728538	1.0	0.0
728537	127.0	99.0
63967	21.0	700.0
3737	7.0	19.0
3738	783.0	11.0
3739	118.0	26.0
645538	0.0	0.0
3730	10898.0	7032.0
3732	8331.0	5927.0
3734	0.0	1.0
3735	4555.0	5070.0
3736	3.0	0.0
63970	19.0	23.0
3750	148.0	341.0
63971	4202.0	4253.0
63974	0.0	0.0
163049	1166.0	992.0
63973	1.0	8.0
63976	896.0	75.0
222068	4173.0	5637.0
63978	0.0	0.0
63977	340.0	646.0
63979	95.0	709.0
728524	0.0	0.0
3748	514.0	244.0
163051	13.0	11.0
3749	526.0	652.0
163050	28.0	43.0
3741	237.0	1.0
645548	5.0	6.0
3743	0.0	0.0
3744	3.0	0.0
3745	166.0	2.0
3746	0.0	19.0
3747	0.0	3.0
285671	441.0	48.0
285672	1290.0	1139.0
100873431	0.0	0.0
100873430	1.0	0.0
3760	8.0	1.0
285676	23.0	145.0
3761	1.0	3.0
100128657	0.0	0.0
285679	0.0	0.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	716.0	3481.0
283008	1.0	0.0
3751	21.0	592.0
100873435	0.0	0.0
3752	265.0	70.0
100873434	0.0	0.0
3753	141.0	11.0
100873433	0.0	0.0
3754	14.0	0.0
100873432	0.0	0.0
3755	5.0	966.0
100873439	0.0	0.0
3756	5.0	379.0
100873438	0.0	0.0
3757	264.0	3847.0
100873437	0.0	0.0
3758	23.0	2.0
100873436	0.0	0.0
100873420	0.0	0.0
3770	54.0	19.0
3772	2372.0	2712.0
100861458	0.0	0.0
100861453	33.0	158.0
100861455	0.0	0.0
1107	8153.0	27877.0
1106	9980.0	7027.0
1105	4445.0	1335.0
1104	653.0	5042.0
100873429	0.0	0.0
1103	3.0	1.0
1102	596.0	520.0
1101	15.0	32.0
3762	307.0	45.0
100873424	0.0	0.0
3763	5.0	11.0
100128640	36.0	117.0
100873423	0.0	0.0
3764	341.0	383.0
100873422	0.0	0.0
3765	0.0	9.0
100873421	0.0	2.0
3766	11.0	8.0
100873428	0.0	0.0
3767	57.0	708.0
100873427	0.0	0.0
3768	201.0	108.0
1109	1.0	1.0
100873426	1.0	0.0
1108	13038.0	12862.0
3769	1.0	2.0
100873425	0.0	3.0
100128637	1.0	0.0
100128639	0.0	0.0
3780	9.0	42.0
100873453	0.0	0.0
3781	728.0	167.0
100873452	0.0	1.0
3782	629.0	49.0
100873451	0.0	0.0
3783	561.0	66.0
100873450	0.0	0.0
1121	1314.0	2364.0
100861468	0.0	2.0
1120	137.0	216.0
100861469	0.0	0.0
1118	253.0	46.0
1117	4291.0	216.0
1116	2834.0	2582.0
1114	15.0	5.0
1113	15.0	9.0
1112	5050.0	7279.0
1111	87.0	2806.0
3773	129.0	1130.0
100873457	2.0	1.0
100873456	1.0	0.0
3775	685.0	2618.0
100873455	0.0	0.0
3776	5.0	8.0
100873454	0.0	0.0
3777	3806.0	121.0
3778	378.0	45.0
3779	530.0	35.0
100873459	0.0	1.0
1119	1579.0	1156.0
100128627	1.0	1.0
100128626	0.0	0.0
3790	3313.0	4422.0
100128628	5.0	10.0
3791	7860.0	613.0
100873442	0.0	0.0
3792	9.0	223.0
100873441	1.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	7.0	7.0
1131	85.0	2272.0
1130	2642.0	525.0
100861476	0.0	3.0
1129	66.0	8.0
1128	171.0	7.0
1124	281.0	38.0
1123	1336.0	362.0
1122	845.0	1459.0
100861470	0.0	0.0
3784	1918.0	677.0
100873446	0.0	0.0
3785	0.0	0.0
100873445	0.0	0.0
3786	242.0	103.0
100873444	0.0	0.0
3787	24.0	5.0
100873443	0.0	0.0
3788	5.0	5.0
100873449	3.0	5.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	81.0	15.0
100128618	0.0	1.0
728597	0.0	0.0
100128617	17.0	2.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	8.0	77.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	4.0	60.0
285634	7.0	8.0
1142	0.0	0.0
1141	12.0	13.0
285636	1244.0	2641.0
1140	154.0	237.0
728599	1.0	4.0
1139	5.0	228.0
1138	24.0	28.0
1137	14.0	10.0
100861485	0.0	0.0
1136	4.0	11.0
1135	11.0	6.0
1134	3.0	7.0
1133	5.0	14.0
3795	125.0	35.0
100873479	11.0	19.0
3796	928.0	2034.0
100873478	1.0	2.0
3797	332.0	3377.0
100873477	0.0	1.0
3798	10.0	5.0
100873476	0.0	0.0
3799	12989.0	12317.0
100873460	0.0	0.0
728586	6.0	26.0
285641	0.0	4.0
100873464	5.0	4.0
100873463	0.0	0.0
100873462	4.0	4.0
285643	0.0	3.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	4037.0	924.0
1153	10709.0	7018.0
1152	6771.0	6943.0
285647	9.0	35.0
728589	27.0	28.0
728588	0.0	1.0
1149	0.0	0.0
1147	1634.0	1103.0
1146	2.0	31.0
1145	241.0	82.0
1144	0.0	0.0
100873468	0.0	0.0
100873467	1.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	1.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	1.0
100873495	0.0	2.0
100873494	0.0	0.0
1164	192.0	2176.0
1163	188.0	2598.0
285659	0.0	0.0
1161	260.0	302.0
1160	65.0	19.0
1159	8.0	137.0
1158	31.0	4.0
1157	1.0	0.0
1155	2341.0	2169.0
550643	947.0	2430.0
283025	0.0	0.0
100873499	0.0	1.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1618.0	1307.0
1175	1570.0	2451.0
285668	5.0	0.0
1174	669.0	3057.0
1173	11356.0	37381.0
550631	210.0	269.0
100873489	0.0	0.0
283014	8.0	0.0
100873488	0.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	13.0	6.0
1186	2066.0	2964.0
1185	1196.0	1272.0
1184	415.0	1140.0
1183	564.0	35.0
1182	2228.0	4015.0
1181	200.0	979.0
440375	34.0	105.0
1180	5.0	2.0
1179	0.0	0.0
1178	90.0	7.0
283089	7.0	2.0
85495	0.0	0.0
85480	296.0	511.0
283080	0.0	1.0
1198	2426.0	2390.0
1197	1.0	0.0
1196	1169.0	3050.0
1195	4234.0	3348.0
440366	0.0	3.0
1193	3795.0	960.0
1192	21904.0	10903.0
1191	24371.0	5181.0
1188	45.0	24.0
283078	91.0	12.0
85486	4.0	5.0
128615	0.0	0.0
85481	0.0	0.0
128611	284.0	6.0
440396	31.0	125.0
128609	0.0	0.0
128602	1099.0	3.0
440387	6.0	1.0
128674	1.0	0.0
128676	0.0	0.0
114026	0.0	0.0
100861402	1.0	4.0
126014	1066.0	104.0
440335	226.0	63.0
100128690	0.0	0.0
114034	775.0	682.0
126006	11.0	53.0
114036	15.0	7.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	25.0	30.0
100861412	0.0	3.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	2.0
105180391	0.0	0.0
100128682	2.0	0.0
100128678	5.0	9.0
100861429	0.0	0.0
128653	0.0	1.0
200728	106.0	281.0
440356	3.0	15.0
440354	79.0	33.0
440352	1.0	0.0
100873419	0.0	0.0
100873418	0.0	3.0
100873413	0.0	0.0
128646	11.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	5.0	8.0
100873410	0.0	0.0
100873417	5.0	9.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	116.0	129.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	168.0	39.0
200734	3695.0	3298.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	0.0	2.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	1.0	1.0
100873402	0.0	0.0
100873401	0.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	2438.0	2853.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	5.0	1.0
165530	32.0	115.0
85409	1870.0	164.0
106481385	1.0	1.0
106481386	0.0	0.0
85416	1.0	322.0
106481383	3.0	4.0
85417	279.0	11.0
106481384	0.0	0.0
103106903	2.0	0.0
85414	168.0	298.0
106481389	0.0	0.0
85415	1543.0	442.0
106481387	0.0	0.0
85413	8.0	2.0
106481388	3.0	6.0
645436	0.0	2.0
106481381	9.0	1.0
106481382	0.0	0.0
10	6.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	1088.0	996.0
12	765.0	50.0
13	676.0	3056.0
14	3793.0	9759.0
15	28.0	4.0
16	4358.0	8606.0
645455	14.0	64.0
18	480.0	427.0
19	4918.0	2297.0
128580	3.0	4.0
85407	1158.0	75.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1132.0	2631.0
106481395	0.0	0.0
85403	2584.0	829.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	2454.0	5830.0
106481390	0.0	0.0
21	19817.0	4674.0
106481391	0.0	0.0
22	651.0	1129.0
153571	618.0	127.0
153572	1274.0	299.0
23	6564.0	8821.0
24	48.0	33.0
25	9691.0	8833.0
26	31.0	46.0
27	4624.0	1204.0
28	1392.0	180.0
29	7789.0	2757.0
153579	6164.0	266.0
728615	0.0	0.0
728614	0.0	0.0
200765	83.0	299.0
106481358	0.0	1.0
106481359	0.0	0.0
728611	11.0	23.0
102466518	0.0	5.0
102466516	3.0	0.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	411.0	2635.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1224.0	3866.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	306.0	364.0
106481366	0.0	0.0
30	2161.0	1676.0
106481360	0.0	0.0
31	2351.0	6974.0
32	1484.0	625.0
33	501.0	24.0
34	1708.0	1330.0
35	959.0	1898.0
153562	987.0	752.0
36	1983.0	2057.0
37	12340.0	12364.0
38	2406.0	1718.0
440307	11.0	11.0
39	843.0	4490.0
165545	7.0	1123.0
106481369	0.0	0.0
728606	0.0	4.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	3.0	0.0
106481378	0.0	0.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	4.0	6.0
106481370	0.0	0.0
41	42.0	1176.0
106481371	0.0	0.0
43	346.0	51.0
645486	0.0	0.0
47	5315.0	11019.0
48	2433.0	2075.0
49	43.0	3.0
106481338	0.0	0.0
106481339	2.0	0.0
106481336	0.0	0.0
106481337	0.0	0.0
106481341	0.0	0.0
106481342	13.0	9.0
106481340	0.0	0.0
85458	1610.0	292.0
106481345	0.0	0.0
85459	179.0	700.0
