id	1ea50a97-2adb-4252-aec8-2fe94d49b0a0	21454a1b-20e1-4a4d-99b6-8ee30b1c979d
105373877	1.0	0.0
1066	13948.0	54293.0
1063	218.0	245.0
1062	118.0	181.0
1061	1.0	6.0
1060	894.0	1417.0
440253	108.0	148.0
1059	4324.0	6436.0
1058	26.0	35.0
1057	4.0	0.0
85379	3425.0	5023.0
114112	390.0	610.0
1056	54.0	80.0
85377	1912.0	2940.0
85378	3576.0	5444.0
128745	0.0	0.0
85376	23.0	26.0
440248	560.0	816.0
1075	20808.0	41209.0
1074	6.0	10.0
1073	2306.0	3177.0
1072	34074.0	56006.0
1071	179.0	196.0
440243	0.0	0.0
1070	718.0	1217.0
1069	4399.0	7845.0
1068	0.0	0.0
85369	1692.0	2333.0
85366	5.0	10.0
85364	1287.0	1831.0
85365	1634.0	2533.0
85363	1671.0	2388.0
85360	1068.0	1554.0
1080	994.0	1686.0
85391	9.0	8.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	20.0	22.0
153733	411.0	655.0
1087	5.0	8.0
1086	0.0	0.0
440279	2.0	6.0
1085	1.0	0.0
1084	70.0	163.0
440278	54.0	68.0
1082	1.0	0.0
403294	1.0	0.0
440275	2200.0	3360.0
1081	0.0	2.0
85397	5.0	18.0
85395	308.0	607.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	1.0
440270	1683.0	2439.0
1089	141.0	242.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	57.0	104.0
285598	313.0	455.0
126133	1921.0	3082.0
128790	1.0	2.0
126129	146.0	197.0
126123	8.0	10.0
442862	0.0	0.0
126119	1087.0	1638.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	1.0
128774	0.0	0.0
442893	0.0	0.0
442894	1.0	0.0
442895	0.0	0.0
114131	67.0	173.0
442896	0.0	0.0
114132	343.0	739.0
442897	0.0	0.0
442898	4.0	3.0
114134	564.0	857.0
442899	0.0	0.0
100128790	0.0	0.0
128760	11.0	15.0
100128788	47.0	57.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	1.0
128756	0.0	0.0
100128782	181.0	256.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	54.0	87.0
102466616	0.0	0.0
126052	1.0	1.0
151009	57.0	77.0
403227	0.0	1.0
403228	0.0	0.0
138046	2.0	0.0
645558	0.0	0.0
403229	0.0	1.0
645573	0.0	2.0
645572	0.0	0.0
645571	19.0	17.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	696.0	1056.0
107131122	1.0	3.0
138050	4883.0	7313.0
403219	0.0	0.0
151011	4113.0	5431.0
645587	4.0	2.0
165679	12.0	10.0
126037	13.0	26.0
114049	2750.0	4272.0
106481479	1.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1144.0	1847.0
100033821	0.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1244.0	1906.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	99.0	147.0
100033820	0.0	0.0
106481480	0.0	1.0
106481481	0.0	0.0
138065	17.0	34.0
645598	1.0	1.0
163007	7.0	10.0
114038	3.0	1.0
645591	18.0	19.0
106481495	0.0	0.0
114041	11.0	31.0
106481496	0.0	0.0
114042	3.0	6.0
106481493	0.0	0.0
114043	90.0	119.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	151.0	185.0
126017	237.0	334.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	4.0	1.0
85301	1244.0	1422.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	2.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	1.0
26996	745.0	1078.0
106481459	0.0	0.0
26994	4463.0	7229.0
106481457	4.0	1.0
26995	1085.0	1617.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3273.0	4230.0
403273	0.0	0.0
102466658	0.0	2.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	1.0
106481460	2.0	6.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2326.0	3448.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	1.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	41.0	57.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	8.0	11.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	907.0	1768.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	2.0	6.0
106481437	0.0	0.0
26974	45.0	65.0
153657	73.0	130.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	785.0	1418.0
165631	867.0	1175.0
106481436	0.0	2.0
26978	17.0	34.0
126075	907.0	1390.0
106481439	0.0	0.0
403250	0.0	0.0
126074	147.0	237.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1173.0	2025.0
106481444	21.0	30.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	4901.0	4906.0
85354	0.0	0.0
85352	120.0	91.0
403241	0.0	1.0
344462	2.0	2.0
403244	0.0	0.0
403245	0.0	0.0
153642	306.0	455.0
153643	723.0	1594.0
403247	0.0	0.0
403248	0.0	0.0
26985	1996.0	2998.0
106481448	0.0	0.0
26986	26146.0	48913.0
126069	85.0	110.0
106481449	0.0	0.0
126068	428.0	467.0
106481446	0.0	0.0
26983	0.0	0.0
26984	535.0	932.0
106481447	0.0	0.0
106481451	1.0	2.0
106481452	1.0	0.0
106481450	1.0	0.0
114088	26.0	55.0
106481455	1.0	0.0
85349	138.0	189.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	1.0	1.0
106481454	0.0	0.0
403238	0.0	0.0
85344	6.0	7.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	1.0	1.0
100873393	0.0	0.0
100873392	1.0	3.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	0.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2976.0	3879.0
100873390	0.0	0.0
728556	37.0	41.0
106481419	1.0	0.0
100128817	0.0	0.0
728558	66.0	112.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	227.0	367.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	1.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	2.0	0.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	0.0	0.0
100128801	0.0	0.0
285600	112.0	200.0
100873384	0.0	0.0
285601	16.0	48.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	2.0	0.0
63910	554.0	930.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	230.0	389.0
222008	1.0	0.0
106481428	0.0	0.0
106481429	0.0	0.0
63905	1910.0	3103.0
63904	0.0	1.0
106481430	0.0	3.0
163071	18.0	21.0
63906	642.0	1066.0
106481433	0.0	0.0
63908	561.0	907.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	0.0	0.0
100873389	0.0	0.0
100873388	1.0	0.0
285613	139.0	166.0
63920	195.0	337.0
63923	77.0	71.0
63922	452.0	642.0
728577	79.0	96.0
63925	1421.0	2206.0
63924	1.0	8.0
63916	2367.0	3574.0
63917	2601.0	4110.0
106481400	1.0	1.0
106481401	0.0	0.0
728562	3.0	6.0
728564	1.0	2.0
285622	0.0	2.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	915.0	1506.0
106481402	0.0	0.0
63931	1154.0	1592.0
106481403	0.0	0.0
63934	84.0	140.0
728567	1.0	3.0
106481408	1.0	0.0
163088	1.0	3.0
63933	1489.0	1995.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	2649.0	4060.0
163087	441.0	628.0
728568	227.0	301.0
106481407	5.0	17.0
3704	1547.0	2658.0
3705	4889.0	8633.0
63926	433.0	689.0
3706	7.0	23.0
63929	688.0	1184.0
3707	2824.0	4372.0
63928	6.0	6.0
3708	2902.0	5458.0
106481411	1.0	0.0
3709	1846.0	2839.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	37.0	66.0
3702	755.0	886.0
3703	4650.0	7041.0
645506	1.0	0.0
151050	1056.0	1815.0
645520	0.0	0.0
63941	1899.0	2789.0
63940	3243.0	5829.0
63943	216.0	346.0
728517	0.0	0.0
163033	469.0	651.0
258010	1241.0	1829.0
63947	0.0	0.0
63946	0.0	1.0
728513	5.0	15.0
100033803	0.0	0.0
3716	9003.0	12687.0
100033804	0.0	0.0
3717	1425.0	2126.0
100033805	0.0	0.0
3718	989.0	1206.0
63939	713.0	950.0
100033806	0.0	0.0
100190799	4.0	11.0
100033800	0.0	0.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	93.0	107.0
3710	9923.0	10782.0
3712	3949.0	5921.0
3713	43.0	174.0
3714	2178.0	3007.0
63950	14.0	8.0
728505	0.0	3.0
63951	170.0	284.0
100033807	0.0	0.0
728501	18.0	26.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	22454.0	68525.0
100033814	0.0	0.0
3727	19349.0	36830.0
63948	0.0	0.0
100033815	0.0	0.0
222052	1.0	1.0
3728	10270.0	16264.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	1055.0	1586.0
151056	226.0	443.0
3725	20118.0	53469.0
645528	3.0	10.0
728532	29.0	42.0
163059	167.0	269.0
728538	0.0	1.0
728537	207.0	366.0
63967	82.0	59.0
3737	24.0	20.0
3738	959.0	1730.0
3739	79.0	68.0
645538	0.0	0.0
3730	6517.0	8155.0
3732	6338.0	10943.0
3734	32.0	44.0
3735	3944.0	6422.0
3736	9.0	31.0
63970	37.0	79.0
3750	180.0	262.0
63971	4043.0	6101.0
63974	0.0	0.0
163049	1146.0	1697.0
63973	0.0	0.0
63976	935.0	1242.0
222068	4397.0	6517.0
63978	0.0	0.0
63977	527.0	741.0
63979	314.0	418.0
728524	0.0	0.0
3748	705.0	971.0
163051	23.0	34.0
3749	563.0	907.0
163050	42.0	60.0
3741	105.0	286.0
645548	5.0	8.0
3743	0.0	1.0
3744	6.0	17.0
3745	120.0	304.0
3746	3.0	7.0
3747	0.0	0.0
285671	407.0	649.0
285672	1284.0	1942.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	5.0	20.0
285676	45.0	46.0
3761	0.0	1.0
100128657	0.0	0.0
285679	0.0	2.0
100861449	0.0	0.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	691.0	891.0
283008	0.0	0.0
3751	23.0	27.0
100873435	0.0	0.0
3752	290.0	435.0
100873434	0.0	0.0
3753	144.0	451.0
100873433	0.0	0.0
3754	15.0	23.0
100873432	0.0	0.0
3755	7.0	19.0
100873439	0.0	0.0
3756	2.0	9.0
100873438	0.0	0.0
3757	244.0	411.0
100873437	0.0	0.0
3758	19.0	47.0
100873436	0.0	0.0
100873420	1.0	2.0
3770	50.0	110.0
3772	4444.0	5364.0
100861458	0.0	0.0
100861453	14.0	18.0
100861455	0.0	0.0
1107	9417.0	12930.0
1106	5833.0	8569.0
1105	1651.0	2579.0
1104	884.0	1461.0
100873429	0.0	0.0
1103	0.0	3.0
1102	922.0	1577.0
1101	89.0	102.0
3762	635.0	1412.0
100873424	0.0	0.0
3763	8.0	15.0
100128640	56.0	80.0
100873423	0.0	0.0
3764	1216.0	1470.0
100873422	0.0	0.0
3765	2.0	4.0
100873421	1.0	0.0
3766	19.0	45.0
100873428	0.0	0.0
3767	130.0	162.0
100873427	0.0	0.0
3768	131.0	251.0
1109	14.0	21.0
100873426	1.0	2.0
1108	8483.0	12997.0
3769	1.0	0.0
100873425	0.0	0.0
100128637	0.0	0.0
100128639	0.0	0.0
3780	6.0	7.0
100873453	0.0	0.0
3781	138.0	248.0
100873452	0.0	2.0
3782	795.0	1112.0
100873451	0.0	0.0
3783	652.0	1190.0
100873450	0.0	0.0
1121	1009.0	1482.0
100861468	0.0	0.0
1120	318.0	426.0
100861469	0.0	0.0
1118	2300.0	22126.0
1117	663.0	1524.0
1116	5559.0	22453.0
1114	15.0	38.0
1113	21.0	149.0
1112	4128.0	5618.0
1111	166.0	258.0
3773	196.0	533.0
100873457	0.0	1.0
100873456	0.0	0.0
3775	484.0	815.0
100873455	0.0	0.0
3776	17.0	22.0
100873454	0.0	0.0
3777	2209.0	3153.0
3778	982.0	2186.0
3779	455.0	631.0
100873459	0.0	0.0
1119	1428.0	2166.0
100128627	0.0	1.0
100128626	0.0	0.0
3790	1940.0	2626.0
100128628	6.0	8.0
3791	4930.0	5612.0
100873442	0.0	1.0
3792	27.0	72.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	68.0	30.0
1131	107.0	211.0
1130	2311.0	3726.0
100861476	0.0	0.0
1129	118.0	144.0
1128	483.0	394.0
1124	506.0	1058.0
1123	949.0	1371.0
1122	769.0	1149.0
100861470	0.0	0.0
3784	2882.0	4158.0
100873446	0.0	0.0
3785	1.0	3.0
100873445	0.0	0.0
3786	501.0	528.0
100873444	0.0	0.0
3787	47.0	34.0
100873443	0.0	0.0
3788	3.0	8.0
100873449	3.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	83.0	357.0
100128618	0.0	1.0
728597	1.0	1.0
100128617	1.0	4.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	6.0	10.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	0.0	3.0
285634	1.0	3.0
1142	1.0	2.0
1141	5.0	17.0
285636	1231.0	1851.0
1140	376.0	446.0
728599	5.0	13.0
1139	6.0	11.0
1138	31.0	36.0
1137	9.0	11.0
100861485	0.0	0.0
1136	19.0	64.0
1135	22.0	21.0
1134	22.0	78.0
1133	23.0	17.0
3795	225.0	319.0
100873479	2.0	7.0
3796	820.0	1358.0
100873478	0.0	0.0
3797	484.0	805.0
100873477	3.0	1.0
3798	20.0	20.0
100873476	0.0	0.0
3799	8236.0	13104.0
100873460	0.0	0.0
728586	10.0	13.0
285641	1.0	1.0
100873464	1.0	2.0
100873463	0.0	0.0
100873462	1.0	0.0
285643	1.0	1.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	2695.0	3814.0
1153	16451.0	26213.0
1152	6212.0	10654.0
285647	7.0	18.0
728589	9.0	22.0
728588	8.0	3.0
1149	1.0	1.0
1147	1161.0	1837.0
1146	4.0	7.0
1145	45.0	93.0
1144	3.0	2.0
100873468	0.0	0.0
100873467	0.0	5.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	1.0
100873494	0.0	0.0
1164	853.0	873.0
1163	376.0	593.0
285659	0.0	0.0
1161	260.0	391.0
1160	49.0	146.0
1159	32.0	52.0
1158	2.0	10.0
1157	0.0	0.0
1155	2680.0	4076.0
550643	1053.0	1922.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	1551.0	2507.0
1175	2415.0	4533.0
285668	9.0	21.0
1174	1300.0	1950.0
1173	12816.0	21531.0
550631	335.0	610.0
100873489	0.0	0.0
283014	2.0	6.0
100873488	0.0	0.0
100873487	0.0	1.0
283093	0.0	0.0
283092	0.0	0.0
1187	90.0	212.0
1186	3599.0	5958.0
1185	1818.0	2604.0
1184	726.0	1074.0
1183	722.0	1266.0
1182	3222.0	4690.0
1181	226.0	326.0
440375	39.0	52.0
1180	15.0	22.0
1179	0.0	1.0
1178	83.0	69.0
283089	23.0	36.0
85495	0.0	0.0
85480	86.0	137.0
283080	0.0	0.0
1198	2753.0	4332.0
1197	0.0	1.0
1196	1758.0	2346.0
1195	5106.0	6534.0
440366	1.0	0.0
1193	2017.0	2803.0
1192	14577.0	25812.0
1191	22807.0	41242.0
1188	94.0	142.0
283078	86.0	214.0
85486	1.0	13.0
128615	0.0	0.0
85481	0.0	0.0
128611	236.0	285.0
440396	37.0	49.0
128609	0.0	0.0
128602	3343.0	6075.0
440387	3.0	1.0
128674	0.0	1.0
128676	5.0	5.0
114026	0.0	0.0
100861402	1.0	0.0
126014	2723.0	5259.0
440335	921.0	1344.0
100128690	0.0	0.0
114034	542.0	876.0
126006	60.0	60.0
114036	30.0	62.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	51.0	69.0
100861412	1.0	0.0
105180390	0.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	1.0	0.0
100128678	3.0	1.0
100861429	0.0	0.0
128653	0.0	0.0
200728	216.0	296.0
440356	6.0	7.0
440354	43.0	71.0
440352	0.0	2.0
100873419	0.0	0.0
100873418	1.0	0.0
100873413	0.0	0.0
128646	16.0	46.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	7.0	16.0
100873410	0.0	0.0
100873417	1.0	1.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	136.0	194.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	59.0	113.0
200734	2324.0	3276.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	3.0	4.0
100873408	0.0	0.0
100873407	0.0	2.0
100861430	20.0	30.0
100873402	0.0	0.0
100873401	0.0	2.0
100873400	2.0	0.0
100128665	0.0	0.0
128637	3319.0	4837.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	1.0
645443	3.0	14.0
165530	100.0	164.0
85409	1684.0	3493.0
106481385	0.0	0.0
106481386	3.0	2.0
85416	0.0	1.0
106481383	3.0	7.0
85417	43.0	75.0
106481384	0.0	0.0
103106903	0.0	2.0
85414	1002.0	1776.0
106481389	0.0	0.0
85415	830.0	1577.0
106481387	0.0	1.0
85413	7.0	17.0
106481388	1.0	3.0
645436	0.0	1.0
106481381	0.0	4.0
106481382	0.0	0.0
10	12.0	20.0
106481380	0.0	0.0
11	0.0	0.0
403341	766.0	998.0
12	101.0	265.0
13	80.0	108.0
14	4207.0	6572.0
15	15.0	16.0
16	5998.0	8956.0
645455	24.0	41.0
18	987.0	1649.0
19	1980.0	2787.0
128580	3.0	4.0
85407	1116.0	1692.0
106481396	1.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1018.0	1504.0
106481395	0.0	0.0
85403	1208.0	1806.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	1.0	0.0
106481392	1.0	0.0
106481393	0.0	0.0
20	2970.0	4634.0
106481390	0.0	0.0
21	28741.0	40223.0
106481391	0.0	0.0
22	854.0	1297.0
153571	697.0	753.0
153572	2327.0	2762.0
23	3369.0	5014.0
24	131.0	138.0
25	3481.0	5423.0
26	56.0	128.0
27	1401.0	2250.0
28	3360.0	4061.0
29	8076.0	14318.0
153579	4659.0	3020.0
728615	0.0	0.0
728614	0.0	0.0
200765	163.0	252.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	25.0	40.0
102466518	0.0	0.0
102466516	2.0	6.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	1.0	0.0
85438	0.0	0.0
106481361	1.0	0.0
85439	308.0	586.0
106481362	0.0	0.0
106481367	0.0	0.0
85437	1555.0	2423.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	527.0	675.0
106481366	0.0	0.0
30	3112.0	4936.0
106481360	0.0	0.0
31	4080.0	5584.0
32	2229.0	3885.0
33	919.0	1221.0
34	2008.0	3213.0
35	1530.0	2420.0
153562	1073.0	1259.0
36	2122.0	2613.0
37	15821.0	22827.0
38	2975.0	4327.0
440307	23.0	29.0
39	1757.0	2680.0
165545	11.0	26.0
106481369	0.0	0.0
728606	3.0	6.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	1.0
106481373	0.0	0.0
106481378	4.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	13.0	27.0
106481370	0.0	0.0
41	108.0	211.0
106481371	0.0	0.0
43	199.0	283.0
645486	1.0	0.0
47	7038.0	9857.0
48	3108.0	5458.0
49	23.0	49.0
106481338	0.0	0.0
